plate_id,feet_from_curb,issuer_precinct,vehicle_body_type,violation_code,issuer_code,violation_precinct,street_code2,street_code1,vehicle_year
GYC1482,0,0,SUBN,21,637090,73,49130,46430,2016
KRM1408,0,0,SUBN,21,596605,84,20530,94830,0
HYZ1841,0,0,SUBN,21,596638,73,75130,46730,2017
GAN7688,0,0,SDN,21,587614,88,40404,0,2010
HRC4509,0,0,SDN,21,686917,73,72030,19830,2017
GND101,0,0,SDN,21,637090,71,18630,72230,0
HHS3905,0,0,SDN,21,596638,73,38430,42730,1995
HPW9073,0,0,SUBN,21,596638,73,38430,42730,2001
HZK3942,0,0,SUBN,21,637090,73,61430,49130,2016
HNV6246,0,0,SUBN,21,686917,73,74730,83730,2005
HSQU67,0,0,SUBN,21,637090,73,49130,74730,0
HTM7695,0,0,SDN,21,610363,88,0,0,0
HVN4718,0,0,SUBN,21,596638,73,0,0,2001
HXV8939,0,0,SDN,21,637090,73,49130,61430,2017
HVN1065,0,0,SUBN,21,587614,88,27330,45030,2006
HZM8392,0,0,SDN,21,587614,88,31530,80230,2018
HWF6908,0,0,SDN,21,596638,73,68630,34330,0
HFP9450,0,0,SUBN,21,596638,73,82230,19830,2017
GNW5411,0,0,SUBN,21,637090,73,82230,78030,2013
GJM6945,0,0,P-U,21,637090,73,49130,46430,2017
HPG9067,0,0,SUBN,21,596638,73,85030,70930,2007
HCP7926,0,0,SDN,21,637090,73,0,0,2016
GTS5179,0,0,SUBN,21,587614,88,89730,93230,2018
HYR4381,0,0,CONV,21,637090,73,56630,25930,2006
HYB1009,0,0,SDN,21,596638,73,37330,56230,2015
HYY7280,0,0,SUBN,21,596605,84,64330,81330,2014
HPW3759,0,0,SUBN,21,637090,71,67030,38430,1995
HZL4234,0,0,SUBN,21,596605,84,5280,81330,2018
HBS2938,0,0,SUBN,21,637090,71,67030,38430,2006
HTY6847,0,0,SDN,21,596605,84,68330,49630,2017
HFD5282,0,0,SUBN,21,587614,88,13450,79330,2012
HSE7374,0,0,SDN,21,587614,88,74530,63030,2015
HSZ2030,0,0,SUBN,21,587614,88,27330,45030,2003
HYJ1988,0,0,SUBN,21,637090,73,56630,12430,2018
JAG9775,0,0,SUBN,21,610363,88,0,0,2018
GFJ7051,0,0,SDN,21,596638,73,75130,25530,0
HBU3248,0,0,SUBN,21,596605,84,40090,41130,2006
HWG4025,0,0,SUBN,21,686917,73,74730,83730,2010
HSB6731,0,0,SDN,21,596638,73,40404,0,2001
J97JLA,0,0,SDN,21,527631,88,93230,24730,0
HYS3627,0,0,SDN,21,686917,73,74730,56630,0
GAL6945,0,0,SDN,21,587614,88,45030,54130,2010
HDT456,0,0,SDN,21,596638,73,57230,23130,0
HYB2659,0,0,SDN,21,637090,73,0,0,2004
GFT384,0,0,SDN,21,587614,88,93230,89730,0
HSS7475,0,0,SDN,21,596605,80,48830,26530,2014
HNG9735,0,0,SDN,21,686917,73,83730,25930,2018
HSS7983,0,0,SDN,21,637090,73,0,0,2008
GKM2782,0,0,SUBN,21,596605,84,20530,94830,2014
HYY8974,0,0,SUBN,21,610363,88,41330,45030,0
HYZ8045,0,0,SUBN,21,596638,73,70730,42730,2018
GYW7980,0,0,SUBN,21,587614,88,31530,79430,2018
JGSD86,0,0,SUBN,21,610363,88,0,0,0
HBS4258,0,0,SDN,21,596638,73,0,0,2006
HUW2941,0,0,SDN,21,610363,88,0,0,2010
HZR4819,0,0,SDN,21,587614,88,45030,54130,2016
HNJ4645,0,0,SUBN,21,596638,73,56630,72030,2005
HLZ6190,0,0,SUBN,21,587614,88,93230,46630,2013
GTH2823,0,0,SUBN,21,637090,71,86630,30930,0
HUC9178,0,0,SUBN,21,637090,73,76730,49130,2014
HYB2992,0,0,SDN,21,587614,88,93230,89730,2005
HYB5869,0,0,SDN,21,686917,73,70930,23130,2008
LSU436,0,0,SDN,21,610363,88,0,0,0
HXK3923,0,0,SDN,21,587614,88,31530,26730,2016
HXD2188,0,0,SUBN,21,637090,73,0,0,2017
GMV3286,0,0,SDN,21,596638,73,40404,0,2017
