prop_id,site_location,site_name,ampsdistrict
X002-05Ao,"WARING AVE, BRONX PK E",WARING PLGD,11
X147A-ZN02o,"E 174 To E 177 Sts, Bronx River, Amtrak And Bus Depot",Starlight Park Zone 2,09
Q162-ZN08,BTWN 56th PL. AND 62nd  ST,ROCKAWAY BEACH 8,14
Q466,"ROCKAWAY AND BROOKVILLE BLVDS, HOOK CREEK BASIN",HOOK CREEK MARSH,13
QZ310,WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (1),GREENSTREET,05
M104-ZN01o,TENNIS CONCESSION/NRTH-BX KILL/SO-NYFD ACADEMY/EAST RVR/CONRAD TRESTLE,SUNKEN MEADOW,11
M108,SOUTH FERRY TO E 125 ST ALONG EAST RIVER,F D ROOSEVELT DR (7.7 MILES),11
BZ304,SURF AVE BETWEEN SEABREEZE AVE & WEST 5TH ST (1),GREENSTREET,13
X002-ZN03o,KAZIMIROFF/DUNCOMB/BRONX PARK EAST/BRONX RIVER PKWY,BRONX PARK ZONE 3,11
RZ264,"MANHATTAN ST DEAD END, SOUTH OF BILLOP AVE",GREENSTREET,03
X135,BAILEY & 234 ST,PLAYGROUND,08
QZ166,BEACH 11TH STREET & SEAGIRT BOULEVARD & HEYSON RD,GREENSTREET,14
B233D11,FURMAN & CRANBERRY WEST SIDE OF BQE,GRASS STRIP,02
X002-09o,"E. 226TH ST, BRONX BLVD",NILES TRIANGLE,12
XZ293o,BRONX BLVD & CARPENTER AVE & 219 ST (1),GREENSTREET,12
Q001D,,BELL FIELD,11
QZ650,BEACH 116 ST & OCEAN PROMENADE (S),GREENSTREET,14
X150,FROM HALL OF FAME TERR TO VAN CORTLAND PK SOUTH,MAJOR DEEGAN EXWY (9.8 MILES),07
QZ43,"65 PLACE, LAUREL HILL BLVD, BKLYN-QNS EXWY",SITTING AREA (STATUE),02
XZ332,BAILEY AVE & VAN CORTLANDT PARK SOUTH,GREENSTREET,08
X191,BRUCKNER BLVD TO THROGS NECK BRIDGE,THROGS NECK EXPRESSWAY,10
X107o,HAWKINS ST & CITY ISLAND AVE,Hawkins Park,10
B169-ZN01,CORBIN PL TO CONEY ISLAND AVE,CONEY ISLAND BEACH ZONE 1,13
Q040A,"75 ST, ROOSEVELT TO WOODSIDE AVE",ELMJACK MALL,04
QZ83,"38 ST, 24 AVE, ASTORIA BLVD NORTH",SEVEN OAKS,01
MZ90,FREDERICK DOUGLASS BLVD & 110TH ST (SW),GREENSTREET,10
QZ311,WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (2),GREENSTREET,05
Q162-ZN10,BTWN 126TH AND 138TH ST,ROCKAWAY BEACH 10,14
Q162I07,test,PARK STRIP,14
X002-ZN05,DUNCOMB/NEREID AVE BRIDGE/BRONX BLVD/BRONX RIVER,BRONX RIVER PARKWAY EAST,14
X002-08o,"E 204 ST, W/S BRONX PARK",FRENCH CHARLEY PLGD,11
Q220,QUEENS BLVD TO SHORE PKWY,VAN WYCK EXPRESSWAY,12
QZ634,SPRINGFIELD BLVD BET. 112 AVE & 113 ST (2),GREENSTREET,13
Q387,LITTLE BAY & HILLSIDE AVE,CLEARVIEW EXPWY,07
RZ16,"NORTH GANNON AVE, VICTORY BLVD, NEPTUNE AVE",GREENSTREET,01
MZ92,FREDERICK DOUGLASS BLVD & 110TH ST (NE),GREENSTREET,10
RZ66,DRUMGOOLE ROAD EAST & EDGEGROVE AVE,GREENSTREET,03
BD07,"KENT AVE, BET N 4 ST & N 5 ST",NORTH 5th STREET PIER,-01
X147A-ZN01o,"E 172 To Bridge N/o E 174 Sts, Sheridan Exwy, Bronx River",Starlight Park Zone 1,09
QZ18,"69 AVE , 188 ST TO 193 LA",MALL SIXTY-NINE,08
Q078,BERT RD S/O 2 RD,ERNIE'S PLACE,14
X010B,"CROTONA PARK NORTH, E. 175 ST & SOUTHERN BLVD",HYLAN PARK,03
B169-ZN05,W 10TH ST TO PIER,CONEY ISLAND BEACH ZONE 5,13
M108L,92ND STREET & FDR DRIVE (EAST),Greenstreet,08
B255P,19TH ST. BETWEEN 10 AVE & 11 AVE.,PARK,07
BZ347,,GREENSTREET,01
QZ95,"HILLSIDE AV, METROPOLITAN AV, 129 ST","SSG PATBOUVIER E ""BOBBY"" ORTIZ TRIANGLE",09
X148,WASHINGTON BRIDGE TO THROGS NECK BRIDGE,CROSS BRONX EXWY (6.2 MILES),04
Q162-ZN02,BTWN 20TH ST AND 44TH ST,ROCKAWAY BEACH 2,14
QZ44,"44 RD, VERNON BOULEVARD AND 43 AVE",PEDESTRIAN ACCESS EASEMENT,02
B169-ZN04,W 2ND ST TO W 10TH ST,CONEY ISLAND BEACH ZONE 4,13
B169-ZN02,CONEY ISLAND AVE TO B. 2ND ST,CONEY ISLAND BEACH ZONE 2,13
M030A,"Court House, Worth, Pearl, Centre, Duane",Foley Square Court House,01
BZ365,SURF AVE BET. SEABREEZE AVE & WEST 5 ST (4),GREENSTREET,13
M071A,"RIVERSIDE PARK, 119TH ST",OVER THE TRACKS TENNIS COURTS,14
B169-ZN03,B. 2ND ST TO W 2ND ST,CONEY ISLAND BEACH ZONE 3,13
QZ105,"246 ST, NORTH CONDUIT AVENUE",HOOK CREEK - FIELD OF DREAMS,13
Q027A,"237 ST, 130 AVE",PLAYGROUND ONE-THIRTY,13
M104-ZN05o,LITTLE HELL GATE INLET/EAST-DEP/NRTH-DSNY LOTS,RANDALL'S/WARDS IS. ACCESS,11
RZ44,"OCEAN TERRACE, MILFORD DRIVE",KOREAN WAR VETERANS MEMORIAL PK,02
Q163-ZN06,BTWN 87TH ST AND 100TH ST,ROCKAWAY BEACH 6,14
Q162-ZN03,BTWN 44TH ST AND 56TH ST,ROCKAWAY BEACH 3,14
Q166,KINGS CO LINE TO SOUTHERN PKWY,SHORE PARKWAY,10
B169-ZN06,PIER TO W 25TH ST,CONEY ISLAND BEACH ZONE 6,13
QZ169(2),(CENTER) SEAGIRT BLVD &    ROCKAWAY FREEWAY (2),GREENSTREET,14
M107-ZN07o,,Wards Lower,11
RZ60,LILY POND & VERRAZANO-NARROWS BRIDGE,GREENSTREET,02
Q164-ZN11,BTWN 138TH AND 149TH ST,ROCKAWAY BEACH 11,14
Q448-ZN02,S.E. OF FENCE RUNNING FROM 118TH RD TO HOSPITAL,ROY WILKINS RECREATION CENTER - ZONE 2,12
Q163-ZN12,Shorefront Parkway Malls between Beach 73rd St and Beach 109th St,ROCKAWAY BEACH 12,14
X002-ZN02o,PELHAM PKWY ON-RAMP TO BRONX RIVER PKWY/KAZIMIROFF/BRONX PARK E/BRONX RIVER PKWY,BRONX PARK ZONE 2,11
XZ65,ESPLANADE AVE & HAIGHT AVE & LURTING AVE,GREENSTREET,11
QZ97,"79 ST, 157 AV (DOT FENCE)",ROGER RABBIT RUN,10
BZ164,SHERIDAN AVE & SUTTER AVE,GREENSTREET,05
Q448-ZN01,N.W. OF FENCE RUNNING FROM 118TH RD TO HOSPITAL,ROY WILKINS RECREATION CENTER- ZONE 1,12
QZ10,"SELFRIDGE, MANSE STS & 68 AVE",IAN MACLENNAN GARDEN,06
Q163-ZN11,BTWN 73rd ST AND 81 ST,ROCKAWAY BEACH 11,14
X249,"W/S BECK ST, N/S INTERVALE AVE",BANANA KELLY PARK,02
QZ143,111TH ST. & 47TH AVE.,GREENSTREET,04
X013o,W. Fordham Rd. bet. Sedgwick Ave. and Un,Devoe Park,07
M030B,"Foley Sq, Duane St, Centre St",Foley Square,01
QZ324,,GREENSTREET,07
Q162-ZN09,BTWN 62nd AND 67th ST.,ROCKAWAY BEACH 9,14
XZ163,HENRY HUDSON PKWY EAST (SERVICE ROAD) & 239 ST,GREENSTREET,08
Q162-ZN04,BTWN 56TH ST AND 73RD ST,ROCKAWAY BEACH 4,14
RZ09,"STEUBEN ST, OLGA PLACE",GREENSTREET,02
QZ490,UTOPIA PKWY BET. 50 AVE & 56 AVE,GREENSTREET,11
R075,GIL BLOOM CIRCLE TO FT WADSWORTH,STATEN ISLAND EXWY (6.8 MILES),99
MZ05,HUDSON RIVER BET. W. 137 ST & W. 145 ST,RIVERBANK PARK,09
X002-14o,BRONX RIVER PKWY & ROSEWOOD ST,ROSEWOOD PLAYGROUND,11
X002-ZN05o,DUNCOMB/NEREID AVE BRIDGE/BRONX BLVD/BRONX RIVER,BRONX RIVER PARKWAY EAST,12
BZ09,"ALBEMARLE RD, BUCKINGHAM RD BET CONEY ISLAND AVE",FLATBUSH MALLS,14
Q162-ZN01,B 3 TO B 20 STS,ROCKAWAY BEACH 1,14
B080B,S/S OCEAN PKWY & SEA BREEZE AVE & SURF AVE,WILLIAM J HENNESSY TRIANGLE,13
QZ42,"211 ST, 99 TO HOLLIS AVES",211 MALLS,13
RZ65,DEWEY PLACE & GREAVES AVENUE,GREENSTREET,03
B245A,1251 Prospect Place (in B-245),INSPIRATIONAL GARDEN,08
X147A-01o,"Sheridan Exwy, Bronx River, S/o E 174 St Bridge",Starlight Park Playground,09
MZ68,COLUMBUS CIRCLE (MEDIAN),GREENSTREET,13
QZ649,BEACH 116 ST & OCEAN PROMENADE (CENTER),GREENSTREET,14
Q164-ZN10,BTWN 126TH AND 138TH ST,ROCKAWAY BEACH 10,14
BZ115,CENTRAL AVE. & CEDAR ST. & MYRTLE AVE.,GREENSTREET,04
X004-02o,"E 219 ST, BX RIVER PKWY",OLINVILLE PLAYGROUND,12
QZ270,34TH AVE MALLS (7),GREENSTREET,03
Q050-ZN17,BTWN 110th ST AND 116th ST,ROCKAWAY BEACH 17,14
M321A,404-16 E. 12th Street,OPEN ROAD GARDEN,03
Q162I01,BOARDWALK BET BEACH 20-17 STS,O'DONOHUE PARK,14
BZ308,SURF AVE BETWEEN SEABREEZE AVE & WEST 5TH ST (2),GREENSTREET,13
MZ91,FREDERICK DOUGLASS BLVD & 110TH ST (NW),GREENSTREET,10
BX74,"81 St., 82 St., 15 Ave., 16 Ave.",P.S. 204,11
XZ203o,Webster Av & Bx River Pkwy Rd,Bronx River Parkway-Greenstreet,12
Q162C,BOARDWALK & BEACH 64-65 STS,PARKING LOT,14
M104-ZN02o,NRTH-BX KILL/SO-TRIBORO COMPLEX/E-CONRAD TRESTLE/W-HARLEM RVR,BRIDGE COMPLEX,11
BZ111,FLATBUSH AVE. & FULTON ST. & HUDSON AVE.,GREENSTREET,02
BS05,130 ROCHESTER AVE,P.S. 335 - BROOKLYN,08
X013-02o,Sedgwick Ave & Fordham Ave,Devoe Park-Playground,07
Q066A,"HOYT AVE, 19 TO 21 STS",TRIBOROUGH BRIDGE PLAYGROUND A,01
Q372,,JEWISH WAR VETS MEM SQUARE,14
Q163-ZN05,BTWN 73RD ST AND 87TH ST,ROCKAWAY BEACH 5,14
Q357,QUEENS BLVD TO NASSAU COUNTY LINE,LONG ISLAND EXPRESSWAY,99
Q360,QUEENS MIDTOWN TUNNEL TO QUEENS BLVD,LONG ISLAND EXWY (5 MILES),02
B255,PARKSIDE TO 3 AVES,PROSPECT EXPRESSWAY PARKS,07
B169-ZN08,W 32ND TO W 37TH ST,CONEY ISLAND BEACH ZONE 8,13
Q393,GRAND CENTRAL PKWY & ASTORIA BLVD,LA GUARDIA LANDING LIGHTS,03
Q418,CROSS BAY BLVD TO 150 ST,NASSAU EXPRESSWAY,10
RZ91,RICHMOND TERRACE B/W SI FERRY & SCHUYLER ST (PLANTERS),GREENSTREET,01
MZ88,FREDERICK DOUGLASS BLVD. & 110TH ST. (SE),GREENSTREET,10
X095o,White Plains Rd. bet. E. 212 St. and Magenta St.,Williamsbridge Square,12
QZ94,"LEFFERTS BLVD, AUSTIN ST",SITTING AREA,09
Q050-ZN08,BTWN 110TH AND 121ST ST,ROCKAWAY BEACH 8,14
QZ35,"SPRING BLVD, BENNETT ST & SOUTHGATE PL",MALLS,12
XZ294o,Bronx Blvd & Carpenter Av & 219 St,Greenstreet,09
M107-ZN06o,S OF CONRAD TRESTLE-ADJ BLFLD PATHS/N OF SOCCER FLDS FENCE LINE/ODYS HSE LAWN PERIMETER,WARDS UPPER,11
RZ116,ARTHUR KILL RD & RICHMOND AVE (BUS STOP),GREENSTREET,03
Q198,"ROOSEVELT AVE, 60 ST, WOODSIDE AVE",WOODSIDE PLAZA,02
XZ295o,Bronx Blvd & Duncomb Ave,Greenstreet,09
M104-ZN03o,NRTH-MN BRIDGE RAMP/S-LIL' HELL GATE/E-STDM PERIM/W-HARLEM RVR,WEST SHORE,11
RZ53,HARBOR AVE BET FOREST CT & DEAD END,GREENSTREET,01
X231-01,"BRYANT AVE,  SENECA STREET",BRYANT PLGD,02
BZ06,WEST END AVE TO KINGSBOROUGH COLLEGE,SHORE BLVD MALL,15
QZ674,SHOREFRONT PKWY & BEACH 101 ST,GREENSTREET,14
QD08,5TH STREET & 48TH AVENUE,QUEENS WEST COMMUNITY PARK,01
X004-01o,E 227 ST/BRONX RIVER PARKWAY,227ST PLAYGROUND,12
QZ633,SPRINGFIELD BLVD BET. 112 AVE & 113 ST (1),GREENSTREET,13
B169-ZN07,W 25TH ST TO W 32ND,CONEY ISLAND BEACH ZONE 7,13
XZ314,BRONX PARK SOUTH & SOUTHERN BLVD (CROTONA MALLS 1),GREENSTREET,06
M100,"Laurel Hill Terr, W 182 St (just Off Of Amsterdam)",McNally Plaza,12A
M208,,HARLEM RIVER DRIVE,11
RZ17A,,GREENSTREET,02
B457,Doscher St.,DOSCHER ST. BLOCK ASSOCIATION,05
BZ364,SURF AVE BET. SEABREEZE AVE & WEST 5 ST (3),GREENSTREET,13
QZ272,34TH AVE MALLS (9),GREENSTREET,03
QZ16,"LIBERTY AVE TO MAYVILLE ST, BRINKERHOFF AND FONDA",MALLS,12
RZ07,"CLOVE ROAD, LITTLE CLOVE ROAD,NARROWS ROAD NORTH",GREENSTREET,01
X002-ZN04o,KAZIMIROFF @ MOSHOLU/DUNCOMB/METRO N RR TRACKS/BRONX RIVER PKWY,ALLERTON FIELDS IN BRONX PARK,11
X002-ZN06o,S/O CONRAD TRESTLE-ADJ BF PATHS/N/O SOCCER FLDS FENCE/ODYS HSE LW PERIMETER,BRONX RIVER PARKWAY WEST,12
X147Ao,"Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.",Starlight Park,09
QZ313,WOODHAVEN BLVD BET. MYRTLE AVE & 83 AVE,GREENSTREET,05
X279o,"BAY ST, TIER ST, EASTCHESTER BAY",City Island Wetlands,10
M104-ZN04o,"LITTLE HELL GATE INLET, PARKING LOTS, PERIMETER PATH, TRIBORO BRIDGE RAMP",DOWNING STADIUM,11
QZ312,WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (3),GREENSTREET,05
X253o,/S CITY ISLAND AVENUE AT CENTRE ST,Ambrosini Field,10
XZ120o,MOSHOLU PKWY & KAZIMIROFF BLVD,GREENSTREET,07
RZ08,"OLGA PLACE, STEUBEN ST (NORTH), STEUBEN ST (SOUTH)",GREENSTREET,02
Q360Y,"N/S QUEENS-MIDTOWN EXWY, MAZEAU ST, 57 & 58 RD",PARK STRIP,05
MZ187,RIVERSIDE DRIVE & 156TH ST,GREENSTREET,12
BS11,43 SNYDER AVE,P.S. 6 - BROOKLYN,14
XZ69o,BRONX BOULEVARD & EAST 219TH STREET & CARPENTER AVE (2),GREENSTREET,12
QZ26,"HAMPTON BLVD EAST, 53-56 AVES",TRIANGLE,11
QZ40,"HOLLIS COURT BLVD, JAMAICA TO HILLSIDE AVES",HOLLIS COURT MALLS,13
Q341,"43 AVE, 68 ST, W/S BKLYN-QUEENS EXWY",BROOKLYN-QUEENS EXPRESSWAY,02
RZ11,HARBOR AVE BET. SYLVAN & FOREST CT,GREENSTREET SITE,01
Q163-ZN07,BTWN 100TH ST AND 110TH ST,ROCKAWAY BEACH 7,14
X231,"BRYANT AVE, SENECA ST, LAFAYETTE ST",BRYANT PARK,02
RZ265,"MANHATTAN ST DEAD END, SOUTH OF BILLOP AVE",GREENSTREET,03
B437,"Bqe, Montague St, East River",PIER 4,02
XS09,1919 PROSPECT AVE,P.S. 211 - BRONX,06
X013-01o,W 188 St & University Ave,Devoe Park-Playground,07
