mirrorsam,changingtablesam,inspectionid,csnumber
0,0,35617,1
0,0,33918,1
0,0,33129,1
0,0,34286,1
0,0,36560,1
0,0,35183,1
1,0,35415,1
0,0,32629,1
0,0,35088,1
0,1,35456,1
0,0,34186,1
0,0,32980,1
0,0,35415,1
0,0,35917,1
0,0,34154,1
0,0,34513,1
1,0,37430,1
0,0,34456,1
1,0,33418,1
0,0,35056,1
0,0,34281,1
0,0,37398,1
0,0,33386,1
0,0,35258,1
0,0,36885,1
0,0,34513,1
0,0,35951,1
0,0,37496,1
0,0,36017,1
0,0,36526,1
0,0,34052,1
0,0,36660,1
0,0,37398,1
0,0,35524,1
0,0,35317,1
0,0,35249,1
0,0,33375,1
0,0,36124,1
0,0,36183,1
0,0,36185,1
0,0,34286,1
0,0,33147,1
0,0,36292,1
0,0,33150,1
0,0,35715,1
0,0,35551,1
0,0,35724,1
0,0,33343,1
1,0,33418,1
0,0,33318,1
0,0,35624,1
0,0,33988,1
0,0,34281,1
0,0,35985,1
0,0,35917,1
0,0,36183,1
0,0,33486,1
0,0,35317,1
0,0,33318,1
0,0,36560,1
0,0,36326,1
1,1,36896,1
0,0,36526,1
0,0,33386,1
0,0,35683,1
0,0,34086,1
0,0,32847,1
0,0,36017,1
0,0,34988,1
1,0,34690,1
0,0,35724,1
0,0,34622,1
0,0,34847,1
0,0,33009,1
0,0,33879,1
0,0,35715,1
0,0,35883,1
0,0,34988,1
0,0,34779,1
0,0,36919,1
0,0,34479,1
0,0,35951,1
0,0,36124,1
0,0,35258,1
0,0,33077,1
0,0,32629,1
0,0,33375,1
0,0,34077,1
0,0,35481,1
0,0,34949,1
0,0,34415,1
1,0,34779,1
3,0,36621,1
0,0,33009,1
0,0,36660,1
0,0,35883,1
0,0,36719,1
0,0,34456,1
0,0,36326,1
0,0,34622,1
0,0,35458,1
0,0,36485,1
0,0,32584,1
0,0,33452,1
0,0,34154,1
0,0,33220,1
3,0,36621,1
0,0,37321,1
0,0,35056,1
0,0,36953,1
1,1,36896,1
0,0,35692,1
0,0,33486,1
0,0,36585,1
0,0,34052,1
0,0,35356,1
0,0,33343,1
0,0,32847,1
0,0,36585,1
0,0,32597,1
0,0,35524,1
0,0,33452,1
0,0,35985,1
0,0,34522,1
0,0,34847,1
0,0,34077,1
0,0,33879,1
0,0,34247,1
0,0,37321,1
0,0,36762,1
0,0,34145,1
0,0,37496,1
0,0,33077,1
0,0,33041,1
0,0,35617,1
0,0,34213,1
1,0,37430,1
0,0,33012,1
0,0,35322,1
0,0,34213,1
0,0,33220,1
0,0,33150,1
0,0,32697,1
0,0,32484,1
0,0,34086,1
0,0,36762,1
0,0,35322,1
0,0,32597,1
0,0,32484,1
0,0,35356,1
0,0,34186,1
0,0,34247,1
0,0,33443,1
0,0,33147,1
0,0,35283,1
0,0,32980,1
1,1,34690,1
0,0,35683,1
0,0,32543,1
0,0,32543,1
0,0,35283,1
0,0,36519,1
0,0,35624,1
0,0,36953,1
0,0,37087,1
0,0,35088,1
0,0,35551,1
0,0,36719,1
0,0,35247,1
0,0,36292,1
0,0,36117,1
0,0,34354,1
0,0,36485,1
0,0,34145,1
0,0,37087,1
0,0,34479,1
0,0,36185,1
0,0,35481,1
0,0,36919,1
0,0,35692,1
0,0,36519,1
0,0,33988,1
0,0,33012,1
0,0,35247,1
0,0,34415,1
0,0,35249,1
0,0,36885,1
3,0,36117,1
0,0,34354,1
0,0,33443,1
0,0,32584,1
0,0,33041,1
0,0,33129,1
0,0,35456,1
0,0,32697,1
0,0,35458,1
0,0,34522,1
0,0,35183,1
0,0,33918,1
0,0,34949,1
