income,age,district
"$100,000 or more",65+,D03
"$100,000 or more",55-64,D03
"$50,000-$74,999",65+,D03
,45-54,D03
"$100,000 or more",55-64,D03
,55-64,D03
"$100,000 or more",55-64,D03
"$25,000-$49,999",65+,D03
,,D03
"$100,000 or more",35-44,D03
"$100,000 or more",25-34,D03
,55-64,D03
,55-64,D03
I don't know,45-54,D03
"$100,000 or more",55-64,D03
"$100,000 or more",45-54,D03
"$50,000-$74,999",35-44,D03
"$100,000 or more",45-54,D03
"$100,000 or more",65+,D03
"$100,000 or more",25-34,D03
"$25,000-$49,999",35-44,D03
I don't know,35-44,D03
"$75,000-$99,999",25-34,D03
"$25,000-$49,999",20-24,D03
"$75,000-$99,999",65+,D03
"$50,000-$74,999",25-34,D03
"$75,000-$99,999",25-34,D03
"$100,000 or more",65+,D03
"$25,000-$49,999",65+,D03
,,D03
"$100,000 or more",55-64,D03
"$100,000 or more",65+,D03
,25-34,D03
"$100,000 or more",25-34,D03
"$25,000-$49,999",55-64,D03
"$50,000-$74,999",45-54,D03
"$100,000 or more",35-44,D03
"$100,000 or more",25-34,D03
"$100,000 or more",45-54,D03
,55-64,D03
"$100,000 or more",35-44,D03
,,D03
"$75,000-$99,999",45-54,D03
"$100,000 or more",25-34,D03
"$50,000-$74,999",35-44,D03
"$50,000-$74,999",65+,D03
,65+,D03
"$100,000 or more",25-34,D03
"$100,000 or more",35-44,D03
"$75,000-$99,999",35-44,D03
"$100,000 or more",65+,D03
I don't know,,D03
"$100,000 or more",20-24,D03
"$75,000-$99,999",45-54,D03
"$100,000 or more",55-64,D03
"$100,000 or more",25-34,D03
"$100,000 or more",45-54,D03
"$100,000 or more",35-44,D03
"$100,000 or more",25-34,D03
"$25,000-$49,999",65+,D03
I don't know,45-54,D03
"$100,000 or more",55-64,D03
"$75,000-$99,999",35-44,D03
"$100,000 or more",35-44,D03
"$10,000-$24,999",65+,D03
"$100,000 or more",45-54,D03
,,D03
,,D03
,55-64,D03
"$100,000 or more",45-54,D03
,65+,D03
"$100,000 or more",65+,D03
"$50,000-$74,999",55-64,D03
"$100,000 or more",35-44,D03
"$100,000 or more",45-54,D03
"$50,000-$74,999",65+,D03
"$100,000 or more",45-54,D03
I don't know,14-17,D03
"$50,000-$74,999",25-34,D03
"$25,000-$49,999",65+,D03
"$100,000 or more",55-64,D03
"$50,000-$74,999",55-64,D03
"$75,000-$99,999",20-24,D03
"$100,000 or more",35-44,D03
,65+,D03
"$75,000-$99,999",35-44,D03
,55-64,D03
"$100,000 or more",45-54,D03
"$50,000-$74,999",35-44,D03
"$100,000 or more",65+,D03
"$100,000 or more",25-34,D03
"$100,000 or more",45-54,D03
"$100,000 or more",65+,D03
"$75,000-$99,999",65+,D03
,65+,D03
"$50,000-$74,999",65+,D03
"$75,000-$99,999",25-34,D03
"$25,000-$49,999",25-34,D03
,35-44,D03
,65+,D03
"$50,000-$74,999",65+,D03
"$100,000 or more",35-44,D03
"$25,000-$49,999",25-34,D03
"$100,000 or more",20-24,D03
"$100,000 or more",55-64,D03
"$50,000-$74,999",55-64,D03
"$50,000-$74,999",35-44,D03
"$100,000 or more",45-54,D03
"$100,000 or more",45-54,D03
"$100,000 or more",45-54,D03
"$100,000 or more",25-34,D03
"$100,000 or more",45-54,D03
"$10,000-$24,999",65+,D03
"$100,000 or more",45-54,D03
"$100,000 or more",25-34,D03
"$100,000 or more",55-64,D03
,65+,D03
"$100,000 or more",65+,D03
"$100,000 or more",45-54,D03
"$25,000-$49,999",55-64,D03
"$50,000-$74,999",55-64,D03
"$100,000 or more",65+,D03
"$100,000 or more",25-34,D03
"$100,000 or more",65+,D03
"$100,000 or more",45-54,D03
"$10,000-$24,999",35-44,D03
,,D03
"$100,000 or more",25-34,D03
"$50,000-$74,999",45-54,D03
"$50,000-$74,999",45-54,D03
"$75,000-$99,999",25-34,D03
"$100,000 or more",65+,D03
"$50,000-$74,999",65+,D03
"$100,000 or more",25-34,D03
,55-64,D03
"$100,000 or more",35-44,D03
,35-44,D03
"$100,000 or more",65+,D03
"$50,000-$74,999",65+,D03
"$25,000-$49,999",55-64,D03
"$100,000 or more",35-44,D03
"$100,000 or more",55-64,D03
,35-44,D03
"$100,000 or more",55-64,D03
"$100,000 or more",25-34,D03
"$100,000 or more",25-34,D03
"$75,000-$99,999",55-64,D03
"$100,000 or more",25-34,D03
"$100,000 or more",45-54,D03
"$75,000-$99,999",55-64,D03
"$100,000 or more",45-54,D03
"$100,000 or more",35-44,D03
,45-54,D03
"$100,000 or more",45-54,D03
"$100,000 or more",45-54,D03
"$100,000 or more",14-17,D03
,,D03
"$100,000 or more",35-44,D03
,65+,D03
"$100,000 or more",65+,D03
"$100,000 or more",25-34,D03
"$10,000-$24,999",35-44,D03
"$75,000-$99,999",25-34,D03
"$100,000 or more",35-44,D03
"$100,000 or more",45-54,D03
"$100,000 or more",45-54,D03
"$100,000 or more",20-24,D03
"$75,000-$99,999",25-34,D03
"$100,000 or more",20-24,D03
"$100,000 or more",35-44,D03
"$100,000 or more",35-44,D03
,45-54,D03
"$50,000-$74,999",65+,D03
"$75,000-$99,999",65+,D03
"$100,000 or more",35-44,D03
"$75,000-$99,999",45-54,D03
"$100,000 or more",35-44,D03
"$100,000 or more",45-54,D03
"$100,000 or more",35-44,D03
,45-54,D03
"$100,000 or more",25-34,D03
,55-64,D03
"$100,000 or more",35-44,D03
"$100,000 or more",35-44,D03
"$50,000-$74,999",45-54,D03
"$100,000 or more",35-44,D03
,,D03
,35-44,D03
"$25,000-$49,999",45-54,D03
"$100,000 or more",55-64,D03
"$100,000 or more",45-54,D03
"$50,000-$74,999",45-54,D03
"$50,000-$74,999",25-34,D03
"$75,000-$99,999",25-34,D03
"$25,000-$49,999",65+,D03
"$100,000 or more",35-44,D03
,25-34,D03
,55-64,D03
"$100,000 or more",45-54,D03
"$100,000 or more",45-54,D03
