cmt_corner_id,block,temp_repair_feasible,lot,street_name1
1030455,3491,No,21,FOREST AVENUE
1134807,7202,No,1,AVENUE X
1084796,484,No,9,BROADWAY
1087203,16,No,180,PARK PLACE WEST
1185532,3256,No,1,71 AVENUE
1029951,3709,No,32,71 PLACE
1112821,1708,No,1,ATLANTIC AVENUE
1364150,62,No,1,11 STREET
1091459,1184,No,83,WEST 75 STREET
1090355,967,No,1,EAST 36 STREET
1192234,3906,No,1,BANCROFT AVENUE
1037714,60,No,9,48 AVENUE
1148335,4193,Yes,1,ROSE AVENUE
1107199,260,No,30,HICKS STREET
1211205,6821,No,171,EAST 16 STREET
1046287,11876,No,39,134 PLACE
1001197,4196,No,1,BEND
1087781,29,No,1,BROAD STREET
1118763,1429,Yes,2,EAST NEW YORK AVENUE
1130303,6731,No,10,AVENUE L
1107187,252,No,55,COLUMBIA PLACE
1084642,212,No,45,AVENUE OF THE AMERICAS
1008972,3047,Yes,21,BATHGATE AVENUE
1152470,3389,Yes,35,MASON AVENUE
2001493,738,No,50,50 STREET
1027889,1253,Yes,1,81 STREET
1067717,7722,No,1,73 AVENUE
1186049,2323,No,43,EAST 138 STREET
1090385,912,Yes,1,3 AVENUE
1107208,261,No,23,HICKS STREET
1013173,5655,No,300,BOSTON ROAD
1370577,1124,No,1,30 AVENUE
1085524,231,No,8,BROADWAY
1087111,125,Yes,20,PARK PLACE
1033872,2276,No,16,BROADWAY
1087780,29,No,1,BROAD STREET
1089968,1291,Yes,10,EAST 56 STREET
1084946,497,No,18,BROADWAY
1096520,1556,Yes,23,1 AVENUE
1090671,962,No,100,1 AVENUE
1068367,6712,No,81,153 STREET
1087535,92,No,7501,BEEKMAN STREET
1095177,2202,No,25,9 AVENUE
1187969,3229,Yes,63,HYLAN BOULEVARD
1085501,474,No,7506,BROADWAY
1058659,4758,No,10,17 AVENUE
1085614,231,No,12,BROADWAY
1058658,4758,No,10,17 AVENUE
1089525,844,Yes,1,5 AVENUE
1056459,6372,No,22,57 ROAD
1126047,5152,Yes,20,CORTELYOU ROAD
1158780,23,No,79,BROOK STREET
1084797,498,No,23,BROADWAY
1016094,3784,No,21,COMMONWEALTH AVENUE
1030457,3502,No,14,FOREST AVENUE
1084517,520,No,1,KING STREET
1063072,3965,No,28,9 AVENUE
1149857,4022,No,6,ISABELLA AVENUE
1033307,3199,No,32,STARR STREET
1101584,329,No,107,KNOX PLACE
1017991,5431,No,1,EAST TREMONT AVENUE
1085527,209,No,5,BROADWAY
1033224,2994,No,1,JOHNSON AVENUE
1140068,5319,No,24,CATON AVENUE
1370700,1014,No,1,8 AVENUE
1085500,231,Yes,30,BROADWAY
1015942,3723,No,1,ROSEDALE AVENUE
