the_geom,:@computed_region_yeji_bk3q,:@computed_region_efsh_h5xi,ramp_cross_slope,stname2,ramp_onstr,ramp_length
"{'type': 'Point', 'coordinates': [-73.9477377402475, 40.661661043041974]}",2,13509.0,-4.3,NEW YORK AVENUE,NEW YORK AVENUE,-33.8
"{'type': 'Point', 'coordinates': [-73.85600561236204, 40.8464992244628]}",5,11271.0,0.4,RADCLIFF AVENUE,VAN NEST AVENUE,-26.5
"{'type': 'Point', 'coordinates': [-73.86923101290331, 40.760926852434814]}",3,14511.0,-2.5,31 AVENUE,31 AVENUE,-22.2
"{'type': 'Point', 'coordinates': [-73.97230091219464, 40.69583335748528]}",2,17212.0,2.1,ADELPHI STREET,PARK AVENUE,-14.7
"{'type': 'Point', 'coordinates': [-73.99179577497765, 40.71865065782715]}",4,11723.0,-2.0,BROOME STREET,BROOME STREET,-10.8
"{'type': 'Point', 'coordinates': [-73.90543170653538, 40.81543555191576]}",5,10933.0,-1.6,TINTON AVENUE,EAST 152 STREET,-6.8
"{'type': 'Point', 'coordinates': [-73.87130050049254, 40.73941681394744]}",3,14784.0,-2.3,52 AVENUE,52 AVENUE,-15.2
"{'type': 'Point', 'coordinates': [-73.80637555633561, 40.74040157389376]}",3,14507.0,-0.8,59 AVENUE,59 AVENUE,-7.3
"{'type': 'Point', 'coordinates': [-73.95405847177753, 40.59700874776952]}",2,13512.0,-0.5,EAST 17 STREET,EAST 17 STREET,-22.1
"{'type': 'Point', 'coordinates': [-73.80895758249954, 40.67110574098672]}",3,24016.0,-1.0,131 AVENUE,131 AVENUE,-8.3
"{'type': 'Point', 'coordinates': [-73.99258290622856, 40.64163299710088]}",2,17621.0,0.7,42 STREET,42 STREET,-22.6
"{'type': 'Point', 'coordinates': [-73.85020466039678, 40.71137031202914]}",3,14786.0,-0.5,71 AVENUE,NANSEN STREET,-12.8
"{'type': 'Point', 'coordinates': [-73.89063323638338, 40.702270455557915]}",3,15310.0,1.3,65 STREET,65 STREET,-9.8
"{'type': 'Point', 'coordinates': [-73.97919108949027, 40.77663290983288]}",4,12420.0,1.1,WEST 71 STREET,WEST 71 STREET,-10.6
"{'type': 'Point', 'coordinates': [-73.80082251841634, 40.76925823003071]}",3,14193.0,0.1,164 STREET,164 STREET,-13.5
"{'type': 'Point', 'coordinates': [-73.89885901526723, 40.66874664796601]}",2,17214.0,1.1,WILLIAMS AVENUE,WILLIAMS AVENUE,-10.3
"{'type': 'Point', 'coordinates': [-73.83871191320473, 40.68952632586516]}",3,24012.0,2.0,106 STREET,106 STREET,-7.7
"{'type': 'Point', 'coordinates': [-73.96926885459575, 40.696009370142406]}",2,17212.0,-1.5,BROOKLYN QUEENS EXPRESSWAY,PARK AVENUE,-7.7
"{'type': 'Point', 'coordinates': [-73.98793498811217, 40.603973476137604]}",2,17616.0,1.3,23 AVENUE,"80 STREET, 23 AVENUE",-8.8
"{'type': 'Point', 'coordinates': [-73.88563857145884, 40.85195315882893]}",5,10935.0,0.9,BEAUMONT AVENUE,BEAUMONT AVENUE,-6.1
"{'type': 'Point', 'coordinates': [-73.90272790161471, 40.85666115505845]}",5,10931.0,-2.4,MORRIS AVENUE,EAST 182 STREET,-34.8
"{'type': 'Point', 'coordinates': [-73.9640115785175, 40.63937251286958]}",2,13510.0,-0.9,MARLBOROUGH ROAD,MARLBOROUGH ROAD,-25.2
"{'type': 'Point', 'coordinates': [-73.86928446133817, 40.74739011774826]}",3,14784.0,-1.8,WARREN STREET,41 AVENUE,-25.3
"{'type': 'Point', 'coordinates': [-73.83278724653691, 40.76667371865372]}",3,13832.0,0.1,33 AVENUE,33 AVENUE,-20.5
"{'type': 'Point', 'coordinates': [-73.91828766108766, 40.656762846102716]}",2,17614.0,-0.1,EAST 95 STREET,WILLMOHR STREET,-24.7
"{'type': 'Point', 'coordinates': [-73.95714047085161, 40.777532358819045]}",4,12425.0,1.4,EAST 83 STREET,LEXINGTON AVENUE,-9.1
"{'type': 'Point', 'coordinates': [-74.09956706744157, 40.58017053113918]}",1,10693.0,-1.2,HYLAN BOULEVARD,"ADAMS AVENUE, HYLAN BOULEVARD",-7.9
"{'type': 'Point', 'coordinates': [-73.82437324251394, 40.75185457566692]}",3,14190.0,3.7,ELDER AVENUE,COLDEN STREET,1.7
"{'type': 'Point', 'coordinates': [-73.90394716243446, 40.814114731098556]}",5,10933.0,2.1,PROSPECT AVENUE,EAST 151 STREET,-2.1
"{'type': 'Point', 'coordinates': [-73.95282458274772, 40.746836190972026]}",3,16858.0,0.6,46 AVENUE,VERNON BOULEVARD,-18.5
"{'type': 'Point', 'coordinates': [-74.00377401815079, 40.72002754715024]}",4,12076.0,2.6,CHURCH STREET,LISPENARD STREET,0.7
"{'type': 'Point', 'coordinates': [-73.92877310266833, 40.62804329348513]}",2,13825.0,1.9,EAST 49 STREET,AVENUE J,-5.2
"{'type': 'Point', 'coordinates': [-73.83030269368126, 40.837665654192406]}",5,11270.0,-4.1,WATERBURY AVENUE,EDISON AVENUE,-10.8
"{'type': 'Point', 'coordinates': [-73.8221976886217, 40.84635004478773]}",5,11274.0,0.6,AMPERE AVENUE,"KENNELWORTH PLACE, AMPERE AVENUE",-9.7
"{'type': 'Point', 'coordinates': [-74.13643510248176, 40.56789497056236]}",1,10693.0,3.8,AMBER STREET,THOMAS STREET,-5.4
"{'type': 'Point', 'coordinates': [-74.01003541800405, 40.63490101588262]}",2,18180.0,-0.1,61 STREET,61 STREET,-21.2
"{'type': 'Point', 'coordinates': [-73.84863424637423, 40.82101605489517]}",5,11611.0,0.6,CASTLE HILL AVENUE,CASTLE HILL AVENUE,-10.9
"{'type': 'Point', 'coordinates': [-73.78666103901055, 40.69306535562781]}",3,24668.0,-0.1,110 ROAD,164 PLACE,-14.3
"{'type': 'Point', 'coordinates': [-73.81397419112895, 40.76504786658695]}",3,13832.0,-3.5,NORTHERN BOULEVARD,"150 PLACE, NORTHERN BOULEVARD",-12.4
"{'type': 'Point', 'coordinates': [-73.95311099495017, 40.628617251244854]}",2,17217.0,-1.4,EAST 24 STREET,EAST 24 STREET,-10.3
"{'type': 'Point', 'coordinates': [-73.90421358572696, 40.6190257320879]}",2,13825.0,0.8,AVENUE V,AVENUE V,-11.5
"{'type': 'Point', 'coordinates': [-73.83810434551235, 40.68414514072443]}",3,24013.0,1.4,104 STREET,104 STREET,-16.2
"{'type': 'Point', 'coordinates': [-73.83426708253529, 40.84006022686274]}",5,11270.0,1.1,MAYFLOWER AVENUE,DUDLEY AVENUE,-6.1
"{'type': 'Point', 'coordinates': [-73.71566536126316, 40.743793011780525]}",3,16098.0,1.3,80 AVENUE,"255 STREET, 80 AVENUE",-13.0
"{'type': 'Point', 'coordinates': [-73.98319769123962, 40.60556766309706]}",2,18183.0,1.8,KINGS HIGHWAY,KINGS HIGHWAY,-11.7
