rampid,lnd_width,gutter_slope,borough,:@computed_region_sbqj_enih,counter_slope,obstacles_landing,:@computed_region_92fq_4b7q,ramp_right_flare
25954,50.4,-0.4,4,65,-5.3,None,16,4.9
31864,888.0,888.0,3,39,888.0,None,7,888.0
15897,48.8,-1.8,4,67,0.3,None,20,15.7
11739,56.1,-0.9,3,47,-5.9,None,25,6.1
31522,48.8,1.3,4,63,-3.4,None,16,8.3
326,61.3,0.4,2,24,-11.1,None,43,13.7
26866,45.0,-0.3,1,2,-7.4,None,32,8.4
346,55.7,-0.3,2,24,-6.2,None,43,4.4
15114,50.2,-3.0,5,76,-0.5,None,9,2.8
20816,48.8,0.7,4,64,-4.1,None,46,11.8
20053,60.5,-0.9,4,71,5.7,None,6,18.5
26087,54.7,-2.5,3,41,-6.4,None,44,1.5
18184,48.4,-1.6,3,54,-7.2,Utility access,38,10.6
5431,56.2,-0.7,3,44,-8.3,None,11,26.4
24209,58.2,0.0,4,70,-8.2,None,28,8.0
6510,64.7,-6.1,3,40,-6.8,None,17,3.0
12522,46.8,-0.3,3,47,-7.0,None,25,31.3
25541,64.9,-2.7,3,39,-3.0,None,7,5.5
22330,71.9,2.1,3,54,-2.8,None,38,9.8
17373,53.1,2.9,4,67,0.2,None,20,9.4
2605,56.6,-2.9,3,39,-5.0,None,18,11.0
30136,42.5,4.3,2,27,-4.3,None,43,26.6
30743,50.7,-1.6,4,68,-2.6,None,21,7.1
24434,48.0,-0.8,4,68,2.1,None,21,13.6
29489,48.7,2.8,4,63,-2.8,None,16,21.8
3019,46.1,0.7,3,39,-5.2,None,27,7.4
32078,39.9,0.1,3,37,-2.3,None,45,9.3
11585,53.2,2.0,5,75,-3.6,None,13,8.7
32252,51.6,1.1,4,60,-3.2,Utility access,46,10.8
623,44.6,0.7,2,24,-6.9,None,43,12.0
10938,46.6,0.0,5,76,20.8,None,14,13.7
1330,48.3,0.3,2,23,-4.6,None,35,10.4
3027,52.0,1.2,3,43,-6.6,None,11,11.3
2558,42.2,0.7,3,39,3.3,None,18,25.7
4396,47.1,0.2,3,38,-5.1,None,8,10.9
14412,35.6,-3.7,3,47,-3.9,None,37,10.8
8219,34.5,2.5,1,11,-9.0,None,1,6.5
1168,54.7,0.9,2,24,-0.4,None,43,7.4
19324,62.0,2.2,5,75,6.9,None,13,23.5
7134,44.8,0.5,2,32,-6.5,None,12,10.3
32566,52.2,-4.1,4,62,-4.6,None,28,-1.6
20250,48.9,-4.4,4,60,-4.7,None,41,8.9
20066,51.2,0.6,4,60,-2.8,None,41,11.1
28401,46.8,-0.5,4,73,-5.3,None,21,11.7
22091,55.2,1.7,4,70,0.4,None,28,6.4
7359,44.1,0.4,2,32,0.9,None,12,21.1
3973,43.7,-2.8,3,36,-8.8,None,15,6.4
7899,48.6,0.4,1,11,-4.7,None,1,3.8
15686,59.2,-0.8,4,67,-3.3,None,3,5.0
2983,55.9,-2.0,3,43,-1.5,None,11,4.5
23017,48.3,-0.2,4,62,1.8,None,34,9.9
28496,50.0,-1.6,4,68,-4.4,None,21,16.0
16,45.0,3.2,2,23,-8.6,None,35,24.0
18924,70.5,6.3,4,63,-3.1,None,16,18.9
14819,49.7,0.0,3,55,11.1,None,48,8.6
22270,50.2,-1.5,4,67,-6.8,None,20,1.8
5880,47.8,-0.2,3,36,-7.7,None,15,12.5
1215,51.6,0.5,2,23,-0.4,None,35,11.8
34648,40.2,-0.3,3,37,-10.1,None,45,12.3
23171,53.1,0.2,4,62,-2.1,None,34,8.6
24776,48.1,2.7,4,65,-6.5,None,24,13.0
11731,47.6,0.1,3,47,-7.7,None,25,3.5
31046,49.1,0.9,2,31,-1.4,None,22,10.4
32259,61.7,-1.3,4,68,-7.3,None,21,28.6
2924,49.6,-1.2,3,43,-7.9,None,26,7.6
4626,47.3,-1.3,2,26,0.5,None,31,7.9
808,70.7,2.8,2,23,-1.5,None,35,18.0
29599,39.3,1.3,3,37,-6.2,Utility Vault,45,11.1
