record_id,industry,zip_code,borough,application_submission_date,city
1454019-PDCL,Pedicab Business,10030,Manhattan,2013-01-16T00:00:00.000,NEW YORK
1454006-PDCL,Pedicab Business,11230,Brooklyn,2013-01-16T00:00:00.000,BROOKLYN
1454541-PDCL,Pedicab Business,11220,Brooklyn,2013-01-22T00:00:00.000,BROOKLYN
1454485-PDCL,Pedicab Business,10457,Bronx,2013-01-22T00:00:00.000,BRONX
1454657-PDCL,Pedicab Business,11235,Brooklyn,2013-01-23T00:00:00.000,BROOKLYN
1454170-PDCL,Pedicab Business,11106,Queens,2013-01-17T00:00:00.000,ASTORIA
1454521-PDCL,Pedicab Business,11377,Queens,2013-01-22T00:00:00.000,WOODSIDE
1454062-PDCL,Pedicab Business,10030,Manhattan,2013-01-16T00:00:00.000,NEW YORK
1454110-PDCL,Pedicab Business,11423,Queens,2013-01-16T00:00:00.000,HOLLIS
1454033-PDCL,Pedicab Business,10460,Bronx,2013-01-16T00:00:00.000,BRONX
1454320-PDCL,Pedicab Business,11102,Queens,2013-01-18T00:00:00.000,ASTORIA
1454395-PDCL,Pedicab Business,10452,Bronx,2013-01-18T00:00:00.000,BRONX
1454041-PDCL,Pedicab Business,10019,Manhattan,2013-01-16T00:00:00.000,NEW YORK
1454063-PDCL,Pedicab Business,10030,Manhattan,2013-01-16T00:00:00.000,NEW YORK
1454126-PDCL,Pedicab Business,11105,,2013-01-16T00:00:00.000,ASTORIA
1453942-PDCL,Pedicab Business,10452,Bronx,2013-01-15T00:00:00.000,BRONX
1454301-PDCL,Pedicab Business,7306,Outside NYC,2013-01-18T00:00:00.000,JERSEY CITY
1453868-PDCL,Pedicab Business,10044,Manhattan,2013-01-15T00:00:00.000,NEW YORK
1454394-PDCL,Pedicab Business,10472,Bronx,2013-01-18T00:00:00.000,BRONX
1454073-PDCL,Pedicab Business,10032,Manhattan,2013-01-16T00:00:00.000,NEW YORK
1454411-PDCL,Pedicab Business,11418,Queens,2013-01-18T00:00:00.000,RICHMOND HILL
1454125-PDCL,Pedicab Business,86165,,2013-01-16T00:00:00.000,AUGSBURG
1453982-PDCL,Pedicab Business,10468,Bronx,2013-01-15T00:00:00.000,BRONX
1454472-PDCL,Pedicab Business,11229,Brooklyn,2013-01-22T00:00:00.000,BROOKLYN
1454653-PDCL,Pedicab Business,10026,Manhattan,2013-01-23T00:00:00.000,NEW YORK
1454233-PDCL,Pedicab Business,10018,Manhattan,2013-01-17T00:00:00.000,NEW YORK
1453973-PDCL,Pedicab Business,11104,Queens,2013-01-15T00:00:00.000,SUNNYSIDE
1454108-PDCL,Pedicab Business,11235,Brooklyn,2013-01-16T00:00:00.000,BROOKLYN
1453920-PDCL,Pedicab Business,11235,Brooklyn,2013-01-15T00:00:00.000,BROOKLYN
1454409-PDCL,Pedicab Business,10453,Bronx,2013-01-18T00:00:00.000,BRONX
1454277-PDCL,Pedicab Business,11218,Brooklyn,2013-01-17T00:00:00.000,BROOKLYN
1452798-PDCL,Pedicab Business,11580,Outside NYC,2012-12-26T00:00:00.000,VALLEY STREAM
1454094-PDCL,Pedicab Business,11214,Brooklyn,2013-01-16T00:00:00.000,BROOKLYN
1454168-PDCL,Pedicab Business,11377,Queens,2013-01-17T00:00:00.000,WOODSIDE
1454501-PDCL,Pedicab Business,10027,Manhattan,2013-01-22T00:00:00.000,NEW YORK
1454264-PDCL,Pedicab Business,10468,Bronx,2013-01-17T00:00:00.000,BRONX
1454052-PDCL,Pedicab Business,10453,Bronx,2013-01-16T00:00:00.000,BRONX
1454529-PDCL,Pedicab Business,11229,Brooklyn,2013-01-22T00:00:00.000,BROOKLYN
1454302-PDCL,Pedicab Business,7306,,2013-01-18T00:00:00.000,JERSEY CITY
1454458-PDCL,Pedicab Business,10458,Bronx,2013-01-22T00:00:00.000,BRONX
1454557-PDCL,Pedicab Business,11209,Brooklyn,2013-01-22T00:00:00.000,BROOKLYN
1454263-PDCL,Pedicab Business,10030,Manhattan,2013-01-17T00:00:00.000,NEW YORK
1454181-PDCL,Pedicab Business,10457,Bronx,2013-01-17T00:00:00.000,BRONX
1454655-PDCL,Pedicab Business,11372,Queens,2013-01-23T00:00:00.000,JACKSON HTS
1454278-PDCL,Pedicab Business,11218,Brooklyn,2013-01-17T00:00:00.000,BROOKLYN
1453986-PDCL,Pedicab Business,10030,Manhattan,2013-01-15T00:00:00.000,NEW YORK
1453898-PDCL,Pedicab Business,11235,Brooklyn,2013-01-15T00:00:00.000,BROOKLYN
1453866-PDCL,Pedicab Business,11235,Brooklyn,2013-01-15T00:00:00.000,BROOKLYN
1453975-PDCL,Pedicab Business,11104,Queens,2013-01-15T00:00:00.000,SUNNYSIDE
1453903-PDCL,Pedicab Business,11229,Brooklyn,2013-01-15T00:00:00.000,BROOKLYN
1454654-PDCL,Pedicab Business,11372,Queens,2013-01-23T00:00:00.000,JACKSON HTS
1454161-PDCL,Pedicab Business,10460,Bronx,2013-01-17T00:00:00.000,BRONX
1454536-PDCL,Pedicab Business,11217,Brooklyn,2013-01-22T00:00:00.000,BROOKLYN
1454017-PDCL,Pedicab Business,10031,Manhattan,2013-01-16T00:00:00.000,NEW YORK
1453987-PDCL,Pedicab Business,10031,Manhattan,2013-01-15T00:00:00.000,NEW YORK
1454070-PDCL,Pedicab Business,11235,Brooklyn,2013-01-16T00:00:00.000,BROOKLYN
1454109-PDCL,Pedicab Business,11204,Brooklyn,2013-01-16T00:00:00.000,BROOKLYN
1454404-PDCL,Pedicab Business,11104,Queens,2013-01-18T00:00:00.000,SUNNYSIDE
1454403-PDCL,Pedicab Business,11235,Brooklyn,2013-01-18T00:00:00.000,BROOKLYN
1454330-PDCL,Pedicab Business,11235,Brooklyn,2013-01-18T00:00:00.000,BROOKLYN
1454526-PDCL,Pedicab Business,11377,Queens,2013-01-22T00:00:00.000,WOODSIDE
1454229-PDCL,Pedicab Business,10018,Manhattan,2013-01-17T00:00:00.000,NEW YORK
1454067-PDCL,Pedicab Business,10016,Manhattan,2013-01-16T00:00:00.000,NEW YORK
1454060-PDCL,Pedicab Business,11226,Brooklyn,2013-01-16T00:00:00.000,BROOKLYN
1454491-PDCL,Pedicab Business,11229,Brooklyn,2013-01-22T00:00:00.000,BROOKLYN
1454504-PDCL,Pedicab Business,11377,Queens,2013-01-22T00:00:00.000,WOODSIDE
1454054-PDCL,Pedicab Business,11214,Brooklyn,2013-01-16T00:00:00.000,BROOKLYN
