maxmum_salary,minmum_salary,agency_name,title_code_name
117901,117901,MAYORALTY,ADMINISTRATIVE PROCUREMENT ANALYST
176232,75905,MAYORALTY,SPECIAL ASSISTANT (MA)-MGRL
107431,54912,BOARD OF ELECTIONS,ADMINISTRATIVE ASSOCIATE (BOARD OF ELECTIONS)
88541,62215,MAYORALTY,COMMUNITY COORDINATOR
203996,203996,MAYORALTY,ASST DIR OF INTERGVNMENTAL RELTNS FOR THE ALBANY OFFICE (MA)
138310,105703,BOARD OF ELECTIONS,COMPUTER SPECIALIST (SOFTWARE - BOARD OF ELECTIONS)
180250,180250,MAYORALTY,CHIEF SERVICE OFFICER (MA)
238960,238960,MAYORALTY,SENIOR ADVISOR TO THE MAYOR (MA)
156556,156556,MAYORALTY,ASSISTANT TO THE MAYOR
44039,44039,MAYORALTY,MAYORAL OFFICE ASSISTANT
190550,66950,MAYORALTY,PRESS OFFICER (OFFICE OF THE MAYOR)MANAGERIAL ASSSIGNMENTS
237033,237033,MAYORALTY,EXECUTIVE ADMINISTRATOR OF GRACIE MANSION
219255,153348,MAYORALTY,ASSISTANT COMMISSIONER OF LABOR RELATIONS (OLR)
62932,33121,BOARD OF ELECTIONS,CLERK TO THE BOARD (BOARD OF ELECTIONS)
83695,43219,MAYORALTY,MAYORAL OFFICE ASSISTANT
227786,227786,MAYORALTY,DIRECTOR OF IMMIGRANT AFFAIRS (MA)
56911,56911,OFFICE OF THE ACTUARY,PROCUREMENT ANALYST
62684,62684,MAYORALTY,INSURANCE ADVISOR
98462,70397,BOARD OF ELECTIONS,DIRECTOR OF EQUIPMENT (BOARD OF ELECTIONS)
101987,101987,MAYORALTY,COMPUTER SPECIALIST (OPERATIONS)
158881,158881,CAMPAIGN FINANCE BOARD,DIRECTOR OF PUBLIC RELATIONS (CAMPAIGN FINANCE BOARD)
91311,91311,MAYORALTY,SECRETARY TO THE COMMISSIONER OF LABOR RELATIONS (OLR)
101993,83785,BOARD OF ELECTIONS,ASSOCIATE STAFF ANALYST(BOARD OF ELECTIONS)
107770,68499,MAYORALTY,CITY RESEARCH SCIENTIST
139804,80568,CAMPAIGN FINANCE BOARD,ATTORNEY-CAMPAIGN FIN BOARD
184401,103000,MAYORALTY,EXECUTIVE AGENCY COUNSEL
243171,243171,MAYORALTY,DIRECTOR OF CRIMINAL JUSTICE (MA)
65611,52362,BOARD OF ELECTIONS,TRAINER ASSISTANT (BOARD OF ELECTIONS)
51564,51564,MAYORALTY,MAYORAL OFFICE ASSISTANT
119712,82400,BOARD OF ELECTIONS,SENIOR ADMINISRATOR (BOARD OF ELECTIONS)
107242,46856,MAYORALTY,BUDGET ANALYST (OMB)
227786,227786,MAYORALTY,DIRECTOR OF COMMUNITY ASSISTANCE UNIT
92000,47380,MAYORALTY,SECRETARY
222924,222924,MAYORALTY,EXECUTIVE AGENCY COUNSEL
139440,80000,MAYORALTY,ADMINISTRATIVE MANAGER
117003,103618,BOARD OF ELECTIONS,SENIOR SYSTEMS ANALYSTS (BOARD OF ELECTIONS)
85939,58127,MAYORALTY,LABOR RELATIONS ANALYST
243171,243171,MAYORALTY,COMMISSIONER OF LABOR RELATIONS (OLR)
197043,168508,BOARD OF ELECTIONS,ADMINISTRATIVE MANAGER (BOARD OF ELECTIONS)
69525,53000,MAYORALTY,RESEARCH PROJECTS COORDINATOR (MA)
103000,38110,CAMPAIGN FINANCE BOARD,ADMIN ASST-CAMPAIGN FIN BOARD
130854,80543,BOARD OF ELECTIONS,PROJECT COORDINATOR (BOARD OF ELECTIONS)
134281,134281,MAYORALTY,SPECIAL ASSISTANT (MA)-MGRL
196950,151270,MAYORALTY,COMPUTER SYSTEMS MANAGER
204696,57548,MAYORALTY,SPECIAL ASSISTANT (MA)-MGRL
211150,56282,MAYORALTY,SPECIAL ASSISTANT (MA)-MGRL
211150,69525,MAYORALTY,ASSISTANT TO THE DEPUTY MAYOR (OFFICE OF THE MAYOR)
177904,63191,MAYORALTY,RESEARCH PROJECTS COORD (MA)-MGRL
86745,73722,BOARD OF ELECTIONS,SENIOR ADMINISTRATIVE ASSISTANT (BOE)
176232,60000,MAYORALTY,RESEARCH PROJECTS COORD (MA)-MGRL
156053,91878,MAYORALTY,ADMINISTRATIVE LABOR RELATIONS ANALYST
67000,67000,MAYORALTY,EXECUTIVE ASST TO THE NYC COMMISSION TO THE UNITED NATIONS
222924,111121,MAYORALTY,BUDGET ANALYST (OMB)-MANAGERIAL ASSIGNMENTS
220652,220652,MAYORALTY,COUNSEL TO THE MAYOR
193002,176232,MAYORALTY,"ADMIN CONTRACT SPECIALIST (PYRLS 069,071,094,250,261)"
54104,54104,OFFICE OF THE ACTUARY,SECRETARY TO THE CHIEF ACTUARY
85447,45000,BOARD OF ELECTIONS,VOTING MACHINE TECHNICIAN (BOARD OF ELECTIONS)
176671,63047,CAMPAIGN FINANCE BOARD,SYSTEMS ADMINISTRATOR-CAM FIN BD
139050,82190,MAYORALTY,RESEARCH PROJECTS COORD (MA)-MGRL
81800,81800,MAYORALTY,ADMINISTRATIVE PROCUREMENT ANALYST-NON-MGRL
87789,87789,MAYORALTY,EXECUTIVE ASSISTANT-MIDTOWN ENFORCEMENT (MA)
193226,193226,CAMPAIGN FINANCE BOARD,EXECUTIVE AGENCY COUNSEL
120273,100000,OFFICE OF THE ACTUARY,ADMINISTRATIVE STAFF ANALYST
148000,148000,MAYORALTY,DIRECTOR (CRIMINAL JUSTICE COORDINATING COUNCIL)
79112,70856,MAYORALTY,ACCOUNTANT
97850,87550,MAYORALTY,SPECIAL ASSISTANT (MA)-MGRL
62830,41200,MAYORALTY,RESEARCH PROJECTS COORDINATOR (MA)
112700,112700,MAYORALTY,ARCHITECT
189763,75190,MAYORALTY,RESEARCH PROJECTS COORD (MA)-MGRL
88913,88912,MAYORALTY,SECRETARY (OFFICE OF THE MAYOR)
173216,173216,MAYORALTY,DEPUTY GENERAL COUNSEL (OMB)
180472,180472,MAYORALTY,ASST DIRECTOR OF INTERGOVERMENTAL REL FOR CITY LEGIST AFFS
56650,56650,MAYORALTY,SPECIAL ASSISTANT (OFFICE OF THE MAYOR)
135653,135653,MAYORALTY,DIRECTOR (EMPLOYEE ASSISTANCE PROGRAM)
311885,311885,OFFICE OF THE ACTUARY,CHIEF ACTUARY
227786,227786,MAYORALTY,"COMMISSIONER, UN & CONSULAR CORPS DIPLOMATIC RELATIONS"
