studio_name,website,location_1,community_board,census_tract
Silver Sound Inc.,www.silversound.us,"{'latitude': '40.744929207453', 'longitude': '-73.989792880475', 'human_address': '{""address"": ""28 27th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}'}",,
VideoActive Productions,www.videoactiveprod.com,"{'latitude': '40.759003271609', 'longitude': '-73.985190670145', 'human_address': '{""address"": ""1560 Broadway"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10036""}'}",5.0,125.0
Integrated Studios,www.integratedstudios.com,"{'latitude': '40.723912051628', 'longitude': '-74.010252456642', 'human_address': '{""address"": ""449 Washington St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10013""}'}",1.0,39.0
Big Yellow Duck,www.bigyellowduck.com,"{'latitude': '40.756422542988', 'longitude': '-73.981914819499', 'human_address': '{""address"": ""62 45th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10036""}'}",,
Studio Center ,http://studiocenter.com/Home.aspx,"{'latitude': '40.753028074201', 'longitude': '-73.979078557076', 'human_address': '{""address"": ""315 Madison"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10017""}'}",5.0,82.0
Full House Productions,www.fullhouseny.com,"{'latitude': '40.740167320246', 'longitude': '-73.995686422457', 'human_address': '{""address"": ""123 18th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10011""}'}",,
audioEngine,www.audioengine.net,"{'latitude': '40.73318406175', 'longitude': '-73.991132870299', 'human_address': '{""address"": ""817 Broadway"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10003""}'}",2.0,61.0
Now Hear This,www.nhtsound.com,"{'latitude': '40.761171544305', 'longitude': '-73.985479624333', 'human_address': '{""address"": ""250 49th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10019""}'}",,
Soundtrack,www.soundtrackny.com,"{'latitude': '40.740476155115', 'longitude': '-73.989398597655', 'human_address': '{""address"": ""936 Broadway"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10010""}'}",5.0,56.0
Strongboy Studios,www.strongboystudios.com,"{'latitude': '40.829492457868', 'longitude': '-73.945950931547', 'human_address': '{""address"": ""512 151st Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10031""}'}",9.0,237.0
