studio_name,number_and_street_address,phone,email,fax,bin,:@computed_region_efsh_h5xi
Serge Audio,260 Fifth Ave,212-213-0808,info@sergeaudio.com,,1015732.0,11722
Soundtrack Film & Television,128 22nd Street,212-420-6010,,,,12074
Now Hear This,250 49th Street,212-265-1188,larry@nhtsound.com,212-265-6363,,12081
"Pomann Sound, Inc.",2 46th Street,212-869-4161,info@pomannsound.com,212-869-4541,,13094
Silver Sound Inc.,28 27th Street,212-757-5147,cory@silversound.us,212-757-6245,,12073
Hobo Audio Company,555 Eighth Ave,212-967-6532,info@hoboaudio.com,646-607-2767,1013623.0,12080
Manhattan Center Studios,311 34th Street,877-627-8834,obie@mcpstudios.com,212-564-1092,,11722
Soundtrack,936 Broadway,212-420-6010,maegan.hayward@soundtrackny.com,612-677-6403,1016277.0,12073
Btoven Music,245 55th Street,917-749-0271,brian@btovenmusic.com,,,12081
Vertical Entertainment,440 41st Street,310-435-3766,info@vrtclentertainment.com,,,13094
Integrated Studios,449 Washington Street,212-334-4000,info@integratedstudios.com,212-334-6969,1002920.0,12076
Full House Productions,123 18th Street,212-645-2228,,212-627-2838,,12074
Mediaracket,19 21st Street,212-961-7337,tom@mediaracket.com,212-633-9933,,12073
SoundHound Inc.,45 45th Street,212-575-8664,arhodes@soundhound.com,212-575-9412,,13094
audioEngine,817 Broadway,212-473-2700,jenniferh@audioengine.net,212-473-2772,1009134.0,11724
Big Yellow Duck,62 45th Street,212-997-1200,ralph@bigyellowduck.com,212-997-1293,,13094
VideoActive Productions,1560 Broadway,212-541-6592,vworks@aol.com,,1022661.0,13094
"Mixopolis, Inc.",5 47th Street,212-980-5009,lydia@mixopolis.com,212-223-4524,,12079
Avatar Studios,441 53rd Street,212-765-7500,tino@avatarstudios.net,,,12081
Bond,665 Broadway,212-533-9400,jeff_beckerman@bondedit.com,,1083504.0,12075
HSR/NY,420 Lexington Avenue,212-687-4180,zoes@hsrny.com,,1035385.0,12079
Strongboy Studios,512 151st Street,212-203-2325,ny411@strongboystudios.com,212-222-1113,1062160.0,12428
Studio Center ,315 Madison,212-986-3070,sharon@tonic.tv,212-490-9737,1035336.0,12079
Beatstreet Productions,928 Broadway,212-777-8440,info@beatstreetnyc.com,212-477-1735,1016242.0,12073
"Splash Studios, Inc.",49 23rd Street,212-271-8747,booking@splash-studios.com,212-271-8748,,12073
