the_geom,oftcode,shape_stle,geoborough,onstreetna,tostreetna,dateprotec
"{'type': 'MultiLineString', 'coordinates': [[[-73.95871707360597, 40.77233167461374], [-73.9582553495598, 40.7729653363525]]]}",110210118510118530,263.919540871,M,3 AVENUE,EAST 77 STREET,2022-08-22T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.9698858979703, 40.75299884890024], [-73.9694310259929, 40.753623508870135]]]}",110110117930117950,260.14817167,M,2 AVENUE,EAST 48 STREET,2024-07-10T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95252222674863, 40.79234762218687], [-73.95207127213337, 40.79298117166512]]]}",110410119030119050,262.433869192,M,5 AVENUE,EAST 104 STREET,2023-05-08T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-74.00517420306635, 40.71900459467341], [-74.00518616259471, 40.71983746663683]]]}",110510132900145290,303.458907795,M,AVENUE OF THE AMERICAS,WHITE STREET,2024-03-26T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.99280340951111, 40.7429100197962], [-73.992321823676, 40.743568093502574]]]}",110510134230134250,274.393639848,M,AVENUE OF THE AMERICAS,WEST 24 STREET,2022-08-25T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95124788445415, 40.77855085207918], [-73.9507922915231, 40.779179704288964]]]}",110110118730118750,261.559124739,M,2 AVENUE,EAST 88 STREET,2025-09-12T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98189428266197, 40.76296844732649], [-73.98143352012805, 40.763594359520184]]]}",110610134830134850,261.331655032,M,7 AVENUE,WEST 54 STREET,2021-10-13T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.9503362980029, 40.779809968256686], [-73.94988080854911, 40.78043584513734]]]}",110110118770118790,260.595121729,M,2 AVENUE,EAST 90 STREET,2025-09-11T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97493471319123, 40.750099628030995], [-73.97444451615814, 40.75076469254376]]]}",110210117810117830,277.773930978,M,3 AVENUE,EAST 42 STREET,2025-10-31T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.9776027017767, 40.7381717951741], [-73.97714764855262, 40.7387954602831]]]}",110010117490117510,259.868700259,M,1 AVENUE,EAST 26 STREET,2022-05-31T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97720589217212, 40.74285421973962], [-73.9767606795982, 40.743472498031146]]]}",110110117610117630,256.829299731,M,2 AVENUE,EAST 32 STREET,2024-05-01T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97628766920627, 40.74824542122936], [-73.97584137859138, 40.7488859548919]]]}",110210117750117770,264.104864355,M,3 AVENUE,EAST 39 STREET,2025-10-29T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98417368705124, 40.759841592054435], [-73.98373015417644, 40.76045708823707]]]}",110610134730134750,255.702142428,M,7 AVENUE,WEST 49 STREET,2021-10-13T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98373015417644, 40.76045708823707], [-73.98326290994166, 40.76109361500129]]]}",110610134750134770,265.585714766,M,7 AVENUE,WEST 50 STREET,2021-10-13T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96276715589917, 40.77831304073531], [-73.96230361508411, 40.77894704081643]]]}",110410118610118630,264.266064194,M,5 AVENUE,EAST 82 STREET,2024-05-16T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97718733816704, 40.74701018032204], [-73.97673494373818, 40.74762789031359]]]}",110210117710117730,257.60657237,M,3 AVENUE,EAST 37 STREET,2025-10-28T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.99459264923739, 40.74044198100269], [-73.9941607835612, 40.74102882222977]]]}",110510134150134170,245.01961199,M,AVENUE OF THE AMERICAS,WEST 20 STREET,2023-10-11T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95347673231439, 40.80191664018077], [-73.95378468444713, 40.80149342684549], [-73.95393382600909, 40.80128858697913]]]}",110610136030136050,261.484913403,M,7 AVENUE,WEST 114 STREET,2025-07-18T00:00:00.000
