oftcode,fromstreet
110010118210118230,EAST 61 STREET
110110118670118690,EAST 84 STREET
110210118470118490,EAST 74 STREET
110610136510136530,WEST 137 STREET
110610134790134810,WEST 51 STREET
110110117910117930,EAST 46 STREET
110610134750134770,WEST 49 STREET
110110117170131090,EAST 9 STREET
110610134870134890,WEST 55 STREET
110010117850117870,EAST 43 STREET
110010117930117950,EAST 47 STREET
110110118870118890,EAST 95 STREET
110210118070118090,EAST 54 STREET
110610136150136170,WEST 119 STREET
110110118750118770,EAST 88 STREET
110610136010136030,WEST 112 STREET
110610134730134750,WEST 48 STREET
110110117050117070,EAST 3 STREET
110410118590118610,EAST 80 STREET
110110118650118670,EAST 83 STREET
110210117710117730,EAST 36 STREET
110110118570118590,EAST 79 STREET
110210117270117290,EAST 14 STREET
110610134490134510,WEST 36 STREET
110010118350118370,EAST 68 STREET
110210118690118710,EAST 85 STREET
110110117230117250,EAST 12 STREET
110510134130134150,WEST 18 STREET
110110118730118750,EAST 87 STREET
110410118850118870,EAST 94 STREET
110510134270134290,WEST 25 STREET
110510134030134050,WEST 13 STREET
110410118510118530,EAST 76 STREET
110510134070134090,WEST 15 STREET
110110117210117230,EAST 11 STREET
110610136530136550,WEST 138 STREET
110110118050118070,EAST 53 STREET
110610136210136230,WEST 122 STREET
110110118130118150,EAST 57 STREET
110110118820118830,EAST 92 STREET
110610131190136070,ST NICHOLAS AVENUE
110610136170136190,WEST 120 STREET
110010117890117910,EAST 45 STREET
110110118690118710,EAST 85 STREET
110110118770118790,EAST 89 STREET
110510134210134230,WEST 22 STREET
110610134450134470,WEST 34 STREET
110210118550118570,EAST 78 STREET
110610136050136070,WEST 114 STREET
110010117470117490,EAST 24 STREET
110210119250119270,EAST 115 STREET
110610134530134550,WEST 38 STREET
110610134830134850,WEST 53 STREET
110410118530118550,EAST 77 STREET
110510134230134250,WEST 23 STREET
110610136310136330,WEST 127 STREET
110010117570117590,EAST 29 STREET
110210118910118930,EAST 97 STREET
110210117310117330,EAST 16 STREET
110110117950117970,EAST 48 STREET
110210117670117690,EAST 34 STREET
110210117730117750,EAST 37 STREET
110210118010118030,EAST 51 STREET
110610136250136270,WEST 124 STREET
110010118370118390,EAST 69 STREET
110110118810118820,EAST 91 STREET
110110117890117910,EAST 45 STREET
110210117550117570,EAST 28 STREET
110010118310118330,EAST 66 STREET
110110118110118130,EAST 56 STREET
110210119210119250,EAST 112 STREET
110010117490117510,EAST 25 STREET
110110117930117950,EAST 47 STREET
110110117010117030,EAST 1 STREET
110110117070117090,EAST 4 STREET
110210117250117270,EAST 13 STREET
110210118570118590,EAST 79 STREET
110210117230117250,EAST 12 STREET
110110118850118870,EAST 94 STREET
110610136450136470,WEST 134 STREET
110210119130119150,EAST 108 STREET
110010118410118430,EAST 71 STREET
110210117690117710,EAST 35 STREET
110210118030118050,EAST 52 STREET
110210118610118630,EAST 81 STREET
110510134150134170,WEST 19 STREET
110210118990119010,EAST 101 STREET
110210117190117210,EAST 10 STREET
110210117210117230,EAST 11 STREET
110210118590118610,EAST 80 STREET
110010117550117570,EAST 28 STREET
110410119030119050,EAST 103 STREET
110210117530117550,EAST 27 STREET
110610134850134870,WEST 54 STREET
110010117590117650,EAST 30 STREET
110610136030136050,WEST 113 STREET
110510134250134270,WEST 24 STREET
110210117170131790,EAST 9 STREET
110210118810118820,EAST 91 STREET
110110117170117190,EAST 9 STREET
110010118250118270,EAST 63 STREET
110610134810134830,WEST 52 STREET
110610134770134790,WEST 50 STREET
110610136370136390,WEST 130 STREET
110210117410117430,EAST 21 STREET
110510133990134010,WEST 11 STREET
110010117910117930,EAST 46 STREET
110110118890118910,EAST 96 STREET
110210118710118730,EAST 86 STREET
110410136490136510,WEST 136 STREET
110210117170117190,EAST 9 STREET
110110118910118950,EAST 97 STREET
110210118930118950,EAST 98 STREET
110110117990118010,EAST 50 STREET
110010117250117270,EAST 13 STREET
110210118050118070,EAST 53 STREET
110210118890118910,EAST 96 STREET
110010117870117890,EAST 44 STREET
110510134190134210,WEST 21 STREET
110410122450136590,HARLEM RIVER DRIVE
110210118750118770,EAST 88 STREET
110210118970118990,EAST 100 STREET
110010117230117250,EAST 12 STREET
110610136430136450,WEST 133 STREET
110510132900145290,WALKER STREET
110110118590118610,EAST 80 STREET
110610136330136350,WEST 128 STREET
110210118770118790,EAST 89 STREET
110610134470134490,WEST 35 STREET
110210117330117350,EAST 17 STREET
110210117990118010,EAST 50 STREET
110210117770117790,EAST 39 STREET
110210118450118470,EAST 73 STREET
110210118530118550,EAST 77 STREET
110210117790117810,EAST 40 STREET
110210118950118970,EAST 99 STREET
110610136190136210,WEST 121 STREET
110610134550134570,WEST 39 STREET
110610134510134530,WEST 37 STREET
110610134570134590,WEST 40 STREET
110610136230136250,WEST 123 STREET
110110117590117610,EAST 30 STREET
110210119150119170,EAST 109 STREET
110610135990136010,WEST 111 STREET
110210119170119190,EAST 110 STREET
110110118830118850,EAST 93 STREET
110010118270118290,EAST 64 STREET
110210117750117770,EAST 38 STREET
110410118610118630,EAST 81 STREET
110510124400145600,LAIGHT STREET
110010118290118310,EAST 65 STREET
110210119050119070,EAST 104 STREET
110210118430118450,EAST 72 STREET
110010118330118350,EAST 67 STREET
110110117630117650,EAST 32 STREET
110010117450117470,EAST 23 STREET
110510134170134190,WEST 20 STREET
110110118710118730,EAST 86 STREET
110110118790118810,EAST 90 STREET
110510134050134070,WEST 14 STREET
110210119110119130,EAST 107 STREET
110010117950117970,EAST 48 STREET
110410118630118650,EAST 82 STREET
110410118470118490,EAST 74 STREET
110110118030118050,EAST 52 STREET
