the_geom,oftcode,fromstreet,onstreetna
"{'type': 'MultiPoint', 'coordinates': [[-73.98724977701296, 40.729186160955976]]}",110110117170000000,EAST 9 STREET,2 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.98767161564145, 40.72859510401478]]}",110110131090000000,ST MARKS PLACE,2 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.95400505182224, 40.801318959538825], [-73.95393382600909, 40.80128858697913], [-73.95384329498714, 40.8012499067466]]}",110610136030000000,WEST 113 STREET,7 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.98969328136359, 40.752280262734836]]}",110610134490000000,WEST 36 STREET,7 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.97714764855262, 40.7387954602831]]}",110010117510000000,EAST 26 STREET,1 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.96322991781417, 40.777677047472004]]}",110410118590000000,EAST 80 STREET,5 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.96895616150385, 40.75013124386871], [-73.968907972376, 40.75011244361418]]}",110010117870000000,EAST 44 STREET,1 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-74.00051066363521, 40.732315222921606]]}",110510132990000000,WASHINGTON PLACE,AVENUE OF THE AMERICAS
"{'type': 'MultiPoint', 'coordinates': [[-73.96653617053364, 40.773140368104215]]}",110410118450000000,EAST 73 STREET,5 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.97126234417276, 40.751122240368666]]}",110110117870000000,EAST 44 STREET,2 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.95505481617236, 40.77333685058374]]}",110110118570000000,EAST 79 STREET,2 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.96897803788579, 40.75425053582636]]}",110110117970000000,EAST 49 STREET,2 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.95303367925406, 40.7801254554615]]}",110210118750000000,EAST 88 STREET,3 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.98052788778043, 40.76484349739509]]}",110610134890000000,WEST 56 STREET,7 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.98363145031114, 40.73816524559405]]}",110210117430000000,EAST 22 STREET,3 AVENUE
