of_students_assigned_to_1,of_students_assigned_to_2,school_type_4,grade_5,of_students_assigned_to_4,grade_2,of_students_assigned_to_5,of_students_assigned_to_3,april_2019_service_type,grade_1
566,552,Public,5,541,5,545,528,Stop to School,5
20,19,Public,11,19,11,18,18,Door to Door,11
133,129,Public,5,109,5,105,124,Door to Door,5
1,2,Non-Public,0K,1,0K,1,1,Door to Door,0K
1,2,Non-Public,1,2,1,2,2,Stop to School,1
8,8,Non-Public,5,7,5,7,7,Door to Door,5
562,524,Public,6,501,6,519,501,Stop to School,6
752,737,Public,0K,727,0K,752,733,Stop to School,0K
772,745,Public,2,738,2,760,736,Stop to School,2
5087,4950,,,4804,,4889,4828,Total Stop to School Students,
6618,6418,,,6153,,6192,6250,Grand Total,
1,1,Non-Public,2,1,2,1,1,Stop to School,2
131,133,Public,8,126,8,138,133,Stop to School,8
3,3,Non-Public,9,4,9,3,4,Door to Door,9
1,1,Non-Public,12,1,12,2,1,Door to Door,12
4,4,Non-Public,7,5,7,5,4,Door to Door,7
124,126,Public,7,135,7,131,122,Stop to School,7
