of_students_assigned_to_1,may_2019_service_type,of_students_assigned_to,school_type,grade_3,january_2019_service_type,school_type_3,school_type_2
1,Stop to School,1,Non-Public,8,Stop to School,Non-Public,Non-Public
9,Door to Door,7,Non-Public,6,Door to Door,Non-Public,Non-Public
150,Door to Door,151,Public,2,Door to Door,Public,Public
13,Door to Door,14,Non-Public,NG,Door to Door,Non-Public,Non-Public
1,Stop to School,1,Non-Public,3,Stop to School,Non-Public,Non-Public
3,Door to Door,3,Non-Public,10,Door to Door,Non-Public,Non-Public
100,Door to Door,98,Public,8,Door to Door,Public,Public
157,Door to Door,161,Public,4,Door to Door,Public,Public
7,Door to Door,7,Non-Public,3,Door to Door,Non-Public,Non-Public
1,Stop to School,1,Non-Public,0K,Stop to School,Non-Public,Non-Public
835,Stop to School,816,Public,1,Stop to School,Public,Public
65,Door to Door,64,Public,9,Door to Door,Public,Public
1,Stop to School,1,Non-Public,4,Stop to School,Non-Public,Non-Public
1,Stop to School,1,Non-Public,5,Stop to School,Non-Public,Non-Public
1,Stop to School,1,Non-Public,6,Stop to School,Non-Public,Non-Public
47,Door to Door,43,Public,10,Door to Door,Public,Public
