address,city,sa,:@computed_region_f5dn_yrer,tu,bin
29-42 Union Street,Flushing,10:00 AM - 5:00 PM,22.0,1:00 PM - 6:00 PM,4043430110.0
158-21 Jewel Avenue,Flushing,10:00 AM - 5:00 PM,25.0,1:00 PM - 6:00 PM,4067900022.0
134-26 225 Street,Laurelton,10:00 AM - 5:00 PM,63.0,1:00 PM - 6:00 PM,4131050007.0
Now a Family Literacy Center,"10-43 41 Ave., LIC",Closed - Closed,,Closed - Closed,
108-41 Guy R. Brewer Boulevard,Jamaica,Closed - Closed,41.0,Closed - Closed,4101710008.0
72-33 Vleigh Place,Flushing,Closed - Closed,25.0,1:00 PM - 6:00 PM,4066610005.0
85-12 Main Street,Briarwood,10:00 AM - 5:00 PM,25.0,1:00 PM - 6:00 PM,4096510025.0
25-01 Jackson Avenue,Long Island City,10:00 AM - 5:00 PM,53.0,1:00 PM - 6:00 PM,4000790030.0
78-60 73 Place,Glendale,Closed - Closed,54.0,Closed - Closed,4036960047.0
218-13 Linden Boulevard,Cambria Heights,10:00 AM - 5:00 PM,63.0,1:00 PM - 6:00 PM,4113190001.0
21-45 31 Street,Long Island City,10:00 AM - 5:00 PM,39.0,1:00 PM - 6:00 PM,4008310015.0
100-01 Northern Boulevard,Corona,10:00 AM - 5:00 PM,65.0,1:00 PM - 6:00 PM,4016950039.0
103-34 Lefferts Boulevard,Richmond Hill,10:00 AM - 5:00 PM,62.0,1:00 PM - 6:00 PM,4095560020.0
249-01 Northern Boulevard,Little Neck,10:00 AM - 5:00 PM,26.0,1:00 PM - 6:00 PM,4081260087.0
312 Beach 54 Street,Arverne,10:00 AM - 5:00 PM,51.0,1:00 PM - 6:00 PM,4158900018.0
196-36 Northern Boulevard,Flushing,10:00 AM - 5:00 PM,26.0,1:00 PM - 6:00 PM,4055200018.0
18-36 Bell Boulevard,Bayside,10:00 AM - 5:00 PM,22.0,1:00 PM - 6:00 PM,4058650082.0
144-20 243 Street,Rosedale,10:00 AM - 5:00 PM,63.0,1:00 PM - 6:00 PM,4135490007.0
20-12 Madison Street,Ridgewood,10:00 AM - 5:00 PM,54.0,1:00 PM - 6:00 PM,4034910001.0
204-01 Hollis Avenue,South Hollis,10:00 AM - 5:00 PM,41.0,1:00 PM - 6:00 PM,4109070030.0
89-11 Merrick Boulevard,Jamaica,10:00 AM - 5:00 PM,41.0,9:00 AM - 7:00 PM,4097980006.0
89-11 Merrick Boulevard,Jamaica,10:00 AM - 5:00 PM,41.0,9:00 AM - 9:00 PM,4097980006.0
85-41 Forest Parkway,Woodhaven,10:00 AM - 5:00 PM,46.0,1:00 PM - 6:00 PM,4088560085.0
121-23 14 Avenue,College Point,10:00 AM - 5:00 PM,22.0,1:00 PM - 6:00 PM,4040420113.0
256-04 Union Turnpike, Glen Oaks,10:00 AM - 5:00 PM,63.0,1:00 PM - 6:00 PM,4086930010.0
