census_tract,latitude,postcode
88901.0,40.771345,11354
122701.0,40.732272,11365
630.0,40.677059,11413
,,11101
258.0,40.695879,11433
77907.0,40.725815,11367
22001.0,40.71014,11435
19.0,40.746845,11101
623.0,40.703149,11385
598.0,40.69554,11411
113.0,40.777105,11105
363.0,40.757361,11368
106.0,40.687273,11419
1479.0,40.76795,11363
97204.0,40.593066,11692
145101.0,40.757877,11358
99704.0,40.783103,11360
654.0,40.660152,11422
589.0,40.705193,11385
508.0,40.706755,11412
460.0,40.707865,11432
460.0,40.707865,11432
12.0,40.694619,11421
929.0,40.785984,11356
157902.0,40.745388,11004
892.0,40.664069,11414
83.0,40.772173,11102
695.0,40.726991,11374
80301.0,40.743081,11355
403.0,40.750871,11368
33402.0,40.672568,11434
,,11691
65702.0,40.71258,11379
283.0,40.751319,11372
129103.0,40.734936,11364
288.0,40.680318,11436
94203.0,40.5863,11693
528.0,40.692284,11412
818.0,40.675084,11420
460.0,40.707865,11432
1017.0,40.773525,11358
93402.0,40.57971,11694
353.0,40.76278,11369
157.0,40.758859,11103
,,11106
1333.0,40.728981,11366
1347.0,40.74172,11365
729.0,40.710913,11375
103202.0,40.604487,11691
152901.0,40.75942,11362
460.0,40.707865,11432
853.0,40.757784,11355
455.0,40.738027,11368
132.0,40.701022,11418
157101.0,40.735403,11426
251.0,40.745524,11377
987.0,40.78864,11357
473.0,40.738498,11373
1471.0,40.760363,11361
49302.0,40.727126,11378
739.0,40.721777,11375
1171.0,40.763998,11354
18502.0,40.740977,11104
107201.0,40.600838,11693
566.0,40.719749,11428
43.0,40.757826,11101
478.0,40.719914,11423
54.0,40.681283,11417
