address,borough,facility_type,bin,bbl
850 KENT AVE,BROOKLYN,Dental X-Ray,3054671,3018970013
8712 4TH AVE,BROOKLYN,Non-Hospital X-Ray,3153726,3060490041
2811 OCEAN AVENUE SUITE 2,BROOKLYN,Dental X-Ray,3202165,3074050038
690 FLATBUSH AVENUE,BROOKLYN,Dental X-Ray,3114644,3050260250
2409 AVENUE Z,BROOKLYN,Non-Hospital X-Ray,3425904,3074417501
1014 BROOKLYN AVE,BROOKLYN,Non-Hospital X-Ray,3110192,3049060013
4901 FORT HAMILTON PARKWAY,BROOKLYN,Dental X-Ray,3137614,3056390040
3201 KINGS HWY,BROOKLYN,Hospital X-Ray,3210431,3076680024
919 2 AVENUE,NEW YORK,Non-Hospital X-Ray,1038040,1013227502
169 KENT ST,BROOKLYN,Dental CBCT X-Ray,3064648,3025510058
2348 RALPH AVE,BROOKLYN,Dental X-Ray,3336930,3078840065
1403 FULTON ST,BROOKLYN,Veterinary X-Ray,3053471,3018540061
910 PARK PL APT 1B SUITE 1B,BROOKLYN,Dental X-Ray,3031550,3012417501
7101 4 AVENUE,BROOKLYN,Dental X-Ray,3146596,3058920006
2667 CONEY ISLAND AVE,BROOKLYN,Dental X-Ray,3201703,3073950032
73 EASTERN PARKWAY,BROOKLYN,Dental X-Ray,3029633,3011790083
1512 AVENUE Z,BROOKLYN,Dental X-Ray,3204953,3074600006
8715 5 AVENUE,BROOKLYN,Non-Hospital X-Ray,3153766,3060510001
1545 ATLANTIC AVE,BROOKLYN,Dental CBCT X-Ray,3048072,3017050001
636 74 STREET,BROOKLYN,Dental X-Ray,3148441,3059320023
300 OCEAN PARKWAY,BROOKLYN,Dental X-Ray,3125450,3053570030
910 PARK PLACE SUITE 1B,BROOKLYN,Non-Hospital X-Ray,3031550,3012417501
777 MONTGOMERY ST,BROOKLYN,Dental X-Ray,3038208,3014170087
833 58TH STREET,BROOKLYN,Radioactive Materials,3140215,3056930064
1929 AVENUE J,BROOKLYN,Dental X-Ray,3179781,3067120001
8715 FIFTH AVENUE,BROOKLYN,Linear Accelerator,3153766,3060510001
1530 54 STREET 1ST FLOOR,BROOKLYN,Dental X-Ray,3130428,3054840023
2095 FLATBUSH AVE.,BROOKLYN,Radioactive Materials,3219627,3078690001
3201 KINGS HIGHWAY,BROOKLYN,Radioactive Materials,3210431,3076680024
717 WYTHE AVENUE,BROOKLYN,Dental X-Ray,3060475,3022107503
372 86TH ST,BROOKLYN,Dental X-Ray,3153490,3060440037
1750 OCEAN PARKWAY,BROOKLYN,Dental X-Ray,3177428,3066620033
7224 AVENUE T,BROOKLYN,Dental X-Ray,3237406,3084130041
5610 2ND AVE RM 113,BROOKLYN,Non-Hospital X-Ray,3398930,3008360030
601 PARKSIDE AVE,BROOKLYN,Dental X-Ray,3115866,3050490055
501 BRIGHTON BEACH AVE,BROOKLYN,Dental X-Ray,3326870,3086750043
295 FLATBUSH AVENUE EXTENSION,BROOKLYN,Non-Hospital X-Ray,3058406,3020790021
6723 19th Ave,BROOKLYN,Dental X-Ray,3134704,3055700001
2650 OCEAN PKWY APT 1M,BROOKLYN,Dental X-Ray,3196066,3072380115
169 KENT ST,BROOKLYN,Non-Hospital X-Ray,3064648,3025510058
1607 55TH ST,BROOKLYN,Dental CBCT X-Ray,3130515,3054850084
1580 DAHILL RD STE 1,BROOKLYN,Dental X-Ray,3253559,3066060015
1801 AVENUE M,BROOKLYN,Dental X-Ray,3180710,3067380049
120 MONTAGUE STREET,BROOKLYN,Dental X-Ray,3002065,3002480034
789 FLATBUSH AVE OFC,BROOKLYN,Dental X-Ray,3116606,3050830016
366 KNICKERBOCKER AVENUE,BROOKLYN,Non-Hospital X-Ray,3074148,3032570029
563 KINGS HIGHWAY,BROOKLYN,Dental X-Ray,3177382,3066610042
8223 14 AVENUE,BROOKLYN,Podiatric X-Ray,3164068,3063040001
501 BRIGHTON BEACH AVE,BROOKLYN,Dental X-Ray,3326870,3086750043
238 ATLANTIC AVE,BROOKLYN,Veterinary X-Ray,3424484,3002787501
105 KINGS HWY,BROOKLYN,Non-Hospital X-Ray,3329040,3062537502
1009 BRIGHTON BEACH AVE,BROOKLYN,Non-Hospital X-Ray,3245413,3087070452
3123 CONEY ISLAND AVE,BROOKLYN,Dental X-Ray,3245305,3087060049
302 95 STREET,BROOKLYN,Dental X-Ray,3155577,3061170005
621 AMBOY STREET,BROOKLYN,Podiatric X-Ray,3082922,3036320018
1714 BATH AVENUE,BROOKLYN,Dental X-Ray,3168562,3064330036
704 KINGS HIGHWAY,BROOKLYN,Podiatric X-Ray,3177515,3066640051
155 DEAN STREET,BROOKLYN,Dental X-Ray,3392440,3001890001
8715 FIFTH AVE,BROOKLYN,Radioactive Materials,3153766,3060510001
501 BRIGHTON BEACH AVE FL 2,BROOKLYN,Non-Hospital X-Ray,3326870,3086750043
1154 FULTON ST,BROOKLYN,Dental CBCT X-Ray,3057752,3020170024
735 BEDFORD AVE,BROOKLYN,Non-Hospital X-Ray,3048278,3017150029
186 JORALEMON STREET,BROOKLYN,Dental X-Ray,3002548,3002650040
2584 EAST 19 STREET,BROOKLYN,Dental X-Ray,3204121,3074390144
2085 EAST 27 STREET,BROOKLYN,Dental X-Ray,3198787,3073320055
5402 FLATLANDS AVENUE,BROOKLYN,Podiatric X-Ray,3336786,3077800005
1152 BROADWAY,BROOKLYN,Dental X-Ray,3043494,3016080027
50 COURT ST.,BROOKLYN,Radioactive Materials,3002549,3002650043
389 COURT STREET,BROOKLYN,Dental X-Ray,3007780,3004590004
390 BERRY STREET,BROOKLYN,Dental X-Ray,3059507,3021300021
6209 16TH AVE,BROOKLYN,Dental X-Ray,3132709,3055310006
372 86TH ST APT 1,BROOKLYN,Dental CBCT X-Ray,3153490,3060440037
1655 55 STREET,BROOKLYN,Dental X-Ray,3130500,3054850065
1545 ATLANTIC AVENUE,BROOKLYN,Radioactive Materials,3048072,3017050001
2692 FORD ST,BROOKLYN,Non-Hospital X-Ray,3205652,3074780052
1513 VOORHIES AVE,BROOKLYN,Dental X-Ray,3204938,3074590061
539 EAST 18 STREET,BROOKLYN,Dental X-Ray,3120230,3052040050
7710 4 AVENUE,BROOKLYN,Dental X-Ray,3149797,3059600043
2348 RALPH AVE,BROOKLYN,Dental X-Ray,3336930,3078840065
144 NORTH 8 STREET,BROOKLYN,Dental X-Ray,3061917,3023197501
203 NASSAU AVE,BROOKLYN,Dental X-Ray,3066437,3026540031
472 BAY RIDGE PKWY,BROOKLYN,Dental X-Ray,3148777,3059410036
1736 86 STREET,BROOKLYN,Non-Hospital X-Ray,3166546,3063670044
820 BROADWAY,BROOKLYN,Dental X-Ray,3329565,3015790022
1607 55 STREET,BROOKLYN,Dental X-Ray,3130515,3054850084
50 COURT ST STE 600,BROOKLYN,Non-Hospital X-Ray,3002549,3002650043
372 86 STREET,BROOKLYN,Dental X-Ray,3153490,3060440037
12 SPENCER STREET FL 2ND,BROOKLYN,Non-Hospital X-Ray,3048278,3017150029
2904 AVENUE X,BROOKLYN,Dental X-Ray,3203600,3074221001
2250 86 STREET,BROOKLYN,Dental X-Ray,3167143,3063820045
1490 OCEAN AVENUE,BROOKLYN,Dental X-Ray,3179781,3067120001
816 59 STREET,BROOKLYN,Dental X-Ray,3140848,3057070013
300 8 AVENUE,BROOKLYN,Dental X-Ray,3025434,3010800035
1655 55TH ST,BROOKLYN,Dental CBCT X-Ray,3130500,3054850065
1545 ATLANTIC AVE,BROOKLYN,Dental X-Ray,3048072,3017050001
1505 GRAVESAND NECK ROAD,BROOKLYN,Dental X-Ray,3200794,3073760059
2095 FLATBUSH AVE,BROOKLYN,Non-Hospital X-Ray,3219627,3078690001
1312 38 STREET,BROOKLYN,Non-Hospital X-Ray,3123349,3052990011
47 EAST 32 STREET,BROOKLYN,Dental X-Ray,3109354,3048860051
828 55 STREET,BROOKLYN,Dental X-Ray,3139498,3056790018
2102 KINGS HIGHWAY,BROOKLYN,Non-Hospital X-Ray,3182578,3067840001
312 NEPTUNE AVENUE,BROOKLYN,Dental X-Ray,3244401,3086647504
300 8TH AVE BSMT,BROOKLYN,Dental CBCT X-Ray,3025434,3010800035
2305 AVENUE U,BROOKLYN,Podiatric X-Ray,3198518,3073280050
1802 55 STREET,BROOKLYN,Dental X-Ray,3130884,3054940032
704 KINGS HWY BSMT 1,BROOKLYN,Veterinary X-Ray,3177515,3066640051
1312 38 STREET,BROOKLYN,Non-Hospital X-Ray,3123349,3052990011
