facility,age_18_20
Children's Center,^
Other Preplacement Facility,0
Children's Center,^
Children's Center,^
Children's Center,^
Children's Center,^
Other Preplacement Facility,0
Children's Center,0
Other Preplacement Facility,0
Children's Center,
Other Preplacement Facility,0
Other Preplacement Facility,0
Children's Center,
Children's Center,10
Other Preplacement Facility,0
Other Preplacement Facility,0
Other Preplacement Facility,0
Other Preplacement Facility,0
Children's Center,^
Other Preplacement Facility,0
Other Preplacement Facility,0
Children's Center,^
Other Preplacement Facility,0
Other Preplacement Facility,0
Children's Center,0
Children's Center,^
Other Preplacement Facility,0
Other Preplacement Facility,0
Children's Center,23
Children's Center,9
Children's Center,^
Children's Center,^
Other Preplacement Facility,0
Other Preplacement Facility,0
Other Preplacement Facility,0
Children's Center,^
Children's Center,^
Other Preplacement Facility,0
Other Preplacement Facility,
Children's Center,^
Other Preplacement Facility,0
Children's Center,^
Children's Center,0
Children's Center,^
Children's Center,^
Other Preplacement Facility,0
Children's Center,0
Children's Center,^
Children's Center,10
Other Preplacement Facility,0
Children's Center,6
Other Preplacement Facility,0
Children's Center,^
Children's Center,^
Children's Center,0
Children's Center,8
Other Preplacement Facility,0
Other Preplacement Facility,0
Children's Center,^
Other Preplacement Facility,0
Other Preplacement Facility,0
Children's Center,^
Children's Center,^
Children's Center,0
Other Preplacement Facility,0
Other Preplacement Facility,0
Children's Center,^
Other Preplacement Facility,0
Other Preplacement Facility,0
Other Preplacement Facility,0
Other Preplacement Facility,
Other Preplacement Facility,0
Children's Center,^
Other Preplacement Facility,0
Other Preplacement Facility,0
Children's Center,^
Children's Center,^
Other Preplacement Facility,0
Other Preplacement Facility,0
Other Preplacement Facility,0
Children's Center,
Other Preplacement Facility,0
Children's Center,23
Other Preplacement Facility,0
Children's Center,
Children's Center,^
Children's Center,^
Other Preplacement Facility,0
Other Preplacement Facility,0
Other Preplacement Facility,0
Other Preplacement Facility,0
Other Preplacement Facility,0
Children's Center,17
Other Preplacement Facility,0
Children's Center,^
Other Preplacement Facility,
Other Preplacement Facility,0
Children's Center,^
Children's Center,
Children's Center,^
Children's Center,18
Children's Center,0
Children's Center,^
Other Preplacement Facility,0
Children's Center,^
Other Preplacement Facility,0
Other Preplacement Facility,
Other Preplacement Facility,
Children's Center,7
Other Preplacement Facility,0
