age_13_17,age_7_12
34,^
0,0
214,117
246,107
12,^
^,0
0,0
22,8
^,^
,
^,^
^,^
,
90,30
19,17
^,^
^,0
0,^
25,^
^,^
^,^
33,^
^,^
^,^
26,6
30,^
^,^
0,^
218,96
111,35
19,8
51,^
^,^
6,14
8,^
39,18
^,0
8,^
,
27,10
7,^
47,^
20,^
12,^
59,18
^,^
^,0
51,^
47,13
^,^
39,32
23,37
23,11
62,21
14,10
135,47
^,^
^,11
62,14
^,^
^,^
46,9
48,^
^,^
^,^
8,^
49,14
^,0
^,^
^,^
,
^,^
57,10
25,16
6,^
34,^
37,^
^,0
^,0
^,^
,
^,0
232,113
^,0
,
24,^
60,21
0,0
^,^
^,^
^,^
24,20
93,27
0,^
11,^
,
27,16
45,17
,
23,^
247,109
^,^
17,^
^,0
^,^
8,6
,
,
36,15
^,0
