physicalid,r_low_hn,l_blkfc_id,modified
49,82.0,212260169,2019-01-03T00:00:00.000
179,,1322601370,2017-03-17T00:00:00.000
75,27.0,212260928,2020-01-08T00:00:00.000
74,23.0,212262097,2019-04-15T00:00:00.000
219,120.0,1222600091,2020-01-09T00:00:00.000
202,480.0,1222607496,2020-01-09T00:00:00.000
66,67.0,212260254,2017-07-18T00:00:00.000
168,,0,2017-08-24T00:00:00.000
34,,212261798,2020-08-28T00:00:00.000
78,0.0,212261806,2019-04-15T00:00:00.000
50,74.0,212261435,2017-11-21T00:00:00.000
53,2.0,212260739,2017-07-18T00:00:00.000
240,354.0,1222600243,2020-01-09T00:00:00.000
206,402.0,1222607490,2020-01-09T00:00:00.000
94,212.0,212260665,2018-04-19T00:00:00.000
126,181.0,212260487,2019-04-15T00:00:00.000
144,57.0,212260904,2019-04-15T00:00:00.000
93,202.0,212260665,2018-04-19T00:00:00.000
56,301.0,1222600092,2017-07-18T00:00:00.000
57,,0,2021-10-14T00:00:00.000
87,110.0,212261395,2018-04-19T00:00:00.000
118,43.0,212261367,2020-04-19T00:00:00.000
157,285.0,1222606629,2017-03-17T00:00:00.000
121,95.0,212261509,2019-04-15T00:00:00.000
76,33.0,212260928,2020-01-08T00:00:00.000
248,272.0,1222607324,2020-01-09T00:00:00.000
228,488.0,1222600243,2020-01-09T00:00:00.000
162,9.0,212261291,2019-11-12T00:00:00.000
67,41.0,212260254,2017-07-18T00:00:00.000
117,23.0,212261123,2020-04-19T00:00:00.000
227,,1222607456,2020-01-09T00:00:00.000
246,,1222607325,2020-01-09T00:00:00.000
64,14.0,212261559,2019-04-15T00:00:00.000
167,105.0,212261497,2017-08-24T00:00:00.000
174,,1322601370,2017-03-17T00:00:00.000
151,175.0,212261957,2019-04-15T00:00:00.000
59,1.0,212260384,2017-06-21T00:00:00.000
220,100.0,1222607464,2020-01-09T00:00:00.000
195,618.0,1222607503,2020-10-13T00:00:00.000
29,,1222606410,2017-03-17T00:00:00.000
98,268.0,212261773,2019-04-15T00:00:00.000
83,32.0,212260988,2018-04-19T00:00:00.000
226,,1222607457,2020-01-09T00:00:00.000
115,7.0,212260826,2019-04-15T00:00:00.000
107,,212262172,2019-04-15T00:00:00.000
84,52.0,212260168,2018-04-19T00:00:00.000
196,600.0,1222607503,2020-01-09T00:00:00.000
102,,0,2019-04-15T00:00:00.000
250,256.0,1222607323,2020-01-09T00:00:00.000
52,28.0,212260347,2017-07-18T00:00:00.000
194,640.0,1222606654,2020-01-09T00:00:00.000
222,64.0,1222607463,2020-01-09T00:00:00.000
223,46.0,1222607462,2020-01-09T00:00:00.000
43,,212260137,2020-08-28T00:00:00.000
58,15.0,212260439,2017-06-21T00:00:00.000
163,53.0,212261777,2017-08-24T00:00:00.000
145,73.0,212262509,2019-04-15T00:00:00.000
147,107.0,212261388,2019-04-15T00:00:00.000
71,131.0,212260905,2017-07-18T00:00:00.000
103,,212262172,2019-04-15T00:00:00.000
239,362.0,1222600243,2020-01-09T00:00:00.000
73,1.0,212261736,2017-08-24T00:00:00.000
249,264.0,1222607324,2020-01-09T00:00:00.000
208,340.0,1222600274,2020-01-09T00:00:00.000
37,,212261798,2020-08-28T00:00:00.000
90,154.0,212261778,2018-04-19T00:00:00.000
47,102.0,212261126,2017-07-18T00:00:00.000
36,,212261798,2020-08-28T00:00:00.000
154,229.0,1222605222,2019-04-15T00:00:00.000
244,296.0,1222600033,2020-01-09T00:00:00.000
122,119.0,212261584,2019-04-15T00:00:00.000
232,418.0,1222600243,2020-01-09T00:00:00.000
81,26.0,212260988,2018-04-19T00:00:00.000
237,384.0,1222600243,2020-01-09T00:00:00.000
69,113.0,212260383,2017-04-20T00:00:00.000
5,65.0,1222600642,2017-03-17T00:00:00.000
82,2.0,212260764,2018-04-19T00:00:00.000
23,301.0,1222600637,2017-03-17T00:00:00.000
175,,1322601370,2017-03-17T00:00:00.000
112,486.0,212261159,2019-01-03T00:00:00.000
92,184.0,212261082,2019-01-03T00:00:00.000
85,72.0,212260168,2018-04-19T00:00:00.000
213,198.0,1222607473,2021-12-07T00:00:00.000
3,51.0,212262587,2017-03-17T00:00:00.000
155,247.0,1222602842,2019-04-15T00:00:00.000
119,,212261509,2019-04-15T00:00:00.000
140,60.0,212260837,2018-12-17T00:00:00.000
229,468.0,1222600243,2020-01-09T00:00:00.000
177,,1322601370,2017-03-17T00:00:00.000
255,,1222606829,2020-01-09T00:00:00.000
