r_blkfc_id,post_type,rw_type,frm_lvl_co,l_low_hn
212261789,ST,1,13,85.0
1322604574,PKWY,2,17,
212260238,PL,1,13,28.0
212260238,PL,1,13,0.0
1222601643,AVE,2,13,0.0
1222602101,AVE,2,13,0.0
212260930,ST,1,13,70.0
0,ST,6,13,
212262215,TUNL,4,9,
212261238,PL,1,13,96.0
212261789,ST,1,13,71.0
212261581,ST,1,13,1.0
1222603257,ST,2,13,355.0
1222600278,AVE,2,13,0.0
212260936,ST,1,13,211.0
212260218,ST,1,13,182.0
212261088,ST,1,13,56.0
212261653,ST,1,13,201.0
1222601057,ST,1,13,300.0
0,ST,1,13,
212261511,ST,1,13,0.0
212261109,ST,1,13,40.0
1222604417,ST,1,13,284.0
212261818,ST,1,13,100.0
212260174,PL,1,13,34.0
1222603225,ST,2,13,273.0
1222602852,ST,2,13,489.0
212261582,ST,1,13,10.0
212261512,ST,1,13,42.0
212261109,ST,1,13,22.0
1222600373,ST,2,13,
1222603438,ST,2,13,
212261402,ST,1,13,15.0
212262585,ST,1,13,106.0
1322603955,PKWY,2,13,
212261092,ST,1,13,174.0
212260906,ST,1,13,2.0
1222601140,AVE,2,13,0.0
1222604276,AVE,2,13,0.0
1222601914,PL,1,13,
212260218,ST,1,13,267.0
212260828,ST,1,13,33.0
1222600373,ST,2,13,
212261613,ST,1,13,6.0
212262246,ST,1,13,
212261125,ST,1,13,53.0
1222603875,AVE,2,13,0.0
212262197,ST,1,13,
1222605689,ST,2,13,257.0
212261900,ST,1,13,21.0
1222604084,AVE,2,13,0.0
1222601381,AVE,2,13,0.0
1222606890,AVE,2,13,0.0
212261734,TUNL,4,9,
212260908,ST,1,13,14.0
212261312,ST,1,13,48.0
212260885,ST,1,13,72.0
212261536,ST,1,13,110.0
212261804,ST,1,13,128.0
212262246,ST,1,13,
1222602901,ST,2,13,363.0
212260238,PL,1,13,2.0
1222604466,ST,2,13,265.0
1222605963,AVE,2,13,0.0
212262215,TUNL,4,9,
212261586,ST,1,13,157.0
212260827,ST,1,13,101.0
212262215,TUNL,4,9,
1222603660,ST,1,13,230.0
1222603978,ST,2,13,297.0
212261037,ST,1,13,118.0
1222605006,ST,2,13,417.0
212261134,ST,1,13,25.0
1222604198,ST,2,13,385.0
212260693,ST,1,13,114.0
1222604562,PL,1,13,66.0
212261401,ST,1,13,1.0
1222607193,ST,1,13,300.0
1322601639,PKWY,2,17,
212261831,ST,1,13,487.0
212262106,ST,1,13,187.0
212261365,ST,1,13,73.0
1222606986,AVE,2,13,0.0
1222601917,PL,1,13,50.0
1222604521,ST,1,13,246.0
212261285,ST,1,13,
212262105,ST,1,13,61.0
1222602260,ST,2,13,467.0
1322602532,PKWY,2,13,
1222604354,ST,2,13,
212261873,ST,1,13,399.0
1222600278,AVE,2,13,0.0
212262395,PL,1,13,
212260693,ST,1,13,94.0
212260678,ST,1,13,2.0
212260726,ST,1,13,23.0
212261242,PL,1,13,98.0
1322602045,PKWY,2,13,
1222603973,AVE,2,13,0.0
1222607015,AVE,2,13,0.0
212262246,ST,1,13,
212262246,ST,1,13,
212260417,ST,1,13,58.0
212261921,ST,1,13,20.0
1222601575,ST,2,13,413.0
1222606609,AVE,2,13,0.0
1222603438,ST,2,13,
1322601508,PKWY,2,17,
1222602530,ST,1,13,266.0
0,PL,6,13,
212261465,ST,1,13,1.0
1222600931,PL,1,13,
1222602788,ST,1,13,200.0
1222602788,ST,1,13,136.0
1322604574,AVE,2,17,0.0
1322601639,PKWY,2,13,
1222601192,AVE,2,13,0.0
212261351,ST,1,13,15.0
1322606632,AVE,1,13,0.0
212261400,ST,1,13,39.0
212260696,ST,1,13,140.0
212261885,PL,1,13,104.0
1222600278,AVE,2,13,0.0
212262449,ST,1,13,11.0
212261734,TUNL,4,5,
1222600933,PL,1,13,84.0
212261510,ST,1,13,78.0
212260936,ST,1,13,223.0
1222606944,AVE,2,13,0.0
1222603399,AVE,2,13,0.0
212261734,TUNL,4,9,
1222604979,AVE,2,13,0.0
212261831,ST,1,13,491.0
212261578,ST,1,13,79.0
212261467,ST,1,13,27.0
212261350,ST,1,13,61.0
212261452,ST,1,13,40.0
1222606041,ST,2,13,397.0
1222604147,ST,1,13,194.0
1222603306,ST,2,13,391.0
212261365,ST,1,13,75.0
1222605035,ST,2,13,247.0
1222603598,ST,2,13,407.0
212261037,ST,1,13,134.0
212261238,PL,1,13,54.0
212260693,ST,1,13,122.0
212260227,ST,1,13,160.0
212260489,ST,1,13,239.0
1222601670,ST,2,13,0.0
1222607443,AVE,2,13,
212261771,ST,1,13,94.0
1222604635,AVE,2,13,0.0
212261036,ST,1,13,156.0
212260761,ST,1,13,21.0
212261187,ST,1,13,91.0
1322603240,AVE,1,13,0.0
1222603978,ST,2,13,
212260923,ST,1,13,375.0
1222602060,ST,1,13,322.0
1222604070,ST,1,13,302.0
1222603005,AVE,2,13,0.0
212261728,ST,1,13,126.0
212261511,ST,1,13,123.0
1222602554,AVE,1,13,0.0
212261260,ST,1,13,2.0
212261980,ST,1,13,74.0
1222607483,AVE,2,13,0.0
212261734,TUNL,4,9,
212261613,ST,1,13,2.0
212261434,ST,1,13,35.0
212260694,ST,1,13,5.0
1222601037,AVE,2,13,0.0
212261511,ST,1,13,137.0
212260325,ST,2,13,149.0
1222606935,AVE,2,13,0.0
1222600278,AVE,2,13,0.0
0,ST,1,13,0.0
212262106,ST,1,13,171.0
212260912,ST,2,13,139.0
212262197,ST,1,13,
212261239,ST,1,13,1.0
1322605925,AVE,2,13,
1222603784,AVE,2,13,0.0
1222604295,ST,2,13,427.0
1322605311,PKWY,2,13,
212261612,ST,1,13,107.0
1222600704,AVE,2,13,0.0
1222601920,AVE,2,13,0.0
212261819,ST,1,13,92.0
212262277,ST,1,13,138.0
212262215,TUNL,4,5,
212260983,ST,1,13,13.0
212261558,ST,1,13,65.0
1222601557,ST,2,13,177.0
1222603399,AVE,2,13,0.0
212260763,ST,1,13,27.0
1222601831,ST,1,13,210.0
212262246,ST,1,13,
1222606932,AVE,2,13,0.0
212261791,ST,1,13,1.0
