route,reason
k9152,Won`t Start
k109,Mechanical Problem
k9753,Mechanical Problem
p304,Mechanical Problem
k450,Other
n843,Heavy Traffic
l615,Heavy Traffic
x595,Flat Tire
l618,Heavy Traffic
x595,Flat Tire
m741,Mechanical Problem
l654,Heavy Traffic
c900,Won`t Start
x957,Heavy Traffic
m972,Heavy Traffic
x2361,Heavy Traffic
x106,Heavy Traffic
p788,Mechanical Problem
q955,Mechanical Problem
n199,Heavy Traffic
l351,Heavy Traffic
q2838,Won`t Start
3214a,Other
n042,Heavy Traffic
b0520a,Other
m8724,Accident
u908,Heavy Traffic
k165,Heavy Traffic
k109,Mechanical Problem
m867,Heavy Traffic
k181,Mechanical Problem
k9152,Won`t Start
y120,Heavy Traffic
k9152,Won`t Start
m119,Heavy Traffic
l781,Heavy Traffic
k442,Heavy Traffic
x150,Heavy Traffic
q9109,Mechanical Problem
x648,Heavy Traffic
m119,Heavy Traffic
l618,Heavy Traffic
n260,Mechanical Problem
x594,Heavy Traffic
x595,Flat Tire
n042,Heavy Traffic
k206,Other
c900,Heavy Traffic
k848,Accident
j477,Heavy Traffic
x028,Other
02,Other
l781,Heavy Traffic
m972,Heavy Traffic
x812,Heavy Traffic
q044,Heavy Traffic
k597,Mechanical Problem
r605,Mechanical Problem
m128,Mechanical Problem
l251,Won`t Start
k597,Mechanical Problem
n199,Heavy Traffic
x270,Other
q2838,Won`t Start
l629,Delayed by School
k386,Heavy Traffic
nym5,Heavy Traffic
x028,Other
k559,Heavy Traffic
l693,Won`t Start
r612,Mechanical Problem
k9152,Won`t Start
y108,Heavy Traffic
n204,Heavy Traffic
x957,Heavy Traffic
x595,Other
y108,Heavy Traffic
l308,Heavy Traffic
n719,Mechanical Problem
k339,Heavy Traffic
l615,Heavy Traffic
k165,Heavy Traffic
k2497,Mechanical Problem
k004,Heavy Traffic
k559,Heavy Traffic
q044,Heavy Traffic
l693,Won`t Start
k442,Heavy Traffic
k9753,Mechanical Problem
l618,Heavy Traffic
p215,Heavy Traffic
l618,Heavy Traffic
m8724,Accident
k450,Other
q2657,Accident
x074,Heavy Traffic
m972,Heavy Traffic
j647,Mechanical Problem
x9050,Mechanical Problem
x595,Other
w205,Heavy Traffic
r612,Mechanical Problem
k004,Heavy Traffic
hk6,Heavy Traffic
n042,Heavy Traffic
p717,Mechanical Problem
x595,Other
n042,Won`t Start
m908,Heavy Traffic
l629,Delayed by School
n204,Heavy Traffic
m8724,Accident
p249,Heavy Traffic
x839,Delayed by School
q600,Won`t Start
x8771,Heavy Traffic
y253,Heavy Traffic
l654,Heavy Traffic
m741,Mechanical Problem
k597,Mechanical Problem
q453,Mechanical Problem
m908,Heavy Traffic
x279,Other
x003,Mechanical Problem
n042,Won`t Start
m1013,Mechanical Problem
k450,Other
k597,Mechanical Problem
p717,Mechanical Problem
x648,Heavy Traffic
n701,Heavy Traffic
k9152,Won`t Start
x595,Other
m132,Heavy Traffic
x476,Heavy Traffic
mn1,Heavy Traffic
q2838,Won`t Start
k2497,Mechanical Problem
j735,Heavy Traffic
y108,Heavy Traffic
x150,Heavy Traffic
8,Heavy Traffic
n042,Won`t Start
p304,Mechanical Problem
n119,Heavy Traffic
k586,Heavy Traffic
m1013,Mechanical Problem
l351,Heavy Traffic
x9271,Mechanical Problem
l693,Won`t Start
n884,Heavy Traffic
l654,Heavy Traffic
l618,Heavy Traffic
n042,Heavy Traffic
w112,Heavy Traffic
n199,Heavy Traffic
p249,Heavy Traffic
m908,Heavy Traffic
x8771,Heavy Traffic
q057,Heavy Traffic
x519,Heavy Traffic
q057,Heavy Traffic
6,Flat Tire
n601,Heavy Traffic
k597,Mechanical Problem
q389,Won`t Start
q698,Other
n042,Heavy Traffic
x648,Heavy Traffic
k804,Heavy Traffic
q389,Mechanical Problem
k004,Heavy Traffic
q073,Heavy Traffic
x8771,Heavy Traffic
l308,Won`t Start
n119,Heavy Traffic
q624,Other
n042,Heavy Traffic
m908,Heavy Traffic
x074,Heavy Traffic
x595,Flat Tire
n838,Heavy Traffic
q478,Other
k096,Other
l311,Mechanical Problem
k586,Heavy Traffic
l654,Heavy Traffic
x519,Other
k618,Heavy Traffic
k386,Heavy Traffic
n119,Heavy Traffic
p708,Other
l311,Mechanical Problem
k181,Mechanical Problem
q600,Won`t Start
m1081,Heavy Traffic
m867,Heavy Traffic
q601,Heavy Traffic
l684,Other
l615,Heavy Traffic
