school_reported,schools
False,21101
False,14023
False,17894
False,24016
False,16457
False,75627
False,21016
False,08517
False,19680
False,08562
False,03448
False,16593
False,75960
False,10444
False,02035
False,08001
False,11816
False,28695
False,24755
False,03149
False,14017
False,28048
False,c306
False,02655
False,c272
False,06152
False,75810
False,14120
False,14435
False,04112
False,13009
False,21097
False,08015
False,22206
False,03180
False,17465
False,22566
False,10095
False,30004
False,09114
True,03896
False,19657
False,02568
False,08138
False,08036
False,02908
False,21735
False,75960
False,20865
False,75760
False,07004
False,c998
False,17685
False,02051
False,11433
False,27316
False,22004
False,31233
False,02075
False,20865
False,20164
False,03325
False,12486
False,28006
False,16455
False,20015
False,e203
False,07028
False,20488
False,19279
False,31016
False,21153
False,07001
False,05197
False,10306
False,08036
False,07179
False,22657
False,75907
False,14646
False,20015
False,14257
False,20164
False,13433
False,20485
False,27210
False,19020
False,14761
False,17398
False,19004
False,29462
False,19658
False,06311
False,16765
False,26216
False,08420
False,02414
False,75760
False,10344
False,08517
False,75716
False,31435
False,13461
False,c351
False,02948
False,24005
False,08453
False,02948
False,01188
False,16464
False,05133
False,06178
False,24560
False,12012
False,24007
False,10032
False,09058
False,16407
False,03076
False,20223
False,26187
False,01450
False,12486
False,07449
False,02908
False,02809
False,16360
False,22760
False,24023
False,09073
False,75907
False,21095
False,08562
False,06187
False,11910
False,c041
False,28417
False,21801
False,75565
False,07369
False,10095
False,c178
False,02655
False,24409
False,05133
False,20127
False,02963
False,14084
False,10081
False,19551
False,75029
False,16406
False,19788
False,02655
False,75912
False,03455
False,24755
False,01616
False,10386
False,24467
False,07434
False,24075
False,e017
False,75029
False,22795
False,25463
False,28600
False,02948
False,09486
False,20102
False,25463
False,13453
False,24021
False,10033
False,22657
False,05079
False,24009
False,02908
False,01400
False,08015
False,08453
False,75777
False,28472
False,13669
False,22222
False,20448
False,16687
False,07434
False,20865
False,15879
False,05440
False,30013
False,22657
False,13537
False,24409
False,02711
False,04469
False,24409
False,18709
False,15879
