the_geom,esid_no,creat_date
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98971286873036, 40.60588782577192], [-73.98913191478734, 40.606456136606255], [-73.98855078944872, 40.607002282428006], [-73.98842267574231, 40.60711914847573], [-73.98725634065067, 40.60724497961586], [-73.9872549063218, 40.607244452651656], [-73.98688193921667, 40.60695020396237], [-73.98632124825401, 40.60719798677705], [-73.9862577059711, 40.60735601724441], [-73.98612173721158, 40.60722990953396], [-73.98594368811547, 40.60713782391637], [-73.98550100173176, 40.60718351551578], [-73.98541083552438, 40.60730739627679], [-73.98533158872338, 40.60745769763707], [-73.98500613140372, 40.607094885606784], [-73.98457465795589, 40.607128269380894], [-73.9844029527886, 40.60755951727436], [-73.98426673456171, 40.607434712971525], [-73.98406039195724, 40.60732818896105], [-73.98368273289807, 40.60735863369304], [-73.9835567520651, 40.6075095444472], [-73.98347678323236, 40.6076623034576], [-73.98306556247357, 40.60549703163043], [-73.98399718169061, 40.605409652243026], [-73.98492571715127, 40.60531275555367], [-73.98585025781557, 40.60520916921352], [-73.98684762686904, 40.605097235770096], [-73.98747998229052, 40.60453971204657], [-73.98806312967314, 40.60397945138622], [-73.98869008822021, 40.603425306639686], [-73.989223439035, 40.60286567465868], [-73.98980757379842, 40.60230291067844], [-73.990389984821, 40.60174340327559], [-73.99097171258363, 40.601184559548905], [-73.99320071722647, 40.60253401922807], [-73.99381109326781, 40.60195049080163], [-73.99458442996432, 40.602420619076895], [-73.99532045621554, 40.60282835403945], [-73.9960551282396, 40.60327469013424], [-73.99708422033692, 40.60390154979052], [-73.99825418879796, 40.604608561590666], [-73.9981429025037, 40.60471568228378], [-73.99704340374306, 40.605769162956186], [-73.99709311907671, 40.60590207107935], [-73.99705267475807, 40.60622941164322], [-73.99666650983013, 40.60631859734443], [-73.99646484170603, 40.60632749708249], [-73.99650992015377, 40.60646171937865], [-73.99644230550207, 40.60676929841212], [-73.99609503530088, 40.60689401819476], [-73.9958819215835, 40.60688666811061], [-73.99471921915074, 40.60800469017402], [-73.99252082595915, 40.60667533281599], [-73.9902901366564, 40.605328598030866], [-73.98971286873036, 40.60588782577192]]]]}",771.0,2006-07-18T00:00:00.000
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91475403071301, 40.692165301602074], [-73.91482840023828, 40.691826112713215], [-73.91447847135838, 40.691623921163796], [-73.91400199091355, 40.69173761023979], [-73.91395867497067, 40.691486218013594], [-73.91351325716009, 40.69127587628011], [-73.91325003241148, 40.69130916686751], [-73.9133204682513, 40.691012411169034], [-73.91288785939865, 40.69074714801837], [-73.91249979642713, 40.690882899209235], [-73.91174792600977, 40.69045586891765], [-73.91099605500584, 40.69002784336969], [-73.9109278181022, 40.68960838532924], [-73.91193162298775, 40.68864446450615], [-73.9124432642969, 40.68855374047375], [-73.91319385223352, 40.68898008137247], [-73.91394628077829, 40.68940869633316], [-73.9146993599511, 40.68983547029996], [-73.9161471346598, 40.68836025932086], [-73.91755226147875, 40.68693022304269], [-73.91768113918978, 40.68700409423187], [-73.9180460696781, 40.687213247226644], [-73.91829345834668, 40.68735666785204], [-73.91878323290811, 40.68762608784068], [-73.91906109218355, 40.68778436873922], [-73.9198096195428, 40.68821124145582], [-73.92055013158547, 40.68864092152296], [-73.92096103865879, 40.68887205127948], [-73.92121369956708, 40.689019476575716], [-73.92130587805084, 40.68907164363969], [-73.92207133792705, 40.68948984075534], [-73.92065676858543, 40.690927525484845], [-73.9194599325584, 40.69214942016092], [-73.91862073048355, 40.69180831853037], [-73.91790599781704, 40.69192166585835], [-73.91661931917493, 40.69312262086819], [-73.91625677773442, 40.6930217120851], [-73.91631614899995, 40.692734916246216], [-73.91591452886382, 40.69251029122452], [-73.91550548745653, 40.692594022644634], [-73.9154861969693, 40.69222446339942], [-73.91515601599352, 40.692013482303246], [-73.91475403071301, 40.692165301602074]]]]}",91.0,2001-08-03T00:00:00.000
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88221364901223, 40.65451863772909], [-73.88465215948915, 40.65345165393819], [-73.88628975394606, 40.65276890009432], [-73.88698698617208, 40.65289022609676], [-73.88759133725311, 40.653728096490404], [-73.8873102786847, 40.65414063678529], [-73.88830314906495, 40.65404490504476], [-73.88881805232168, 40.65472035192488], [-73.88831705029959, 40.6554957091898], [-73.88884952278538, 40.655509233163045], [-73.88962230158718, 40.65652107943031], [-73.88941657753796, 40.656980284297994], [-73.89010043214672, 40.657055813413656], [-73.89066465840553, 40.65799468490319], [-73.8905106293939, 40.65842980403982], [-73.89062134117232, 40.658576486512445], [-73.88578677040174, 40.66065578276838], [-73.88458195166976, 40.65906133102157], [-73.88291170745144, 40.65978123663995], [-73.88081254359655, 40.65694513418272], [-73.88251136328297, 40.65621350936228], [-73.88221364901223, 40.65451863772909]]]]}",185.0,2001-08-07T00:00:00.000
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9811473316812, 40.660294106183215], [-73.98087475374462, 40.659794492992425], [-73.98037233139047, 40.66039838479877], [-73.98006025449193, 40.660790758306476], [-73.97957870089346, 40.66085324162242], [-73.97751171400557, 40.65986275641029], [-73.97515738096236, 40.65872279415196], [-73.97448234030021, 40.658339449793445], [-73.97436701295463, 40.65818790293973], [-73.97426735571806, 40.658028786624904], [-73.97418457605964, 40.657863577303345], [-73.97411953469921, 40.657693752445674], [-73.9740727880699, 40.65752097774021], [-73.97404458322323, 40.657347252562936], [-73.9737918997324, 40.65639232333358], [-73.97355493956309, 40.65564393910541], [-73.97430127779349, 40.65536737943034], [-73.97642430860567, 40.65453495550629], [-73.97657070211439, 40.6553108346772], [-73.97707696607011, 40.65511383119421], [-73.97803905670895, 40.65474716679647], [-73.9784680381451, 40.65503678172333], [-73.97873444761196, 40.654780625153755], [-73.97878679741243, 40.654730287293845], [-73.97883447540772, 40.65468291071849], [-73.97902926769841, 40.65448937122993], [-73.97913616940829, 40.65437610584974], [-73.98122229647618, 40.655827080648834], [-73.98179568717683, 40.65524609633159], [-73.98402397239211, 40.656591169235064], [-73.98227503013439, 40.658270593045074], [-73.9844802412883, 40.65959833624952], [-73.98391792698354, 40.66013748829656], [-73.98323712110782, 40.660936221055486], [-73.98255627590711, 40.66097453626883], [-73.9811473316812, 40.660294106183215]]]]}",105.0,2001-08-06T00:00:00.000
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93886143919028, 40.649571940942614], [-73.9387068379277, 40.64851744224835], [-73.9368445725429, 40.648649207020874], [-73.93490101369446, 40.64873510469677], [-73.93396236948455, 40.648768986954245], [-73.93300276894809, 40.648819311187765], [-73.93292069199434, 40.64799717166011], [-73.93270476032622, 40.646142140385905], [-73.93261418279052, 40.645245477516085], [-73.93357588851981, 40.64508370053304], [-73.9345103754212, 40.64502837736519], [-73.93548506510926, 40.644989854624114], [-73.93645634181279, 40.64494611707511], [-73.93738309178872, 40.64490488656304], [-73.93836050579483, 40.64485702952679], [-73.93932905759566, 40.644814768477346], [-73.94026718322785, 40.64476742593032], [-73.94120010418663, 40.64472000623441], [-73.94213671639719, 40.64468325557204], [-73.94260824683455, 40.6446618650324], [-73.9426916434181, 40.64552628344662], [-73.94279960980622, 40.646542620557895], [-73.94271433203971, 40.647150535712555], [-73.94292151446683, 40.64857468156431], [-73.94305166885817, 40.64931362491159], [-73.942631132187, 40.64933975773457], [-73.94169995079243, 40.6493939951962], [-73.94076397256275, 40.64945368094883], [-73.93983368172083, 40.64951174097907], [-73.93886143919028, 40.649571940942614]]]]}",178.0,2001-08-06T00:00:00.000
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95234079228561, 40.69426305290568], [-73.94906040047407, 40.694637777825335], [-73.94891392364947, 40.69390486621808], [-73.94876761811423, 40.693171215404845], [-73.94593170947019, 40.693497623684166], [-73.94578713650704, 40.692765232706115], [-73.94564166887089, 40.692033451905466], [-73.95175747300722, 40.6913293112919], [-73.9516115649633, 40.69059670059356], [-73.95432544480063, 40.690288339357004], [-73.95526567431808, 40.6901751358642], [-73.95541058018081, 40.690908291067075], [-73.95727249229614, 40.690693477542645], [-73.9576809558573, 40.692778747547614], [-73.95582680297875, 40.69299326044413], [-73.95582209156395, 40.69299377372903], [-73.95621798068922, 40.694958967512925], [-73.95658117450512, 40.69678454802661], [-73.95292439165351, 40.69720434428009], [-73.9526615380139, 40.69587611143443], [-73.95248890929538, 40.69500377148549], [-73.95234079228561, 40.69426305290568]]]]}",243.0,2001-08-07T00:00:00.000
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93856654106285, 40.6758963070882], [-73.93884118588045, 40.675492611279815], [-73.93884123149013, 40.675491887289944], [-73.93873696204183, 40.675389074821034], [-73.93877769754411, 40.67472089133357], [-73.93889518661797, 40.67459874185377], [-73.93835813685197, 40.67496143491006], [-73.93763647454954, 40.674822539824504], [-73.9371566512573, 40.67451574232953], [-73.93689315037861, 40.6745045108532], [-73.93616912424797, 40.67446114582265], [-73.93626272661959, 40.67356002931539], [-73.93673468354156, 40.67325716478165], [-73.93634321312793, 40.67270370975482], [-73.93780185803887, 40.672750650812766], [-73.93907622042174, 40.67282564339964], [-73.9391760477749, 40.67192600023658], [-73.93942695664535, 40.669248683915846], [-73.94219628445732, 40.66940330432504], [-73.94496134602387, 40.669555451596196], [-73.94462949081029, 40.67312302011628], [-73.94739574661317, 40.673271676010245], [-73.94714603306085, 40.675944362186954], [-73.94437627674921, 40.675793904303745], [-73.94423021281463, 40.67735122024878], [-73.94415120128839, 40.67815635878218], [-73.94318950825327, 40.678107080387086], [-73.94137663810626, 40.678008230859895], [-73.94059023982462, 40.677971054947044], [-73.94043107912582, 40.67796133894859], [-73.93983518279572, 40.67792390342895], [-73.93862492565691, 40.677862569563445], [-73.93863289960616, 40.67776992781233], [-73.93851537749018, 40.677418672228626], [-73.93869491371515, 40.67705082769328], [-73.93855762736065, 40.67658460190324], [-73.93876783894476, 40.6762724164988], [-73.93856654106285, 40.6758963070882]]]]}",158.0,2001-08-06T00:00:00.000
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8611324866175, 40.67452741646301], [-73.86106295015921, 40.6743429347755], [-73.86107192608188, 40.674019813535345], [-73.86077512860511, 40.672805621874396], [-73.86038938009993, 40.67126877830596], [-73.85947416488183, 40.671380531188355], [-73.85855480469628, 40.67153293352645], [-73.85763323175591, 40.671656194063836], [-73.85730947848631, 40.670416232021964], [-73.85722693746496, 40.67009621204978], [-73.85684676235105, 40.668602935356155], [-73.85646311937205, 40.667041762827324], [-73.8561880967127, 40.66584655453431], [-73.85611740300372, 40.66550937950515], [-73.85568461226354, 40.663867492347016], [-73.8561171020612, 40.6638084017955], [-73.8566575297205, 40.663638739502], [-73.85709468139966, 40.66282819683323], [-73.8581127917637, 40.66201955753928], [-73.85802480563677, 40.66172011876997], [-73.85760267797275, 40.66006928464195], [-73.85851436401622, 40.659898942202545], [-73.85938691841255, 40.65977271486229], [-73.86035978216965, 40.65964582841892], [-73.86122245038848, 40.65922093668603], [-73.86174759092107, 40.65893835626626], [-73.86130637273385, 40.65845930052671], [-73.8616760647807, 40.65802078248318], [-73.8616264662442, 40.657427182507696], [-73.86164437309256, 40.65696269440074], [-73.86164042407084, 40.656871291582924], [-73.86162820587472, 40.65658848723256], [-73.86106979825233, 40.656252334235624], [-73.85970159675395, 40.65522500140271], [-73.85964486464094, 40.655095451186156], [-73.86012365897727, 40.654767898240024], [-73.85977187803243, 40.6544294144603], [-73.85970733387349, 40.65408133858202], [-73.85947515178972, 40.65396145821244], [-73.85943388877439, 40.65374294925912], [-73.85927516524596, 40.65348099070373], [-73.85893952115487, 40.65292703451253], [-73.85864026924872, 40.652449412155754], [-73.85823702831205, 40.651762863038265], [-73.85748699100714, 40.65134749856343], [-73.85733731887699, 40.65126461028018], [-73.8569920912049, 40.6506188707922], [-73.85698625256147, 40.650607949245966], [-73.85724469515486, 40.65031992874744], [-73.85724615549515, 40.65029664854998], [-73.85735742517817, 40.64852316265045], [-73.85808714891488, 40.646727159097075], [-73.85732745499278, 40.64556514023872], [-73.85700389434986, 40.644127212492236], [-73.85718654091576, 40.64357454489822], [-73.85922014059302, 40.6429965127582], [-73.86118014294239, 40.64288831710168], [-73.8624134022326, 40.64249031712056], [-73.8625551941424, 40.64268018468661], [-73.87337420483625, 40.655682988867184], [-73.87384233066383, 40.65631979028582], [-73.87306780917065, 40.65664454253025], [-73.87406931133481, 40.65800536874023], [-73.87410593303228, 40.658055252444704], [-73.87468305849345, 40.65813360028075], [-73.87523467955397, 40.65889998205843], [-73.87508776707563, 40.65939269977105], [-73.8757613444783, 40.659574440855444], [-73.87628292218851, 40.66028718080305], [-73.87610051439, 40.66075677309974], [-73.87672936091145, 40.66085433853784], [-73.87732105473566, 40.6617279631291], [-73.87720264847634, 40.66224065651835], [-73.87782908384183, 40.662306669145714], [-73.87851861418851, 40.663312488106016], [-73.8783001705816, 40.663712502321346], [-73.87839557212865, 40.66384044057153], [-73.87675900536006, 40.66454389382081], [-73.87349082228846, 40.66594883536613], [-73.87266847848193, 40.66629022364174], [-73.87187230011911, 40.66667976765141], [-73.87181013939306, 40.666693035015705], [-73.8708522006141, 40.66735221338834], [-73.87006490268841, 40.66795487110096], [-73.87056171827525, 40.669797347540374], [-73.86590884617299, 40.6704673248229], [-73.86627573420347, 40.672010606309804], [-73.86666851412997, 40.67354386687283], [-73.86575440491883, 40.67367809731942], [-73.86627349513606, 40.67576404457597], [-73.86638189050375, 40.676054301466884], [-73.8611324866175, 40.67452741646301]]]]}",187.0,2001-08-07T00:00:00.000
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9617961162212, 40.69998355018957], [-73.96167037502875, 40.699902174361895], [-73.96103145742373, 40.699485364615136], [-73.96049910253089, 40.69917694692464], [-73.9599476654193, 40.69926465531427], [-73.95982454150767, 40.699284243523984], [-73.95901842857234, 40.69941236335528], [-73.9585761972084, 40.699152614175674], [-73.9576093981258, 40.69929602804242], [-73.95716730102865, 40.69970786780461], [-73.9570206902726, 40.69897445109383], [-73.95518370888963, 40.699192902411134], [-73.95337000749015, 40.69940454067499], [-73.95315142538138, 40.69830301941248], [-73.95292439165351, 40.69720434428009], [-73.95658117450512, 40.69678454802661], [-73.95621798068922, 40.694958967512925], [-73.95582209156395, 40.69299377372903], [-73.95582680297875, 40.69299326044413], [-73.9576809558573, 40.692778747547614], [-73.958993614431, 40.692627837498804], [-73.95858160391136, 40.69056024469483], [-73.95859959295733, 40.69052469260041], [-73.95867748209304, 40.69037076254138], [-73.95876416385627, 40.690361231983864], [-73.95938499220145, 40.69029296963048], [-73.9599990589184, 40.690225448103185], [-73.9602928025196, 40.69034625541063], [-73.96042527712933, 40.69096363991597], [-73.96073858579597, 40.692423912517384], [-73.9618991061325, 40.69230068010877], [-73.96211466702613, 40.69338010132116], [-73.96221054346945, 40.69386019211987], [-73.96312644583485, 40.693733048690625], [-73.96405332406978, 40.693627297508044], [-73.96498368111236, 40.69351527243515], [-73.96590534323217, 40.693433087869856], [-73.96688042132409, 40.693341719591636], [-73.96738234285016, 40.69584947579308], [-73.9676287253524, 40.6971768564596], [-73.96772744687613, 40.697717624330444], [-73.9667422861727, 40.697672138102725], [-73.96577476281743, 40.69763577997996], [-73.96487573327954, 40.69771433115775], [-73.96394908547666, 40.697860107426095], [-73.96239769135293, 40.698108944861886], [-73.9617961162212, 40.69998355018957]]]]}",28.0,2001-07-31T00:00:00.000
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97116427427102, 40.64612770012586], [-73.97140910025605, 40.645626035952425], [-73.97120222721432, 40.645645315989135], [-73.97119279508958, 40.64559590146935], [-73.97106813338118, 40.645336679219646], [-73.97054554470581, 40.64531667045953], [-73.97116261957007, 40.645091228637746], [-73.9711246934574, 40.64484887756071], [-73.97098194900616, 40.64486412568967], [-73.97092950538199, 40.64459149603977], [-73.97031677169828, 40.64453794232824], [-73.97072571201112, 40.64422769956468], [-73.9706514830349, 40.64409776215586], [-73.97059950709271, 40.64381493722191], [-73.97008898047248, 40.643745846391916], [-73.97071645965256, 40.64367757026308], [-73.97732135928322, 40.642948380318856], [-73.97824897291814, 40.64284592930796], [-73.97832693208889, 40.6432684400158], [-73.97870209235904, 40.64523876270878], [-73.97911821952961, 40.64742806125418], [-73.98029115555427, 40.6472971614516], [-73.9803633472993, 40.64769374399739], [-73.98110911938164, 40.65159173205341], [-73.98129697452703, 40.65263750669429], [-73.98145293842838, 40.653416335299944], [-73.98179568717691, 40.65524609660611], [-73.98122229647618, 40.655827080648834], [-73.97913616940829, 40.65437610584974], [-73.97902926769841, 40.65448937122993], [-73.97883447540772, 40.65468291071849], [-73.97878679741243, 40.654730287293845], [-73.97873444761196, 40.654780625153755], [-73.9784680381451, 40.65503678172333], [-73.97803905670895, 40.65474716679647], [-73.97707696607011, 40.65511383119421], [-73.97657070211439, 40.6553108346772], [-73.97642430860567, 40.65453495550629], [-73.97430127779349, 40.65536737943034], [-73.97355493956309, 40.65564393910541], [-73.97326628147331, 40.65464926075801], [-73.97305103678659, 40.653912506182486], [-73.97268288591657, 40.65263927745378], [-73.97232846283765, 40.651397928567455], [-73.97222228612793, 40.65104695176932], [-73.97208846159396, 40.65065690877682], [-73.97190890508568, 40.650051411862975], [-73.97139631683231, 40.64825778504271], [-73.97084113805757, 40.64637857097529], [-73.97116427427102, 40.64612770012586]]]]}",104.0,2001-08-06T00:00:00.000
