shape_area,schooldist,initials,dbn,edit_date
2051358.68218,19.0,JG,"19K306,19K325",2015-12-03T00:00:00.000
2568337.42787,16.0,SP,16K040,2020-03-02T00:00:00.000
5382434.93236,19.0,SP,19K065,2019-11-15T00:00:00.000
5972580.90048,17.0,BG,17K289,
10722192.2931,20.0,BG,20K200,
1885953.14902,19.0,JG,19K557,2015-11-18T00:00:00.000
6475371.63847,17.0,BG,17K221,
3870862.12615,21.0,BG,21K288,
4860823.38055,17.0,BG,17K398,
11499564.0711,20.0,KC,20K176,2023-10-13T00:00:00.000
6280972.76156,15.0,BG,15K230,
6961094.43798,18.0,BG,18K219,
8505349.39389,22.0,BG,22K255,
3769100.30942,16.0,BG,16K005,2004-09-02T00:00:00.000
3568986.84425,17.0,BG,17K006,
7795126.61592,15.0,BG,15K038,
4615636.93793,19.0,BG,19K306,
689362.679579,21.0,JG,"21K095,21K097,21K101,21K212,21K216",2015-12-03T00:00:00.000
2012510.09436,14.0,BG,14K297,
12787293.2813,14.0,BG,14K034,
4315079.43429,13.0,BG,13K054,
16367217.8366,22.0,BG,22K222,
8291388.45648,22.0,BG,22K254,
24755828.513,22.0,BG,22K236,
10323365.7491,21.0,BG,21K199,
8015004.89618,15.0,BG,15K058,
5089416.86035,17.0,JO,17K705,
212939.871258,21.0,BG,21K329,
3056937.41914,16.0,BG,16K081,2004-09-02T00:00:00.000
16875194.8208,22.0,BG,"22K152,22K315",2005-07-28T00:00:00.000
3118891.76728,13.0,BG,13K046,2004-09-02T00:00:00.000
22434840.6109,19.0,BG,19K346,
30288594.0189,22.0,BG,22K312,
7614907.44695,18.0,BG,18K135,
402078.329984,13.0,JO,14K157,2012-05-03T00:00:00.000
6053773.3646,20.0,BG,20K229,
9019560.74749,17.0,BG,17K091,
8408923.07729,21.0,BG,21K216,
15826326.8154,15.0,BG,15K015,
2781628.17105,17.0,JG,17K012,2015-02-11T00:00:00.000
8109696.19146,17.0,BG,17K161,
4357837.07401,19.0,BG,19K677,
2804695.57195,14.0,JO,"14K319,14K414",2012-12-09T00:00:00.000
13432772.6004,22.0,BG,22K195,2004-04-05T00:00:00.000
2034114.24197,32.0,BG,32K116,
5592307.62927,19.0,BG,,
4892519.27567,21.0,AMG,21K128,
4082853.83643,18.0,BG,,
5341227.58453,18.0,BG,18K235,
9524630.23894,15.0,BG,15K321,
7638553.5086,15.0,BG,15K130,
5321847.29311,32.0,BG,32K274,2012-03-27T00:00:00.000
8187145.40188,21.0,BG,21K177,
5657619.05755,13.0,BG,13K056,2004-09-02T00:00:00.000
13169701.3916,20.0,BG,20K180,2010-06-15T00:00:00.000
2644538.79002,16.0,BG,16K026,2004-09-02T00:00:00.000
9130096.42969,22.0,BG,22K194,
5622227.03816,18.0,BG,18K268,
6910618.87487,21.0,BG,21K097,
2892960.87742,13.0,BG,13K270,2004-09-02T00:00:00.000
11887693.6301,20.0,BG,20K204,
9867339.84721,20.0,BG,20K170,
5968713.47026,15.0,BG,15K010,
7128353.8337,17.0,BG,17K138,
11465050.2438,18.0,BG,18K276,
6576429.37402,20.0,BG,20K163,
9456957.99082,20.0,BS,"20K939,20K506",2023-10-26T00:00:00.000
687148.643889,13.0,JG,13K307,2015-12-28T00:00:00.000
6623431.68654,19.0,SP,19K214,2019-11-15T00:00:00.000
4316869.35872,19.0,BG,19K213,
9925246.0037,22.0,BG,22K217,
2472759.65461,19.0,BG,19K190,
13448247.0298,14.0,BG,14K132,2004-09-02T00:00:00.000
6542797.27304,15.0,BG,15K154,
3185840.50179,32.0,BG,32K384,
2163265.97954,17.0,BG,17K191,
8807961.65752,17.0,AMG,17K375,2005-05-20T00:00:00.000
13882751.9878,14.0,BG,14K196,2004-09-02T00:00:00.000
13297650.0404,20.0,BG,20K127,
3703004.40459,32.0,BG,32K106,
10379061.7007,15.0,BG,15K172,
3614328.45145,16.0,JG,16K025,2018-06-26T00:00:00.000
3153348.14383,14.0,BG,14K059,2004-09-02T00:00:00.000
8651595.48111,15.0,BG,15K124,
4529624.53453,19.0,JG,"19K013,19K149,19K328,19K557",2015-11-18T00:00:00.000
11051646.65,22.0,BG,22K197,
5669663.49897,13.0,BG,13K011,2004-09-02T00:00:00.000
3755559.12758,16.0,BG,16K308,
12935063.5553,14.0,BG,14K017,2004-09-02T00:00:00.000
6882180.92643,19.0,SP,19K108,2019-11-15T00:00:00.000
10480626.2499,21.0,BG,21K095,
9778635.72551,20.0,,,
6109457.59119,20.0,KC,20K112,2023-10-13T00:00:00.000
6774356.88521,19.0,BG,19K202,
12798958.6005,15.0,CR,15K024,2013-12-09T00:00:00.000
4033693.99672,13.0,SCS,13K044,2021-10-27T00:00:00.000
1713312.02006,16.0,BG,16K627,
8410902.63952,15.0,CR,15K169,2013-12-09T00:00:00.000
3788932.08337,16.0,BG,16K335,2004-09-02T00:00:00.000
6543570.56606,21.0,BG,21K329,
5923154.18093,19.0,SP,19K159,2019-11-15T00:00:00.000
2568571.69371,19.0,BG,19K328,
5026045.78208,17.0,BG,17K397,
39097707.9957,19.0,BG,19K224,
6988907.68767,21.0,BG,21K253,
5896410.48291,19.0,BG,19K149,
12016303.6332,18.0,BG,,
6081924.12021,19.0,BG,19K158,
9487671.77317,18.0,BG,18K244,
2156645.18747,32.0,BG,32K151,
12888898.7446,22.0,BG,22K277,
20958531.5908,15.0,,,
13905881.3357,21.0,BG,21K090,
4860774.21568,16.0,BG,16K309,2004-09-02T00:00:00.000
3416510.46124,13.0,SCS,13K256,2021-10-27T00:00:00.000
4993794.17674,15.0,BG,15K094,
3603009.3331,17.0,BG,17K092,
9579792.80902,21.0,BG,21K100,
10468607.7057,21.0,BG,21K215,
7613357.41364,20.0,BG,20K105,2010-06-15T00:00:00.000
4315029.48304,20.0,WC,20K247,2017-09-28T00:00:00.000
6679153.23202,18.0,BG,18K279,
10334378.8084,15.0,CR,15K001,2013-12-09T00:00:00.000
8756277.65591,21.0,BG,21K225,
6613407.70193,20.0,SP,20K503,2019-11-15T00:00:00.000
