purpose,zipcode,validtimes,issuedate
FLEET WEEK,10022.0,8:00 AM - 10:00 PM,2008-05-20T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,6:00AM - 6:00PM (WEDNESDAY),2008-03-03T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY - SUNDAY 7:00AM - 8:00PM,2009-10-23T00:00:00.000
SCHOOL ENROLLMENT,10007.0,MONDAY - FRIDAY (7:00AM - 7:00PM),2009-07-29T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM - 7:00PM,2009-10-21T00:00:00.000
LOADING & UNLOADING EQUIPMENTS,10023.0,8:00AM - MIDNIGHT,2007-07-12T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM SUNDAY - SATURDAY,2007-12-05T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM - 7:00PM,2009-10-22T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM -7:00PM),2008-08-21T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY - SUNDAY 7:00AM - 8:00PM,2009-10-22T00:00:00.000
SCHOOL ENROLLMENT,10007.0,MONDAY - FRIDAY (7:00AM - 7:00PM),2009-07-29T00:00:00.000
PRIMARY ELECTION,10004.0,5:00AM - 10:00PM,2008-08-27T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM SUNDAY - SATURDAY,2007-10-16T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY -  FRIDAY (7:00AM - 7:00PM),2007-08-06T00:00:00.000
INFLUENZA OUTREACH VANS CARRYING MEDICAL EQUIPMENT,10007.0,MONDAY - FRIDAY 7:00AM - 8:00PM,2008-10-28T00:00:00.000
DENTAL EVALUATIONS FOR STUDENTS,11212.0,THURSDAY (9:00AM - 2:30PM),2008-01-09T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM - 7:00PM,2009-10-22T00:00:00.000
CONSUMER FINANCIAL EDUCATION  & AWARENESS,10013.0,10;30AM -  2:00PM,2009-10-16T00:00:00.000
FUND RAISER (NON PROFIT),10458.0,12:00 NOON - 12:00 MIDNIGHT,2007-11-16T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2008-08-21T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM SUNDAY - SATURDAY,2007-12-05T00:00:00.000
PRIMARY ELECTION,10004.0,5:00AM - 10:00PM,2008-08-27T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 10:00 PM,2008-05-20T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,24 HOURS SEVEN DAYS A WEEK,2008-04-23T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY - SUNDAY 7:00AM - 8:00PM,2009-10-22T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,24 HOURS SEVEN DAYS A WEEK,2008-04-23T00:00:00.000
INFLUENZA OUTREACH VANS CARRYING  MEDICAL EQUIP.,10007.0,MONDAY - FRIDAY  7:00AM - 8:00PM,2007-10-24T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,24 HOURS AS NEEDED,2007-12-06T00:00:00.000
SPECIAL ELECTION 30TH COUNCIL DISTRICT,10004.0,5:00 AM - 10:00 PM,2008-06-02T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2007-08-03T00:00:00.000
RADIO CITY HALL CHRISTMAS SPECTACULAR,70624.0,11:00AM - 2:00PM,2008-11-17T00:00:00.000
