city,location
NEW YORK,VARIOUS: INCLUDING MANHATTAN & BROOKLYN  NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW  YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,WEST 62 ST. BET. COLUMBUS & AMSTERDAM AVES - INNER ROADWAY
BROOKLYN,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,QUEENS OFFICE -126-06 QUEENS BLVD & 66-26 METROPOLITAN AVE
BROOKLYN,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
BROOKLYN,SUTTER AVE BETWEEN GRAFTON ST AND LEGION AVE
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,97 HUDSON STREET BETWEEN HARRISON AND LEONARD STREET
BRONX,19 W. 24TH ST BETWEEN 6TH & 5TH AVE
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
BROOKLYN,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,EXECUTIVE OFFICE - 32/42 BROADWAY
NEW YORK,VARIOUS: INCLUDING MANHATTAN & BROOKLYN NO PERMIT AREAS
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,QUEENS BOROUGH OFFICE
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
CLOSTER,RADIO CITY MUSIC HALL 51 STREET AND 6TH AVENUE
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
MONTCLAIR,N/S & S/S W 62ND - 65ST INNER ROADWAY BROADWAY/COLUMBUS & AMSTERDAM
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
BROOKLYN,"P.S. 137 K., 121 SARATOGA AVE./BAINBRIDGE & CHAUNCEY STREET"
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
BROOKLYN,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
BROOKLYN,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,CENTRAL PARK
NEW YORK,STATEN ISLAND OFFICE - 1 EDGEWATER PLAZA
BROOKLYN,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,WORLD TRADE CENTER/ DEY ST & TRINITY PL
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
BROOKLYN,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,"E/S OF N/B  FDR, BET. DWTN MANHATTAN HELIPORT & GOVERNORS ISLAND"
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,MANHATTAN OFFICE - 200 VARICK & 450 W. 33 STREET
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS: INCLUDING MANHATTAN & BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
LIC,KENNEDY LOT
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
LONG ISLAND,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
BROOKLYN,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
BRONX,19 W. 24TH STREET (BETWEEN 6TH & 5TH AVENUE)
BROOKLYN,"GREATER BETHEL, 32 WEST 123RD STREET, NEW YORK"
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW  YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
BROOKLYN,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,"TIMES SQUARE/ 43RD & 44TH ST., BTWN BROADWAY & 7TH  - 9TH AVE"
MONTCLAIR,N/S & S/S W 62ND - 65ST INNER ROADWAY BROADWAY/COLUMBUS & AMSTERDAM
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW  YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
BROOKLYN,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS: INCLUDING MANHATTAN & BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
BROOKLYN,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,50TH STREET & THIRD AVENUE
NEW YORK,WEST 62ST. BET. COLUMBUS & AMSTERDAM AVENUE BOTH SIDES.
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW  YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,BRONX OFFICE - 1780 GRAND CONCOURSE
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,"TIMES SQUARE/ 43RD & 44TH ST., BTWN BROADWAY & 7TH - 9TH AVE"
BROOKLYN,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
LONG ISLAND CITY,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
BROOKLYN,VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS
NEW YORK,INNER ROADWAY W/S COLUMBUS & AMSTERDAM AVE.BET. W62ND - 65TH ST.
BRONX,19 W. 24TH STREET (BETWEEN 6TH & 5TH AVENUE)
