state,reason
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,PRIMARY ELECTION
NY,OFFICIAL BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,FUND RAISER NON PROFIT
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NJ,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NJ,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,OFFICIAL BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,PRIMARY ELECTION
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,PRIMARY ELECTION
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,FUND RAISER
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NJ,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,PRIMARY ELECTION
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,FUND RAISER
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,PRIMARY ELECTION
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,SPECIAL REQUEST
NY,OFFICIAL CITY BUSINESS
NY,OFFICIAL CITY BUSINESS
