contractid,description,vendorname,acronym
CT182620161411450,DUCTILE IRON M/J FITTINGS,METROFAB PIPE CO INC,DEP
CT181620161410154,Expert System Software,ORACLE AMERICA INC.,DOHMH
CT184120161404041,DEVELOPMENT of PROGRAMS TO HELP THE DISABLED for DOT/ CS,CLICK AND GO WAYFINDING MAPS,DOT
CT184120161412883,"FIBER CABLES for DOT/SIGNAL
& STREET LIGHTING","Michael A. Serrano, Inc.",DOT
CT185820161411022,Supplies which are required to maintain Data Center 2MTC,FINESSE CREATIONS INC,DOITT
CT181620161406901,LANDOLL 317D 50 TRAILER OR EQUIVALENT,UTILITY TRAILER SALES OF NEW JERSEY INC.,DOHMH
CT184120161409182,PRE FABRICATED STEEL STORAGE BUILDING for DOT/RRM,FINESSE CREATIONS INC,DOT
CT107220161408356,PRINT SHOP EQUIPMENT PARTS AND REPAIR SERVICE,SUMMIT OFFSET SERVICE LTD,DOC
CT185620165401096,BLANKET ORDER TO BENCH TEST & REPAIR ELEVATOR CIRCUIT BOARDS,EASTERN HORIZON CORP,DCAS
CT107220161411628,SHEET METAL AND STEEL TUBING FOR SSD,MOOR METALS INC,DOC
CT184120161408311,RENTAL OF BLEACHERS for DOT/CUSTOMER SERVICE,RI INC SEATING SOLUTIONS,DOT
CT105420161409708,Bed Bug Inspections & Treatments,GUARDIAN SERVICE INDUSTRIES  INC.,CCRB
CT181620161405793,FRIDGE TAG 2 VACCINE DATA LOGGER CERT,VWR INTERNATIONAL LLC,DOHMH
CT182620161411739,MAINTENANCE ON PLC'S & TELEMETRY PANELS,GENERAL CONTROL SYSTEMS INC,DEP
CT185020161407876,MAINTENANCE CONTRACT FOR OCE TDS 800 COPIER,CANON SOLUTIONS AMERICA INC,DDC
CT122620161411416,ADVERTIESEMENTS FOR CCHR PURPOSES,UNIVISION RADIO NEW YORK INC,CCHR
CT182620161406288,ID CARDS/ SUPPLIES,ID WHOLESALER LLC IDW,DEP
CT107120161411477,POLICE OFFICER TATICAL EQUIPMENT,"LA Police Gear, Inc.",DHS
CT185820161405929,VARIOUS HP TONERS,HI & LOW COMPUTERS INC,DOITT
CT183620161411570,FROSTED AND TEMPERED GLASS,"ALL GLASS SYSTEMS, INC.",DOF
CT107220161407397,WALL PANELS AND RELATED SUPPLIES - CWOD,ORIENTAL LUMBER INC,DOC
CT182620161407126,VANTON CHEM-GARD ANSI HORIZONTAL CENTRIFUGAL PUMP,PINA M. INC,DEP
CT107220161410118,PLASTIC BAGS FOR PRODUCTION PACKAGING - SUPPLIES & EQUIPMENT,MAT & NURI INCORPOATED,DOC
CT107120161411476,POLICE OFFICER TATICAL EQUIPMENT,ATLANTIC TACTICAL INC,DHS
CT182620161408124,THE PURCHASE OF CHLORINE SENSORS,PINA M. INC,DEP
CT107220161413397,"ALL LABOR, PARTS AND SERVICE",BLACKLER AIR COMPRESSOR CORP.,DOC
CT181620161411297,INDOOR PARKING,LARDON 1350 LLC,DOHMH
CT182620161409218,Service and Repair of Fire Suppression System Systems,DAVIS-ULMER SPRINKLER CO INC,DEP
CT184120161407550,BUMPER PIPE FOR DOT/TR,CONCEPT PRINTING INC,DOT
CT184120161408872,"Banding, Stainless Steel Type 201, 3/4"" Wide for DOT/TR",E & M SALES INC,DOT
CT184120161411688,"SIKA CEMENT SUPPLIES FOR
DOT/BRIDGES",PARK AVENUE BUILDING & ROOFING SUPPLIES LLC,DOT
CT181620161404771,STANDIING ORDER FOR DNA TYPING KITS,CEN-MED ENTERPRISES INC,DOHMH
CT184120161405260,PUR- VARIOUS LUMBER for DOT/BRIDGES,ORIENTAL LUMBER INC,DOT
CT181620161408596,CANTILEVER STORAGE RACKS AND BODY TRAYS,SALAM INTERNATIONAL INC,DOHMH
CT107220161409183,Sewer Line Maintenance Services,A&L CESSPOOL SERVICE CORP A&L RECYCLING,DOC
CT112520161405883,PUBLIC OUTREACH CONSULTANT FOR HIICAP  UNIT,ERIC HAUSMAN,DFTA
CT185820161406080,SMS PASSCODE SOFTWARE,"GOTHAM TECHNOLOGY GROUP, LLC",DOITT
CT186620161408026,Call center RFP,SERENPORT INFORMATION TECHNOLOGY INC,DCA
CT106820161410120,"PO to Provide Professional svcs
for Construction Scope",Palette Architecture LLC,ACS
CT184120161412975,"VARIOUS SYSTEM CT ANCHORAGES & ACCESSORY
for DOT/BR",HIGHWAY SAFETY CORPORATION,DOT
