action_taken,park_area_id
Approached the crowd; they ignored the employee,R005-ZN02
Approached the crowd; they ignored the employee,X255
Did not approach the crowd; the crowd remains,Q099-ZN13
Approached the crowd; they ignored the employee,M144-ZN06
Did not approach the crowd; the crowd remains,M037-ZN05
Did not approach the crowd; the crowd remains,Q099-ZN17
Approached the crowd; they ignored the employee,M144-ZN06
Approached the crowd; they ignored the employee,M200
Approached the crowd; they ignored the employee,M144-ZN04
Approached the crowd; they ignored the employee,Q306
Did not approach the crowd; the crowd remains,X039-ZN01
Did not approach the crowd; the crowd remains,Q306
Approached the crowd; they ignored the employee,M144-ZN03
Approached the crowd; they ignored the employee,B018
Did not approach the crowd; the crowd remains,Q220G
Did not approach the crowd; the crowd remains,X003-XZ181
Did not approach the crowd; the crowd remains,M011
Did not approach the crowd; the crowd remains,Q220G
Approached the crowd; they ignored the employee,X045-ZN01
Approached the crowd; they ignored the employee,X045-03
Did not approach the crowd; the crowd remains,Q377
Did not approach the crowd; the crowd remains,X232
Approached the crowd; they ignored the employee,Q448-ZN03
Approached the crowd; they ignored the employee,Q162J
Approached the crowd; they ignored the employee,Q306
Approached the crowd; they ignored the employee,B329
Did not approach the crowd; the crowd remains,X092-ZN03
Approached the crowd; they ignored the employee,M144-ZN04
Did not approach the crowd; the crowd remains,Q010A-ZN01
Did not approach the crowd; the crowd remains,Q428
Did not approach the crowd; the crowd remains,M028-ZN04
Approached the crowd; they ignored the employee,Q305
Did not approach the crowd; the crowd remains,M028-ZN04
Approached the crowd; they ignored the employee,M144-ZN03
Did not approach the crowd; the crowd remains,X172
Approached the crowd; they ignored the employee,Q293
Did not approach the crowd; the crowd remains,M077-ZN02
Did not approach the crowd; the crowd remains,X147A-ZN01
Approached the crowd; they ignored the employee,Q396
Approached the crowd; they ignored the employee,X045-03
Did not approach the crowd; the crowd remains,Q360N
Did not approach the crowd; the crowd remains,Q302
Did not approach the crowd; the crowd remains,X157
Approached the crowd; they ignored the employee,X216
Did not approach the crowd; the crowd remains,X039-ZN02
Did not approach the crowd; the crowd remains,X156
Did not approach the crowd; the crowd remains,X092-09
Did not approach the crowd; the crowd remains,Q391
Did not approach the crowd; the crowd remains,Q010A-ZN02
Approached the crowd; they ignored the employee,M017
Did not approach the crowd; the crowd remains,Q107-01
Did not approach the crowd; the crowd remains,Q305
Approached the crowd; they ignored the employee,Q413
Approached the crowd; they ignored the employee,X045-ZN02
Approached the crowd; they ignored the employee,X045-01
Approached the crowd; they ignored the employee,B372
Approached the crowd; they ignored the employee,X002-ZN02
Approached the crowd; they ignored the employee,M045
Did not approach the crowd; the crowd remains,X092-ZN02
Did not approach the crowd; the crowd remains,Q020-ZN01
Approached the crowd; they ignored the employee,M017
Did not approach the crowd; the crowd remains,Q002
Approached the crowd; they ignored the employee,M017
Approached the crowd; they ignored the employee,X002-ZN02
Approached the crowd; they complied with instructions,Q360J
Approached the crowd; they ignored the employee,B247
Approached the crowd; they complied with instructions,Q031
Did not approach the crowd; the crowd remains,Q102-ZN01
Approached the crowd; they ignored the employee,B247
Approached the crowd; they ignored the employee,X010A-01
Approached the crowd; they ignored the employee,X092-ZN16
Approached the crowd; they ignored the employee,M144-ZN06
Approached the crowd; they complied with instructions,Q319
Approached the crowd; they ignored the employee,Q127
Did not approach the crowd; the crowd remains,X255
Approached the crowd; they complied with instructions,X026
Approached the crowd; they ignored the employee,M017
Approached the crowd; they ignored the employee,X045-01
Approached the crowd; they complied with instructions,M107-ZN07
Did not approach the crowd; the crowd remains,X113
Did not approach the crowd; the crowd remains,M098
Did not approach the crowd; the crowd remains,B157
Did not approach the crowd; the crowd remains,B358
Did not approach the crowd; the crowd remains,Q015-ZN04
Approached the crowd; they ignored the employee,X092-ZN12
Did not approach the crowd; the crowd remains,Q020
Did not approach the crowd; the crowd remains,M011
Approached the crowd; they ignored the employee,Q047
Did not approach the crowd; the crowd remains,X162
Approached the crowd; they ignored the employee,X131
Did not approach the crowd; the crowd remains,M011
Did not approach the crowd; the crowd remains,M029-01
Approached the crowd; they ignored the employee,X179
Approached the crowd; they ignored the employee,M144-ZN04
Did not approach the crowd; the crowd remains,Q127
Did not approach the crowd; the crowd remains,Q305
Did not approach the crowd; the crowd remains,X156
Did not approach the crowd; the crowd remains,Q377
Approached the crowd; they ignored the employee,M144-ZN06
Did not approach the crowd; the crowd remains,M028-ZN04
Did not approach the crowd; the crowd remains,X147A-ZN01
Did not approach the crowd; the crowd remains,Q094
Approached the crowd; they ignored the employee,M237
Approached the crowd; they ignored the employee,X011
Did not approach the crowd; the crowd remains,X039-ZN01
Did not approach the crowd; the crowd remains,M011
Approached the crowd; they ignored the employee,X042-XZ466
Approached the crowd; they ignored the employee,Q051
Approached the crowd; they complied with instructions,M107-ZN06
Did not approach the crowd; the crowd remains,M028-ZN04
Did not approach the crowd; the crowd remains,Q126
Did not approach the crowd; the crowd remains,M011
Did not approach the crowd; the crowd remains,Q099-ZN09
Approached the crowd; they ignored the employee,Q319
Did not approach the crowd; the crowd remains,B008-03
Did not approach the crowd; the crowd remains,M037-ZN10
Did not approach the crowd; the crowd remains,X034-ZN02
Did not approach the crowd; the crowd remains,Q002
Approached the crowd; they ignored the employee,M017
Did not approach the crowd; the crowd remains,M028-ZN04
Approached the crowd; they ignored the employee,Q009-01
Did not approach the crowd; the crowd remains,B057-ZN01
Approached the crowd; they ignored the employee,X045-02
Approached the crowd; they ignored the employee,B018-01
Did not approach the crowd; the crowd remains,B150
Did not approach the crowd; the crowd remains,Q212
Did not approach the crowd; the crowd remains,Q052-01
Approached the crowd; they complied with instructions,Q357B01
Did not approach the crowd; the crowd remains,X045-01
Approached the crowd; they ignored the employee,Q051
Did not approach the crowd; the crowd remains,Q305
Did not approach the crowd; the crowd remains,B051
Did not approach the crowd; the crowd remains,Q008
Did not approach the crowd; the crowd remains,X147A-ZN01
Approached the crowd; they ignored the employee,Q119
Approached the crowd; they ignored the employee,X045-ZN02
Did not approach the crowd; the crowd remains,Q008
Approached the crowd; they ignored the employee,Q302
Did not approach the crowd; the crowd remains,X087
Did not approach the crowd; the crowd remains,M029-01
Did not approach the crowd; the crowd remains,M011
Did not approach the crowd; the crowd remains,B109
Did not approach the crowd; the crowd remains,Q099-ZN09
Did not approach the crowd; the crowd remains,Q108
