year,category,subsidy_program,households,individuals
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HRA LINC 3,0,0
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SECTION 8,451,1429
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HOME TBRA,0,0
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SOTA,210,525
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 6,0,0
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 4,491,600
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CFEPS,711,2204
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS A (DHS Shelter),0,0
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA,671,2056
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HOME TBRA,0,0
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SECTION 8,491,1418
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SECTION 8,788,1616
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS A (DHS Shelter),238,738
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 4,0,0
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),421a (non-SOTA and non-CFHEPS),1,1
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 2,278,967
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HOME TBRA,0,0
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 2,314,1093
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 3,0,0
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 1,0,0
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SEPS,719,825
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 5,339,376
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),TOTAL,9744,21405
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SECTION 8,1032,3424
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 1,189,586
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CITY FHEPS (Shelter and Community),7564,15614
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 4,0,0
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 6,0,0
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 4,0,0
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SECTION 8,485,926
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HOME TBRA,119,402
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 5,0,0
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),421a (non-SOTA and non-CFHEPS),8,11
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SOTA,0,0
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CITY FHEPS (Shelter and Community),0,0
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS A (DHS Shelter),11,34
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA,2014,6183
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 6,17,38
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 4,420,486
FY 25,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 5,0,0
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 3,403,1402
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HRA LINC 3,0,0
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA -HRA,139,484
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SOTA,947,2368
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CITY FHEPS (Shelter and Community),6867,15367
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),421a (non-SOTA and non-CFHEPS),0,0
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SOTA,0,0
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HRA LINC 3,0,0
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA -HRA,205,636
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SEPS,910,1026
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 2,45,140
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CFEPS,173,602
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS A (DHS Shelter),193,598
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 4,998,1068
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CFEPS,0,0
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 2,0,0
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CITY FHEPS (Shelter and Community),0,0
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 5,0,0
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 3,0,0
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CFEPS,2093,7284
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS B (Shelter and Community),368,1141
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 3,0,0
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),TOTAL,11348,27921
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA,1794,5370
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HRA LINC 3,0,0
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS A (DHS Shelter),68,211
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),TOTAL,12198,29407
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS A (DHS Shelter),0,0
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 3,0,0
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 1,0,0
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA,1580,5421
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS A (DHS Shelter),8,25
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SOTA,2739,6848
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA,736,2237
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 2,119,414
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CITY FHEPS (Shelter and Community),6023,13012
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CITY FHEPS (Shelter and Community),0,0
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 5,0,0
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 5,436,493
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HOME TBRA,7,18
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),TOTAL,10766,25970
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS B (Shelter and Community),193,598
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HRA LINC 3,161,560
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 3,42,146
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA -HRA,12,37
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 3,12,37
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SOTA,0,0
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HRA LINC 3,56,174
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 3,0,0
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 1,0,0
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),Emergency Housing Voucher (EHV),275,560
FY 25,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HRA LINC 3,0,0
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SEPS,1996,2245
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 5,547,601
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA -HRA,161,560
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SECTION 8,477,1515
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CFEPS,0,0
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SEPS,1633,1864
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 5,0,0
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS B (Shelter and Community),0,0
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CITY FHEPS (Shelter and Community),0,0
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 3,171,595
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),TOTAL,9934,25793
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA,1794,5513
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),TOTAL,8770,24062
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 6,0,0
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 6,0,0
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA,538,1634
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HOME TBRA,267,837
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA -HRA,22,68
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 1,487,1695
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 4,0,0
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),421a (non-SOTA and non-CFHEPS),200,468
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SEPS,0,0
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),Emergency Housing Voucher (EHV),1103,2629
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),TOTAL,15026,32946
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 4,0,0
FY 25,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 4,0,0
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HRA LINC 3,274,954
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HOME TBRA,97,245
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),421a (non-SOTA and non-CFHEPS),274,661
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SECTION 8,528,1089
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SECTION 8,493,954
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),421a (non-SOTA and non-CFHEPS),0,0
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 6,14,49
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HRA LINC 3,118,411
