crfn,postcode,hnum_lo,borough_cap_rate,block,census_tract
2018000313842,10461.0,1649,0.034,4158,26602.0
2019000020941,11209.0,150,0.034,5927,36.0
2021000175493,10003.0,329,0.056,454,40.0
2021000421822,11225.0,516,0.044,1268,321.0
2021000507553,10468.0,2380,0.044,3165,23703.0
2021000254270,10457.0,2238,0.048,3145,38301.0
2019000079325,11211.0,331,0.034,2449,527.0
2019000019753,11230.0,900,0.034,6512,456.0
2021000360780,10457.0,2120,0.046,3081,373.0
2023000157484,10034.0,9,0.068,2217,291.0
2018000207756,10011.0,27,0.034,551,63.0
2022000029035,11103.0,41-07,0.043,685,143.0
2022000066463,11374.0,92-40,0.044,3075,687.0
2018000376675,10458.0,340,0.034,3289,38302.0
2022000313124,11222.0,219,0.048,2688,591.0
2018000381039,10032.0,524,0.033,2120,245.0
2020000217944,10003.0,216,0.061,460,38.0
2018000226207,11212.0,202,0.035,4626,866.0
2022000047086,10460.0,1467,0.042,3899,218.0
2022000120343,10033.0,556,0.05,2157,269.0
2019000071278,10065.0,348,0.033,1436,110.0
2021000462099,11206.0,180,0.044,3044,493.0
2021000295453,11249.0,364,0.056,2443,549.0
2018000264673,10461.0,3108,0.034,4238,300.0
2018000229379,11423.0,201-11,0.031,10475,484.0
2018000375714,10458.0,2833,0.034,3301,40501.0
2018000346210,11220.0,548,0.035,808,100.0
2022000010940,11211.0,360,0.044,2412,513.0
2021000175492,10003.0,327,0.056,454,40.0
2018000211903,10456.0,1052,0.037,2456,18102.0
2018000195547,10026.0,1975,0.034,1903,220.0
2023000240163,,,0.063,9222,
2022000120325,10033.0,480,0.05,2149,267.0
2021000334077,10458.0,2300,0.046,3159,38301.0
2021000408784,10467.0,45,0.044,3326,419.0
2023000080158,11377.0,39-12,0.05,1231,261.0
2020000347786,10467.0,3242,0.047,3355,42901.0
2023000121070,10472.0,1342,0.055,3876,76.0
2022000003404,11204.0,1479,0.044,6582,440.0
2023000192110,10009.0,425,0.054,434,32.0
2018000382338,10031.0,3661,0.033,2098,237.0
2022000162109,10468.0,2415,0.042,3173,23703.0
2019000186052,10462.0,2257,0.037,3819,92.0
2020000226493,10027.0,183,0.061,1994,211.0
2018000157171,10002.0,38,0.034,310,16.0
2023000231263,11219.0,1261,0.058,5634,220.0
2022000120334,10033.0,2502,0.05,2156,269.0
2022000127480,11385.0,1725,0.044,3456,549.0
2023000097566,10452.0,1197,0.055,2463,197.0
2019000191734,11226.0,650,0.033,5220,51601.0
2018000413673,11214.0,2073,0.034,6251,272.0
2023000097568,10452.0,1065,0.055,2505,193.0
2021000269375,11368.0,108-06,0.048,1780,401.0
2018000302285,11229.0,1775,0.035,6801,552.0
2019000231399,11230.0,800,0.033,6511,456.0
2018000170745,11213.0,947,0.037,1223,311.0
2021000509048,10033.0,511,0.055,2156,269.0
2020000340636,10466.0,4206,0.047,4994,420.0
2019000033374,10459.0,957,0.037,2703,87.0
2022000247481,10011.0,51,0.05,575,63.0
2019000213712,11226.0,1745,0.033,5060,50804.0
2021000274251,11355.0,140-71,0.048,5182,857.0
2020000181058,11220.0,316,0.056,5863,68.0
2022000060598,11421.0,85-31,0.044,8885,22.0
2021000172576,11220.0,6647,0.063,5840,30.0
2018000203688,11226.0,31,0.037,5063,50803.0
2018000379540,10032.0,80,0.033,2137,245.0
2023000156666,10452.0,1265,0.055,2489,197.0
2023000081897,11355.0,143-02,0.05,5190,859.0
2019000205388,10031.0,1590,0.035,2070,225.0
2021000004970,11374.0,62-82,0.055,3079,687.0
2020000272027,11694.0,131,0.055,16229,93402.0
2022000231220,11215.0,572,0.042,1052,141.0
2022000200320,11233.0,334,0.042,1514,379.0
2018000295019,11204.0,6301,0.035,6552,436.0
2018000300352,11230.0,608,0.035,5234,520.0
2022000324953,11220.0,430,0.048,5791,122.0
2020000366764,11225.0,215,0.062,1314,327.0
2018000331599,10033.0,1469,0.033,2165,271.0
2020000325224,10011.0,244,0.061,767,81.0
2020000245171,10461.0,1802,0.047,4130,254.0
2021000187916,11218.0,352,0.063,5359,494.0
2021000404109,10454.0,537,0.046,2267,39.0
2020000257512,10022.0,400,0.061,1369,10601.0
2023000248355,10034.0,26,0.054,2220,291.0
2019000132405,10013.0,111,0.035,205,41.0
2019000383846,11233.0,401,0.045,1664,275.0
2022000191736,10461.0,3120,0.042,4238,300.0
2020000183274,11217.0,70,0.056,951,159.0
2022000217688,11209.0,6914,0.042,5874,130.0
2022000056035,,354,0.044,3281,
2018000170746,11213.0,939,0.037,1223,311.0
2023000153608,10466.0,4254,0.055,4996,418.0
2019000030364,11229.0,2233,0.034,6803,550.0
2018000306327,10458.0,226,0.034,3308,413.0
2018000187038,10128.0,155,0.034,1624,15802.0
2018000416766,10031.0,510,0.033,2077,229.0
2021000132942,10032.0,647,0.059,2138,253.0
2021000014151,11238.0,195,0.062,1173,207.0
2021000240574,11210.0,650,0.063,5251,786.0
2018000365148,10034.0,9,0.033,2217,291.0
2022000213597,10462.0,2160,0.042,3813,92.0
2022000180955,10032.0,555,0.05,2109,24301.0
2019000380609,10128.0,223,0.047,1646,15602.0
2018000406032,11219.0,5001,0.034,5646,114.0
2021000326443,10466.0,655,0.046,4831,408.0
2022000162370,10012.0,239,0.05,495,43.0
2018000149792,10031.0,3694,0.034,2084,237.0
2019000180714,11423.0,102-31,0.039,10362,404.0
2018000305971,10467.0,3050,0.034,3333,425.0
2023000011576,11204.0,1965,0.051,5578,258.0
2023000204339,11205.0,100,0.058,1893,191.0
2022000213612,11220.0,768,0.042,750,94.0
2022000312708,10455.0,864,0.045,2600,31.0
2023000247963,10034.0,113,0.054,2220,291.0
2022000120328,10033.0,475,0.05,2149,267.0
2020000060631,11203.0,3405,0.051,4968,830.0
2022000272802,10461.0,2820,0.042,5386,264.0
2022000172488,10468.0,2518,0.042,3220,263.0
