grantee,cap_rate,nta,str_name
ALDOVI REALTY LLC,0.03,Pelham Bay-Country Club-City Island,EDISON AVENUE
COLONIAL RIDGE ASSETS LLC,0.032,Bay Ridge,74 STREET
EVP 329 EAST 12TH ST LLC,0.024,East Village,EAST 12 STREET
CROWN RESIDENTIAL CORP.,0.036,Crown Heights South,EASTERN PARKWAY
2380 C LLC,0.036,Fordham South,CRESTON AVENUE
2238 VALENTINE REALTY LLC,0.046,Fordham South,VALENTINE AVENUE
"WEST 8TH STREET ASSOCIATES, LLC",0.012,North Side-South Side,KEAP STREET
900 ASSETS LLC,0.029,Midwood,AVENUE H
2120 HUGHES LLC,0.044,East Tremont,HUGHES AVENUE
ELIO&SONS2 LLC,0.039,MN1203,POST AVENUE
NEW YORK UNIVERSITY,0.018,West Village,WASHINGTON SQUARE N
DRIVEN 28TH AVENUE LLC,0.04,Astoria,28 AVENUE
"92-40 QUEENS BOULEVARD, LLC",0.041,Rego Park,QUEENS BOULEVARD
340 E 198TH STREET LLC,0.03,Fordham South,MARION AVENUE
219 KINGSLAND BH LLC,0.039,BK0101,KINGSLAND AVENUE
FORDWASH PARTNERS LLC*BENTON HEIGHTS LLC*HEIGHTS PARTNERS LLC,0.032,Washington Heights South,WEST 162 STREET
"MOLL, STEPHAN",0.051,East Village,EAST 5 STREET
202 EAST 91 LLC,0.032,Rugby-Remsen Village,EAST 91 STREET
1467 T LLC,0.038,West Farms-Bronx River,TAYLOR AVENUE
DY 556 WEST 185 LLC,0.043,Washington Heights North,WEST 185 STREET
348 EAST 62ND LLC,0.029,Lenox Hill-Roosevelt Island,EAST 62 STREET
"180 SCHOLES STREET, LLC",0.043,Bushwick South,SCHOLES STREET
SOUTH 4 HOLDINGS LLC,0.031,North Side-South Side,BEDFORD AVENUE
3108 WILKINSON ASSOCIATES LLC,0.025,Pelham Bay-Country Club-City Island,WILKINSON AVENUE
BR JAMAICA PARTNERS LLC,0.028,Hollis,JAMAICA AVENUE
2833 BRIGGS AVENUE LLC,0.03,Bedford Park-Fordham North,BRIGGS AVENUE
AADVA REALTY LLC*K S TURNPIKE LLC,0.022,Sunset Park East,52 STREET
360 SOUTH 1 LLC,0.04,North Side-South Side,SOUTH 1 STREET
EVP 327 EAST 12TH ST LLC,0.032,East Village,EAST 12 STREET
1048-1064 SHERIDAN INVESTORS LLC,0.034,East Concourse-Concourse Village,SHERIDAN AVENUE
ALEM AC LLC,0.027,Central Harlem South,ADAM C POWELL BLVD
8529 114 STREET LLC,0.047,,114 STREET
DY 480 WEST 187 LLC,0.037,Washington Heights North,WEST 187 STREET
2300 GC LLC,0.039,Fordham South,GRAND CONCOURSE
45 E MOSHOLU LLC,0.03,Norwood,E MOSHOLU PARKWAY N
39-12 62ND STREET LLC,0.03,QN0203,62 STREET
3242 DECATUR ASSOCIATES LLC,0.046,Norwood,DECATUR AVENUE
"MARC RESNICK, TRUSTEE",0.054,BX0901,ST LAWRENCE AVENUE
1479 DAHILL LLC,0.036,Ocean Parkway South,DAHILL ROAD
425 EAST 6 STREET LLC,0.043,MN0303,EAST 6 STREET
3661 BROADWAY ASSOCIATES LLC,0.017,Hamilton Heights,BROADWAY
2415 C LLC,0.035,Fordham South,CRESTON AVENUE
2257 HAVILAND HOLDINGS LLC,0.036,Westchester-Unionport,HAVILAND AVENUE
185-187 CLAREMONT AVE. LLC,0.048,Morningside Heights,CLAREMONT AVENUE
PARK 80 HOLDING LLC,0.028,Chinatown,LUDLOW STREET
1261 49 HOLDINGS LLC,0.04,BK1202,49 STREET
DY 501 WEST 184 LLC,0.037,Washington Heights North,AMSTERDAM AVENUE
1723 WOODBINE LLC,0.015,Ridgewood,WOODBINE STREET
ICP GRAND CONCOURSE LLC,0.043,BX0401,GRAND CONCOURSE
650 EAST 21 HOLDING LLC,0.027,Flatbush,EAST 21 STREET
S78 REALTY LLC,0.029,Bensonhurst West,78 STREET
ICP JEROME LLC,0.049,BX0402,JEROME AVENUE
"59-01 MASPETH AVENUE, INC.",0.037,North Corona,39 AVENUE
1775 EAST 18TH STREET LLC,0.028,Madison,EAST 18 STREET
800 MIDWOOD LLC,0.031,Midwood,AVENUE H
947 SM LLC,0.024,Crown Heights North,ST MARKS AVENUE
511 W 184 LLC,0.051,Washington Heights North,WEST 184 STREET
"LAL-ROUGHLOCK CARPENTER, LLC",0.045,Williamsbridge-Olinville,CARPENTER AVENUE
957 KELLY REALTY LLC,0.031,Longwood,KELLY STREET
"51 WEST 11TH STREET, L.P.",0.016,West Village,WEST 11 STREET
M & M CATON REALTY LLC,0.025,Flatbush,CATON AVENUE
"FLUSHING GOLD COAST APT., LLC",0.048,Flushing,ASH AVENUE
316 68TH STREET OWNERS LLC,0.026,Bay Ridge,68 STREET
STEVEN HOMES LLC,0.043,Woodhaven,WOODHAVEN BOULEVARD
6647 BERGEN PLACE MANAGEMENT LLC,0.048,Bay Ridge,BERGEN PLACE
31 EAST 21ST STREET PARTNERS LLC,0.027,Flatbush,EAST 21 STREET
80 FT WASHINGTON LLC,0.026,Washington Heights South,FT WASHINGTON AVENUE
ELIO&SONS1 LLC,0.052,BX0401,GERARD AVENUE
42-59 BOWNE STREET LLC,0.033,QN0707,BEECH AVENUE
1588-1600 AMS LLC,0.027,Hamilton Heights,AMSTERDAM AVENUE
SAUNDERS COMMONS LLC,0.05,Rego Park,SAUNDERS STREET
BEACH 119 APTS LLC,0.043,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,BEACH 119 STREET
572 5TH AVE REALTY LLC,0.025,Park Slope-Gowanus,5 AVENUE
CHAUNCEY NY LLC,0.033,Stuyvesant Heights,CHAUNCEY STREET
WOOTOS REALTY INC.,0.029,Bensonhurst East,BAY PARKWAY
"608 RUGBY ROAD, LLC",0.032,Flatbush,RUGBY ROAD
NYC MING & QIU LLC,0.043,BK0703,61 STREET
"215 STERLING, LLC",0.053,Prospect Lefferts Gardens-Wingate,STERLING STREET
1469 ST. NICHOLAS PARTNERS LLC,0.03,Washington Heights North,ST NICHOLAS AVENUE
246-18 REALTY LLC,0.046,Hudson Yards-Chelsea-Flatiron-Union Square,WEST 18 STREET
LURTING LLC,0.023,Van Nest-Morris Park-Westchester Square,LURTING AVENUE
352 E8 REALTY LLC,0.05,Kensington-Ocean Parkway,EAST 8 STREET
537 E 139 LLC,0.046,Mott Haven-Port Morris,EAST 139 STREET
"400 EAST 58TH STREET, LLC",0.056,Turtle Bay-East Midtown,EAST 58 STREET
26 POST LLC,0.023,MN1203,POST AVENUE
CC MFP MOTT ST LLC,0.014,SoHo-TriBeCa-Civic Center-Little Italy,MOTT STREET
401 MACON LIVING LLC,0.04,Stuyvesant Heights,MACON STREET
SHABAN REALTY LLC,0.029,Pelham Bay-Country Club-City Island,WILKINSON AVENUE
VM REALTY 6 LLC,0.054,Park Slope-Gowanus,7 AVENUE
6914 LAYEM REALTY LLC,0.037,Bay Ridge,6 AVENUE
354 E. MOSHOLU PKWY. LLC,0.038,,EAST MOSHOLU PARKWAY
939 SM LLC,0.028,Crown Heights North,ST MARKS AVENUE
4254 CARPENTER REALTY LLC,0.054,BX1203,CARPENTER AVENUE
MIDWOOD APARTMENTS LLC,0.025,Madison,OCEAN AVENUE
226 E 203 LLC*226 E 203 II LLC,0.031,Bedford Park-Fordham North,EAST 203 STREET
GOULD EAST 96TH STREET LLC,0.019,East Harlem South,EAST 96 STREET
"510-512 WEST 146TH OWNER, LLC",0.023,Hamilton Heights,WEST 146 STREET
647 WEST 169TH LLC,0.037,Washington Heights South,WEST 169 STREET
195 UNDERHILL LLC,0.033,Prospect Heights,UNDERHILL AVENUE
MOON 650 E29 LLC,0.056,Flatbush,EAST 29 STREET
9-15 POST HOLDING LLC,0.022,Marble Hill-Inwood,POST AVENUE
"2160 NEWBOLD REALTY, LLC",0.029,Westchester-Unionport,NEWBOLD AVENUE
"555 ROGER MORRIS, LLC",0.04,Washington Heights South,EDGECOMBE AVENUE
96TH STREET LOFTS LLC,0.02,East Harlem South,EAST 96 STREET
5001 10TH LLC,0.029,Borough Park,10 AVENUE
655 E. 228TH ST. LLC,0.04,Williamsbridge-Olinville,EAST 228 STREET
"OR 239 MULBERRY, LLC",0.039,SoHo-TriBeCa-Civic Center-Little Italy,MULBERRY STREET
SKYLINE 3694 LLC,0.022,Hamilton Heights,BROADWAY
Q184 LLC,0.039,St. Albans,184 STREET
3050 PERRY AVE. BRONX LLC,0.034,Norwood,PERRY AVENUE
1965 GROUP REALTY LLC,0.048,BK1101,BAY RIDGE AVENUE
100 STEUBEN DEVELOPMENT LLC,0.029,BK0204,STEUBEN STREET
110 REALTY LLC,0.035,Sunset Park East,45 STREET
864 E 149 LLC,0.041,BX0101,EAST 149 STREET
113 SHERMAN LLC,0.049,MN1203,SHERMAN AVENUE
DY 475 WEST 186 LLC,0.025,Washington Heights North,WEST 186 STREET
NEWKIRK 3405 LLC,0.048,East Flatbush-Farragut,NEWKIRK AVENUE
MIKA REALTY LLC,0.03,Schuylerville-Throgs Neck-Edgewater Park,MIDDLETOWN ROAD
WEBLIN LLC,0.036,Kingsbridge Heights,WEBB AVENUE
555 W. 173RD ST. LLC,0.04,Washington Heights South,AUDUBON AVENUE
838 WEST END AVENUE MANHATTAN LLC,0.023,Upper West Side,WEST END AVENUE
"638 WEST 160TH OWNER, LLC",0.022,Washington Heights South,WEST 160 STREET
252 RICHMOND TERRACE LLC,0.068,West New Brighton-New Brighton-St. George,RICHMOND TERRACE
147 W 230 LLC,0.031,Van Cortlandt Village,WEST 230 STREET
HF ROCKAWAY LLC,0.049,Far Rockaway-Bayswater,EVERDELL AVENUE
