permitnumber,feetype,permitfeeamountcharged,createdon,modifiedon
B012018352A33,INSPECTION FEE,245,2018-12-18T09:35:24.000,2022-01-16T00:05:35.000
B022022263C16,ADMINISTRATION FEE,50,2022-09-20T12:58:14.000,2022-09-26T00:05:09.000
X012018141A49,ADMINISTRATION FEE,135,2018-05-21T12:37:04.000,2021-06-20T00:05:14.000
B022021067B83,ADMINISTRATION FEE,50,2021-03-08T15:37:13.000,2021-06-13T00:05:09.000
B022021071C35,ADMINISTRATION FEE,50,2021-03-12T15:31:09.000,2021-06-13T00:05:09.000
B022021126C06,ADMINISTRATION FEE,50,2021-05-06T16:17:10.000,2021-06-06T00:05:08.000
Q012018137A06,ADMINISTRATION FEE,135,2018-05-17T07:46:40.000,2021-06-19T00:05:14.000
M022021089B37,ADMINISTRATION FEE,50,2021-03-30T10:40:12.000,2021-06-30T00:05:09.000
X012018024B21,ADMINISTRATION FEE,4590,2018-01-24T14:28:36.000,2021-03-11T00:05:19.000
M022021120A60,ADMINISTRATION FEE,50,2021-04-30T11:11:11.000,2021-06-01T00:05:07.000
B022021351B18,ADMINISTRATION FEE,100,2021-12-17T14:51:09.000,2022-01-16T00:05:10.000
M012024108A72,ADMINISTRATION FEE,405,2024-04-17T12:50:57.000,2024-07-04T00:05:21.000
M012018351A45,ADMINISTRATION FEE,135,2018-12-17T12:36:41.000,2022-01-16T00:05:35.000
S012018123A88,ADMINISTRATION FEE,135,2018-05-03T15:33:39.000,2021-06-08T00:05:12.000
Q042024157A28,ADMINISTRATION FEE,70,2024-06-05T07:07:22.000,2024-07-04T00:05:02.000
S012021263A30,ADMINISTRATION FEE,135,2021-09-20T12:00:10.000,2024-10-20T00:05:46.000
B012018239A83,INSPECTION FEE,245,2018-08-27T10:37:31.000,2021-11-23T00:05:26.000
M022021179C41,INSPECTION FEE,60,2021-06-28T11:51:45.000,2021-08-06T00:05:10.000
Q042024241A95,ADMINISTRATION FEE,70,2024-08-28T14:49:11.000,2024-09-22T00:05:03.000
M022021125A41,ADMINISTRATION FEE,50,2021-05-05T06:49:23.000,2021-06-12T00:05:08.000
Q022022266A37,ADMINISTRATION FEE,50,2022-09-23T10:33:07.000,2022-12-28T00:05:08.000
M022021110B98,ADMINISTRATION FEE,50,2021-04-20T11:55:18.000,2021-06-29T10:06:05.000
B012018121B77,ADMINISTRATION FEE,270,2018-05-01T11:59:42.000,2021-06-30T00:05:17.000
M022021047B96,INSPECTION FEE,30,2021-02-16T16:44:13.000,2021-03-15T13:06:09.000
B042021124A56,ADMINISTRATION FEE,70,2021-05-04T15:29:02.000,2024-06-06T00:05:25.000
Q012018059A80,ADMINISTRATION FEE,135,2018-02-28T08:29:26.000,2021-03-31T00:05:24.000
S042024220A35,ADMINISTRATION FEE,70,2024-08-07T12:59:40.000,2024-09-06T00:05:03.000
Q042024156B08,ADMINISTRATION FEE,70,2024-06-04T14:51:25.000,2024-07-04T00:05:10.000
Q012018087D52,ADMINISTRATION FEE,405,2018-03-28T15:09:49.000,2021-06-26T00:05:16.000
Q022020335A34,ADMINISTRATION FEE,50,2020-11-30T08:09:26.000,2021-03-27T00:05:12.000
S012018239A20,ADMINISTRATION FEE,135,2018-08-27T07:42:26.000,2021-10-03T00:05:17.000
M022021068A22,ADMINISTRATION FEE,50,2021-03-09T09:08:07.000,2021-06-11T00:05:08.000
X022023087A05,ADMINISTRATION FEE,50,2023-03-28T09:32:11.000,2023-05-13T00:05:08.000
M022021075C42,INSPECTION FEE,90,2021-03-16T14:03:16.000,2021-06-02T00:05:08.000
M032024292A29,ADMINISTRATION FEE,30,2024-10-18T08:44:58.000,2024-10-20T00:05:15.000
