sunday_s_attendance,sports_played
0,Volleyball
0,"Basketball, Rugby, Baseball, dodgeball,"
0,Track
0,Child's Tumbling
0,Basketball
0,Softball
0,Soccer
25,"Soccer, Basketball, ultimate Frisbee"
0,Flag Football
0,Kickball
0,Field Games
0,All Sports
0,Field Games
0,Basketball
0,Flag Football
0,Softball
0,Field Games
0,"Soccer, basketball, dodgeball, Ultimate Frisbee"
0,"Basketball, Soccer, Flag Football, Kickball, Track"
0,Volleyball
0,Dodgeball & Basketball
0,Numerous Sports
0,Field Games
0,Bowling
0,Soccer
0,Ultimate Frisbee
0,Field Games
0,Softball
0,Softball
0,Softball
0,Red Bull Soccer Clinic 2nd Session
0,Kickball
0,Basketball
0,Flag Football
0,Track
0,"Paddle Ball, Soccer, Ultimate Frisbee, Rugby, Softball"
0,Field Games
0,Field Games
0,Basketball
0,Basketball
0,Track
0,Free Play
0,Kickball
0,Basketball
0,"Soccer, basketball, tennis, track, football, kickball"
0,Volleyball
0,Track
0,"Softball, Kickball, Wiffleball, Basketball"
0,Volleyball/Spikeball
0,"Basketball, Table tennis, soccer, football, kickball"
0,Track
0,Track
0,Field Games
0,Rugby
0,Flag Football
0,Basketball
0,Free Play
0,"Basketball, Soccer, Flag Football, Kickball, Group Games"
0,Family Zumba
0,Basketball
0,"Basketball, Soccer, Dodgeball, Paddle ball,"
0,Field Games
0,"Softball, Kickball, Wiffleball, Ultimate Frisbee"
0,Volleyball
0,Track
0,Free play
0,"Soccer, Basketball, Kickball, Flag Football,"
0,Basketball
0,Soccer
0,"Basketball, baseball, football, soccer, table tennis, track, group games"
0,Kickball
0,Kickball
0,Basketball
0,Basketball
0,All Sports
250,Basketball
0,Flag Football
0,Flag Football
0,Basketball
550,Pillow Polo
0,Basketball
0,Field Games
0,Field Games
0,Softball
0,Soccer
0,Track
0,Track
0,Track
0,Field Games
0,Track
0,Kickball
850,SoftBall
0,Track
0,Free Play
0,Soccer
0,Soccer
0,Basketball
0,Softball
0,Flag Football
0,Family Zumba
0,Soccer
0,Basketball
0,Track
0,Soccer
0,Ultimate Frisbee
0,"Basketball. soccer, table tennis, football, kickball,"
0,Field Games
0,Kickball
0,Track
0,Kickball
0,Volleyball
0,"Basketball, soccer, flag football, kickball"
0,Volleyball
0,Field Games
0,Field Games
0,"Soccer, Rugby, softball, basketball, and Ultimate Frisbee"
1450,Soccer
0,Red Bull Soccer Clinic 1st Session
0,Kickball
0,Basketball
0,Softball
0,Kickball
590,Soccer
0,Soccer
0,Family Zumba
0,Track
0,"Basketball, Kickball, Soccer, Tennis, Flag Football, Group Games, Ping-Pong"
0,Flag Football
0,Soccer
0,"Basketball, paddleball, rugby, dodgeball, soccer"
0,Volleyball
0,Track
0,Basketball
0,Volleyball
0,Basketball
0,"Basketball, soccer, baseball, kickball, flag football, ping pong"
0,Soccer
0,Field Games
0,Volleyball
0,Kickball
0,Soccer
0,Flag Football
0,Volleyball
0,"Soccer, Basketball, Kickball, Football, table tennis"
0,Basketball
0,"Basketball, Rugby, soccer, ultimate frisbee, dodgeball"
0,Field Games
0,Ultimate Frisbee
0,Basketball
0,Football and frisbee Tag
0,Basketball
0,Flag Football
0,Basketball
0,"Basketball, Soccer, Kickball, Tennis, Flag Football, Street Hockey, Table Tennis"
0,Basketball
0,Soccer
0,"Basketball, Rugby, Soccer, Dodgeball, Pillo Polo, Ultimate Frisbee"
0,Basketball
0,"Softball, Kickball, Wiffleball"
0,Soccer
0,Basketball
0,Softball
0,Soccer
0,Soccer
0,Basketball
0,"Basketball, soccer, table tennis, football, track"
0,Volleyball
0,Softball
0,Soccer
0,Soccer
0,Soccer
0,Flag Football
300,All sports
0,Basketball
0,Basketball
0,Soccer
0,Family Zumba
0,Field Games
0,"Basketball,soccer, kickball, ping pong, flag football"
0,Basketball
0,Football & Tag
0,Soccer
0,Volleyball
0,Track
0,Soccer
0,Kickball
0,Track
0,Soccer
0,Kickball
0,Soccer
0,Softball
0,Soccer
0,"Basketball, soccer, football, track,"
0,Kickball
0,Track
0,Track
0,Track
0,Softball
0,Basketball
0,Basketball and Football
