wednesday_s_attendance,monday_s_attendance
0,0
500,550
0,0
0,0
0,0
0,0
0,0
26,20
0,0
0,0
14,0
280,210
0,13
0,0
300,0
0,0
0,0
175,0
41,0
0,21
201,0
495,0
14,0
17,0
0,0
6,0
0,19
17,0
0,0
0,0
0,0
0,0
0,0
0,0
0,7
355,520
0,0
0,18
0,0
29,0
0,0
20,0
0,0
17,0
26,0
0,7
25,0
0,0
24,0
20,0
23,0
0,0
0,0
14,0
0,0
31,0
0,0
0,0
14,0
13,0
310,330
0,8
0,0
0,11
10,0
0,0
45,0
0,0
0,0
30,0
0,0
0,0
0,0
0,23
280,225
180,95
0,0
17,0
0,0
680,708
0,0
0,0
13,0
0,0
14,0
0,0
0,20
0,18
8,0
0,0
0,0
325,380
0,13
0,0
0,0
0,0
0,0
0,0
0,0
13,0
0,0
0,0
0,0
0,16
17,0
27,0
0,21
0,0
18,0
0,0
6,0
48,0
0,0
0,11
0,0
600,575
560,0
0,0
15,0
0,31
0,0
0,0
440,180
0,0
15,0
0,14
0,0
0,0
0,30
250,0
0,0
0,0
0,0
13,0
0,0
60,0
0,0
0,6
0,21
0,0
0,0
0,0
0,14
30,0
20,0
355,520
8,0
16,0
0,0
100,0
0,0
0,0
0,35
48,0
0,0
0,0
520,175
0,0
0,0
0,24
0,0
0,12
0,0
0,12
7,0
22,0
0,0
0,0
0,0
0,14
0,23
0,0
200,375
0,20
0,11
0,0
11,0
0,0
46,0
0,0
1502,0
0,0
0,19
0,0
12,0
0,0
18,0
0,0
0,0
0,0
0,0
0,30
20,0
0,0
0,28
0,29
0,0
0,0
23,0
250,0
