thursday_s_attendance,friday_s_attendance
13,0
400,100
0,14
0,19
0,23
0,0
22,0
22,100
0,16
0,0
0,0
200,310
0,0
26,0
400,80
0,0
17,0
200,75
80,55
0,0
149,332
475,75
0,0
0,0
0,21
0,0
0,0
0,0
0,0
0,16
24,0
23,0
27,0
0,0
0,0
425,0
0,15
0,0
33,0
0,0
0,21
0,0
0,0
0,0
25,26
0,0
0,0
7,0
0,0
23,22
0,0
0,0
20,0
0,0
0,22
0,0
0,0
56,98
0,0
18,23
300,265
0,0
0,11
0,0
0,0
0,15
47,0
0,14
0,0
39,32
20,0
0,0
0,0
0,0
200,310
400,0
13,0
0,0
0,7
975,333
15,0
0,17
0,0
0,14
0,0
0,22
0,0
0,0
0,9
0,28
0,0
520,950
0,0
0,0
0,0
22,0
0,12
0,17
21,0
0,0
0,0
0,33
0,8
0,0
0,0
28,27
0,0
0,0
0,0
22,0
0,0
74,46
17,0
0,0
0,0
680,675
850,1250
38,0
0,0
0,0
0,14
19,0
550,730
21,0
0,0
0,0
45,50
0,0
0,0
230,300
13,0
0,13
0,0
26,0
0,0
42,36
0,0
0,0
0,0
19,0
17,0
17,0
0,0
29,26
0,0
525,0
0,0
0,0
0,0
250,350
24,0
6,0
0,0
64,49
18,0
0,19
626,400
0,0
0,0
0,0
0,36
0,0
20,0
0,0
0,0
23,21
18,0
0,11
0,14
0,0
0,0
0,14
0,370
0,0
0,0
22,0
0,0
16,0
42,15
19,0
300,250
0,0
0,0
0,30
32,17
0,0
0,0
0,0
25,0
0,12
0,0
0,0
23,26
18,0
0,0
0,0
21,0
0,0
0,0
300,250
