supervision_level,gender
Level 3,Male
Level 2,Male
Level 3,Male
Level 2,Male
Level 4,Male
Level 1,Female
Level 2,Male
Level 2,Male
Level 2,Male
Level 4,Male
Unknown,Male
Level 1,Male
Level 2,Unknown
Level 4,Male
Level 4,Male
Level 2,Male
Level 4,Male
Level 2,Male
Level 1,Male
Level 2,Male
Level 2,Male
Unknown,Female
Level 2,Male
Level 3,Male
Level 2,Male
Level 5,Male
Level 2,Female
Level 2,Male
Level 1,Unknown
Level 2,Female
Level 1,Female
Level 3,Male
Level 1,Male
Level 3,Male
Level 5,Male
Level 2,Female
Level 3,Male
Level 3,Male
Level 3,Unknown
Level 3,Female
Level 5,Male
Level 3,Male
Level 4,Female
Level 5,Male
Level 5,Male
Level 3,Male
Level 2,Male
Level 2,Male
Level 3,Male
Level 2,Female
Level 4,Male
Level 2,Male
Level 1,Male
Level 2,Male
Level 2,Male
Level 3,Male
Level 2,Male
Level 2,Female
Level 4,Female
Level 2,Male
Level 1,Male
Level 1,Male
Level 2,Male
Level 3,Male
Level 3,Male
Level 1,Male
Level 3,Female
Level 1,Male
Level 2,Male
Level 3,Male
Level 1,Male
Level 4,Male
Level 1,Male
Level 3,Male
Level 1,Male
Level 4,Unknown
Level 5,Male
Level 1,Female
Level 2,Male
Level 4,Female
Level 2,Male
Level 2,Male
Level 4,Male
Level 2,Male
Level 1,Female
Level 2,Male
Level 2,Female
Level 3,Male
Level 3,Male
Level 4,Female
Level 2,Male
Level 2,Male
Level 1,Male
Level 2,Male
Level 2,Male
Level 4,Male
Level 3,Male
Level 4,Male
Level 3,Male
Level 2,Female
Level 5,Male
Level 3,Male
Level 3,Female
Level 1,Male
Unknown,Male
Level 2,Male
Level 3,Male
Level 3,Male
Level 3,Male
Level 2,Male
Level 2,Female
Level 4,Female
Level 2,Male
Level 2,Male
Level 2,Male
Level 3,Male
Level 2,Male
Level 1,Male
Level 2,Male
Level 3,Male
Level 2,Male
Level 3,Female
Level 2,Male
Level 2,Male
Level 3,Male
Level 2,Male
Level 5,Male
Level 2,Male
Level 2,Male
Level 2,Female
Level 4,Male
Level 1,Male
Level 2,Male
Level 4,Male
Level 2,Male
Level 2,Male
Level 2,Male
Level 3,Male
Level 3,Unknown
Level 3,Male
Level 3,Male
Level 2,Male
Level 2,Unknown
Level 2,Female
Level 3,Female
Level 3,Male
Level 4,Female
Level 3,Male
Level 2,Male
Level 2,Male
Level 1,Male
Level 2,Male
Level 4,Male
Level 5,Female
Level 2,Male
Level 2,Female
Level 3,Male
Level 3,Male
Level 3,Male
Level 3,Female
Level 2,Male
Level 2,Female
Level 3,Male
Level 3,Male
Level 2,Male
Level 2,Male
Level 3,Unknown
Level 3,Male
Level 2,Male
Level 1,Male
Level 1,Male
Level 2,Male
Level 4,Male
Level 3,Male
Unknown,Female
Level 3,Male
Level 4,Female
Level 3,Male
Level 2,Male
Level 1,Female
Level 4,Female
Level 3,Male
Level 3,Female
Level 3,Male
Level 2,Male
Level 1,Male
Level 1,Female
Level 3,Female
Level 2,Female
Level 1,Male
Level 1,Male
Level 1,Male
Level 4,Male
Level 3,Male
Level 2,Male
Level 3,Male
Level 2,Male
Level 4,Male
Level 3,Female
Level 2,Male
