bbl,latitude,longitude,city,:@computed_region_yeji_bk3q,community_board,:@computed_region_92fq_4b7q
3073670001,40.60080834,-73.93730524,Brooklyn,2,315,8
2040730001,40.84211743,-73.84297149,Bronx,5,210,12
4092730048,40.70127889,-73.83081589,Richmond Hill,3,409,28
2039900040,40.83927887,-73.85175616,Bronx,5,210,31
4096760013,40.70323185,-73.80802139,Jamaica,3,412,24
3087600060,40.57879901,-73.93472896,Brooklyn,2,315,15
2028530017,40.85135355,-73.90872505,Bronx,5,205,29
2029800017,40.83131485,-73.89009651,Bronx,5,203,43
3007247501,40.6505228,-74.00697102,Brooklyn,2,307,7
4098307502,40.71135434,-73.78704132,Jamaica,3,412,6
4050487504,40.76002371,-73.8221581,Flushing,3,407,3
4002170016,40.74695918,-73.92758529,Long Island City,3,402,33
4002140238,40.75182141,-73.9293832,Long Island City,3,401,33
4002810001,40.74229181,-73.93467777,Long Island City,3,402,33
4012740035,40.74933163,-73.89097692,Jackson Heights,3,403,5
4012290122,40.74587762,-73.90307393,Woodside,3,402,33
