census_tract,data_as_of_date,:@computed_region_efsh_h5xi,council_district,location
570,2025-11-28T00:00:00.000,13512,46,"{'type': 'Point', 'coordinates': [-73.93730524, 40.60080834]}"
200,2025-11-28T00:00:00.000,11270,18,"{'type': 'Point', 'coordinates': [-73.84297149, 40.84211743]}"
144,2025-11-28T00:00:00.000,24014,29,"{'type': 'Point', 'coordinates': [-73.83081589, 40.70127889]}"
20601,2025-11-28T00:00:00.000,11271,18,"{'type': 'Point', 'coordinates': [-73.85175616, 40.83927887]}"
240,2025-11-28T00:00:00.000,24670,27,"{'type': 'Point', 'coordinates': [-73.80802139, 40.70323185]}"
616,2025-11-28T00:00:00.000,13826,48,"{'type': 'Point', 'coordinates': [-73.93472896, 40.57879901]}"
23301,2025-11-28T00:00:00.000,10931,14,"{'type': 'Point', 'coordinates': [-73.90872505, 40.85135355]}"
123,2025-11-28T00:00:00.000,10937,17,"{'type': 'Point', 'coordinates': [-73.89009651, 40.83131485]}"
82,2025-11-28T00:00:00.000,13515,38,"{'type': 'Point', 'coordinates': [-74.00697102, 40.6505228]}"
462,2025-11-28T00:00:00.000,24340,27,"{'type': 'Point', 'coordinates': [-73.78704132, 40.71135434]}"
855,2025-11-28T00:00:00.000,14190,20,"{'type': 'Point', 'coordinates': [-73.8221581, 40.76002371]}"
17902,2025-11-28T00:00:00.000,16858,26,"{'type': 'Point', 'coordinates': [-73.92758529, 40.74695918]}"
17102,2025-11-28T00:00:00.000,16858,26,"{'type': 'Point', 'coordinates': [-73.9293832, 40.75182141]}"
19902,2025-11-28T00:00:00.000,16858,26,"{'type': 'Point', 'coordinates': [-73.93467777, 40.74229181]}"
289,2025-11-28T00:00:00.000,14783,25,"{'type': 'Point', 'coordinates': [-73.89097692, 40.74933163]}"
259,2025-11-28T00:00:00.000,14787,26,"{'type': 'Point', 'coordinates': [-73.90307393, 40.74587762]}"
