the_geom,shape_stle
"{'type': 'MultiLineString', 'coordinates': [[[-73.92850479160397, 40.746593139034196], [-73.92856695051931, 40.74628382922779]]]}",114.0000666
"{'type': 'MultiLineString', 'coordinates': [[[-73.9952374561317, 40.761173562526466], [-73.99551191657034, 40.76128962966524]]]}",87.000980144
"{'type': 'MultiLineString', 'coordinates': [[[-73.81467995853379, 40.58670660540031], [-73.81487766793249, 40.58662760312893]]]}",62.0000370774
"{'type': 'MultiLineString', 'coordinates': [[[-73.91342727132474, 40.765414414267305], [-73.91352899688262, 40.76546155192091]]]}",32.999814208
"{'type': 'MultiLineString', 'coordinates': [[[-73.99968835199252, 40.754036679541564], [-73.99933413751609, 40.7545118459287]]]}",198.999700892
"{'type': 'MultiLineString', 'coordinates': [[[-73.91493503877804, 40.742936161357925], [-73.91404021037901, 40.742827940376934]]]}",251.074374714
"{'type': 'MultiLineString', 'coordinates': [[[-73.91014729750434, 40.742460346423925], [-73.91011024876241, 40.742639295159854]]]}",66.000077584
"{'type': 'MultiLineString', 'coordinates': [[[-73.98917282537084, 40.72681974069421], [-73.98919731667289, 40.726830063727014], [-73.98925965756544, 40.72685629237784], [-73.9893211995659, 40.726882194036]]]}",46.999740686
"{'type': 'MultiLineString', 'coordinates': [[[-73.99600587687412, 40.74332633201437], [-73.99597133022266, 40.743311720988395], [-73.99591068803754, 40.74328601838634], [-73.99585005773957, 40.743260306747594], [-73.99578940380877, 40.74323459507599], [-73.995728761764, 40.743208892377865], [-73.99566813160642, 40.7431831806431], [-73.99560868307734, 40.74315797950876]]]}",125.999786514
"{'type': 'MultiLineString', 'coordinates': [[[-73.91262279469501, 40.820952599527864], [-73.9126137562527, 40.820967051051205], [-73.9126030179813, 40.82098421538204], [-73.91257684937572, 40.821026032614604], [-73.91255069257916, 40.82106785885491], [-73.91254680469892, 40.821074071133445]]]}",48.9999667544
"{'type': 'MultiLineString', 'coordinates': [[[-73.9289860760304, 40.74619449969094], [-73.92932180733338, 40.74623151351257]]]}",93.9996638637
"{'type': 'MultiLineString', 'coordinates': [[[-73.998170653312, 40.75062647659693], [-73.99808286432811, 40.75074322935848]]]}",49.0002164698
"{'type': 'MultiLineString', 'coordinates': [[[-73.89343892973903, 40.74761431479673], [-73.89344954472541, 40.74761884516173], [-73.89351004343072, 40.74764466551574], [-73.8935705339002, 40.74767048222818], [-73.89363103269923, 40.74769630251841], [-73.89368442015501, 40.747719088708685]]]}",78.0000765092
"{'type': 'MultiLineString', 'coordinates': [[[-73.98819903501645, 40.75984972541503], [-73.9882413485289, 40.75986773713401], [-73.98826852572476, 40.759879302384924], [-73.98835612043632, 40.759916584061116], [-73.98848251775243, 40.75997038391158]]]}",90.0000452968
"{'type': 'MultiLineString', 'coordinates': [[[-73.95925218187183, 40.774265618699914], [-73.95925202911134, 40.77426554570519], [-73.95925082120951, 40.774265013981335], [-73.95921223892053, 40.77424883630436], [-73.95919273461902, 40.774240661837766], [-73.95914786408353, 40.77422185964767]]]}",32.9999766767
"{'type': 'MultiLineString', 'coordinates': [[[-73.99006703499785, 40.714133279029866], [-73.98930774290459, 40.71417341700225]]]}",210.999799003
"{'type': 'MultiLineString', 'coordinates': [[[-73.9861841166084, 40.746688576717396], [-73.9866279407567, 40.74687789753323]]]}",141.000430147
"{'type': 'MultiLineString', 'coordinates': [[[-73.98942642315748, 40.735191152190794], [-73.98905376250198, 40.73503448483357]]]}",118.00076772
"{'type': 'MultiLineString', 'coordinates': [[[-73.99392181285658, 40.75829804234049], [-73.99314752462436, 40.75796750817991]]]}",245.999482173
"{'type': 'MultiLineString', 'coordinates': [[[-73.92681913301071, 40.86502381212818], [-73.92709786309925, 40.86544952212098]]]}",173.206501681
"{'type': 'MultiLineString', 'coordinates': [[[-73.96907398948558, 40.747578384694144], [-73.96913172964886, 40.74760271115244], [-73.96913490231641, 40.74760404835406], [-73.96913556526192, 40.747604327688684], [-73.96919309948117, 40.74762857211485], [-73.96924024561329, 40.74764842917318], [-73.96925448120588, 40.747654424042615], [-73.96931586297411, 40.74768028494259], [-73.96934459226193, 40.7476923899944], [-73.96934994792905, 40.74769464628752], [-73.96937724478997, 40.747706145809744], [-73.96943862665763, 40.74773199763905], [-73.9694530256534, 40.74773806546822], [-73.96945647653533, 40.747739519800575], [-73.96949999672813, 40.74775785843746], [-73.96950018495819, 40.74775793773189]]]}",134.999774403
"{'type': 'MultiLineString', 'coordinates': [[[-73.93091297081182, 40.7549950405943], [-73.93075815002, 40.755186861586346]]]}",81.999877918
"{'type': 'MultiLineString', 'coordinates': [[[-73.97643879194337, 40.74005464635517], [-73.97649142749178, 40.740076801485735], [-73.97655067432655, 40.740101774725225], [-73.97660077078258, 40.74012290000884], [-73.97660992120194, 40.74012675874023], [-73.97666916812555, 40.74015173191859], [-73.97672841627687, 40.7401767068676], [-73.9767876621054, 40.740201679984615], [-73.97684689731945, 40.74022666297446], [-73.97689123379648, 40.740245353802585], [-73.9769059337112, 40.740251548639094]]]}",147.999935977
"{'type': 'MultiLineString', 'coordinates': [[[-73.9976754489882, 40.71377116288744], [-73.99779238212216, 40.713697864537174]]]}",41.9998280409
"{'type': 'MultiLineString', 'coordinates': [[[-73.96088946582249, 40.71893429918332], [-73.96080813190684, 40.71888423559045]]]}",29.0001043
