council_district,disposition_date
,
,
,
,2025-03-19
,
,
,
,2025-09-15
,
,2024-09-13
30.0,
,
,2025-10-23
,2025-04-25
,2025-08-26
,2025-04-23
2.0,2024-10-04
,2025-02-26
,2025-02-26
,2024-07-26
,2025-08-25
,
,2024-08-05
9.0,2024-08-16
,2025-03-19
,2024-08-05
,2024-09-19
,2025-08-12
,
,
,
,
,2024-08-05
,2024-08-29
,
,
44.0,2024-04-04
2.0,2024-10-04
,
,2024-11-07
32.0,2025-09-12
,
,
,2024-06-24
,2024-12-20
,
,2025-10-30
,
,2025-03-19
,2025-04-24
,
,
,2025-08-26
,
,
,
,2024-04-17
4.0,2025-10-31
,2024-09-12
,
,
,
,
,
9.0,2024-08-16
,2025-08-25
,2025-09-08
,2025-04-25
,2025-10-30
,2024-02-22
,
,2024-12-20
,
,2024-06-24
,2025-05-21
,2024-08-29
,
,
,
,2024-08-07
,2025-05-21
,2024-07-26
,
,
,2025-03-19
,
,2025-10-30
,2025-03-27
1.0,
,
,2025-04-14
39.0,
,
,2025-04-24
,2024-03-14
,
,
,
,2025-09-08
,
,2025-08-12
34.0,
,
,2024-01-04
,2025-03-27
,
,2025-09-15
,2025-04-23
,
,2024-05-24
,
,
,
,
,2024-11-07
,
,
,
,
4.0,2025-10-31
,
,2024-08-19
,
30.0,
,
,
,2024-09-12
,
,2024-10-01
45.0,2024-02-08
,
,2025-09-08
,2025-10-23
4.0,
,2024-07-26
,
,2024-09-19
,
,2024-08-02
44.0,
,
,2024-08-19
,
,
,2025-10-23
,
44.0,2024-04-04
,2024-01-04
,2024-02-22
1.0,2024-10-09
,
,2025-10-23
,
,
45.0,2024-02-08
1.0,
,2024-08-02
,2025-09-08
,2025-10-08
,2024-05-24
,2024-01-04
,2024-09-13
,2025-09-15
44.0,
34.0,
,2025-10-08
,
,2024-08-05
,2024-01-04
,2024-04-17
,
44.0,
39.0,
,
,
4.0,
,
,
,2025-10-30
,2025-04-14
,
,
,2024-10-01
,
,
1.0,2024-10-09
,
,
,
,
,
44.0,
,
,
,2024-08-07
,2024-03-14
32.0,2025-09-12
,
,
,
