_11_00_12_00pm,_4_00_5_00am,_9_00_10_00pm,from
203,32,128.0,MACON ST
290,31,178.0,NORTH 1 STREET
334,25,225.0,SCHMIDTS LA
292,24,189.0,SCHMIDTS LA
364,45,163.0,CLINTON ST
437,28,208.0,CYPRESS AVENUE
310,40,,NECKAR AVE
315,32,207.0,NORTH 1 STREET
84,8,87.0,HASTINGS STREET
70,12,64.0,UNION PLACE
190,13,105.0,TOMPKINS AVENUE
362,24,224.0,LINCOLN ST
132,2,56.0,TIBER PLACE
435,54,280.0,TILLMAN ST
90,3,73.0,HASTINGS STREET
438,53,274.0,BEACH STREET
435,32,258.0,BEACH STREET
287,39,207.0,NECKAR AVE
291,39,186.0,NECKAR AVE
297,18,158.0,SCHMIDTS LA
0,66,,NARROWS RD SO
0,65,,BEACH STREET
297,18,158.0,SCHMIDTS LA
634,56,389.0,BEACH STREET
400,44,243.0,CYPRESS AVENUE
319,18,161.0,SCHMIDTS LA
0,51,0.0,MARION ST
396,52,194.0,CLINTON ST
149,5,140.0,TIBER PLACE
175,41,139.0,MACON ST
269,86,174.0,SCHOLES ST
175,4,114.0,TIBER PLACE
759,80,364.0,NAPLES ST
499,48,227.0,CLINTON ST
358,57,155.0,CLINTON ST
442,43,244.0,TILLMAN ST
0,179,0.0,SCHOLES ST
78,6,,NORTHERN BOULEVARD
439,44,266.0,JAKE COURT
328,71,169.0,SCHOLES ST
374,40,164.0,CLINTON ST
478,52,207.0,CLINTON ST
301,28,,SCHMIDTS LA
60,11,58.0,UNION PLACE
341,18,196.0,SCHMIDTS LA
204,3,73.0,NORTHERN BOULEVARD
196,32,126.0,GRAND STREET
535,50,284.0,CLINTON ST
486,51,271.0,CLINTON ST
274,21,173.0,LINCOLN ST
154,2,89.0,TIBER PLACE
348,55,318.0,HALSEY ST
304,26,223.0,LINCOLN ST
160,5,54.0,NORTHERN BOULEVARD
223,42,168.0,MACON ST
108,16,70.0,UNION PLACE
170,2,129.0,TIBER PLACE
484,54,186.0,CLINTON ST
400,34,193.0,CYPRESS AVENUE
136,6,98.0,NORTHERN BOULEVARD
152,40,141.0,MACON ST
247,64,143.0,DRIGGS AVENUE
150,12,89.0,NORTHERN BOULEVARD
334,25,225.0,SCHMIDTS LA
230,38,216.0,MACON ST
469,44,255.0,JAKE COURT
81,5,62.0,HASTINGS STREET
200,5,62.0,NORTHERN BOULEVARD
382,34,278.0,CYPRESS AVENUE
0,113,0.0,SCHOLES ST
292,24,189.0,SCHMIDTS LA
316,25,217.0,LINCOLN ST
292,10,,LINCOLN ST
67,13,63.0,UNION PLACE
0,36,0.0,NORTH 1 STREET
365,27,210.0,CYPRESS AVENUE
412,54,216.0,TILLMAN ST
243,33,157.0,MARION ST
223,36,157.0,GRAND STREET
0,66,,CLINTON ST
202,20,108.0,TOMPKINS AVENUE
475,86,326.0,OLGA PL
196,40,138.0,MARION ST
164,29,138.0,MACON ST
364,45,267.0,HALSEY ST
474,60,303.0,OLGA PL
111,11,77.0,UNION PLACE
0,21,,UNION PLACE
0,65,0.0,DRIGGS AVENUE
770,85,398.0,NAPLES ST
