_3_00_4_00am,segmentid,_1_00_2_00am,_10_00_11_00am,to,_12_00_1_00_am
24,43547,66,175,MAC DONOUGH ST,77
33,34858,66,307,GRAND STREET,97
21,12370,34,304,WESTWOOD AVE,58
15,12370,30,262,WESTWOOD AVE,56
25,15741,38,350,BALTIC ST,61
30,12829,52,342,MARX STREET,61
34,15047,59,305,WESER AVE,99
40,34858,86,296,GRAND STREET,139
10,14723,16,76,GARSON AVENUE,10
5,15540,14,67,VAN DUZER STREET,27
8,31320,29,184,DELMONICO PLACE,49
16,11273,26,317,CROAK AVE,35
4,11449,11,112,DENOBLE LANE,15
19,11362,47,422,LINCOLN ST,82
6,14723,20,76,GARSON AVENUE,35
29,15542,47,418,WRIGHT STREET,78
29,15542,54,450,WRIGHT STREET,101
25,15047,27,271,WESER AVE,50
27,15047,33,255,WESER AVE,65
13,12370,22,285,WESTWOOD AVE,57
78,107956,155,0,STEUBEN ST,160
97,15542,172,424,WRIGHT STREET,267
13,12370,22,285,WESTWOOD AVE,57
38,15542,73,548,WRIGHT STREET,97
22,12829,42,418,MARX STREET,71
16,12370,32,274,WESTWOOD AVE,39
34,43934,54,121,SUMPTER ST,96
38,15741,46,391,BALTIC ST,85
2,11449,18,150,DENOBLE LANE,28
31,43547,55,179,MAC DONOUGH ST,71
76,44476,77,307,STAGG ST,126
4,11449,16,162,DENOBLE LANE,16
56,12198,77,699,VENICE ST,140
40,15741,67,427,BALTIC ST,85
29,15741,38,414,BALTIC ST,68
26,11362,39,417,LINCOLN ST,73
127,44476,86,0,STAGG ST,116
11,12809,27,164,BRISTOL AVENUE,29
33,112567,52,401,MAXIE COURT,98
60,44476,93,299,STAGG ST,115
36,15741,36,378,BALTIC ST,49
16,15741,53,446,BALTIC ST,92
38,12370,63,273,WESTWOOD AVE,87
8,15540,7,70,VAN DUZER STREET,22
23,12370,31,285,WESTWOOD AVE,53
4,12809,7,126,BRISTOL AVENUE,18
27,44195,35,198,POWERS STREET,89
38,15741,69,466,BALTIC ST,99
33,15741,50,450,BALTIC ST,83
15,11273,30,263,CROAK AVE,48
3,11449,8,108,DENOBLE LANE,16
40,43218,89,371,MACON AVE,133
22,11273,26,263,CROAK AVE,62
9,12809,12,139,BRISTOL AVENUE,19
44,43547,59,229,MAC DONOUGH ST,97
13,15540,16,107,VAN DUZER STREET,26
7,11449,12,158,DENOBLE LANE,30
36,15741,65,400,BALTIC ST,88
23,12829,37,334,MARX STREET,60
1,12809,14,144,BRISTOL AVENUE,26
30,43547,64,194,MAC DONOUGH ST,95
35,65882,41,204,NASSAU AVENUE,56
6,12809,11,143,BRISTOL AVENUE,16
21,12370,34,304,WESTWOOD AVE,58
36,43547,51,218,MAC DONOUGH ST,92
36,112567,50,389,MAXIE COURT,102
8,14723,19,75,GARSON AVENUE,26
6,12809,19,132,BRISTOL AVENUE,37
20,12829,35,374,MARX STREET,62
70,44476,101,0,STAGG ST,159
15,12370,30,262,WESTWOOD AVE,56
26,11273,15,295,CROAK AVE,53
15,11273,25,374,CROAK AVE,54
6,15540,16,57,VAN DUZER STREET,21
53,34858,145,0,GRAND STREET,149
11,12829,23,322,MARX STREET,61
23,11362,38,402,LINCOLN ST,57
38,43934,38,215,SUMPTER ST,71
35,44195,45,220,POWERS STREET,81
51,15741,96,0,BALTIC ST,113
20,31320,18,207,DELMONICO PLACE,52
47,114869,42,477,STEUBEN ST,82
38,43934,50,251,SUMPTER ST,72
41,43547,53,158,MAC DONOUGH ST,75
42,43218,92,385,MACON AVE,121
40,114869,55,456,STEUBEN ST,110
18,15540,12,117,VAN DUZER STREET,24
18,15540,27,29,VAN DUZER STREET,42
35,65882,39,0,NASSAU AVENUE,49
44,12198,79,761,VENICE ST,144
115,44476,81,304,STAGG ST,120
15,11362,57,462,LINCOLN ST,83
124,44476,66,356,STAGG ST,90
2,11449,11,108,DENOBLE LANE,27
14,31320,29,195,DELMONICO PLACE,48
40,114869,59,500,STEUBEN ST,86
27,15047,44,279,WESER AVE,59
4,15540,12,105,VAN DUZER STREET,27
14,11449,37,153,DENOBLE LANE,47
29,43547,59,120,MAC DONOUGH ST,91
17,15047,34,244,WESER AVE,71
36,107956,77,404,STEUBEN ST,118
8,31320,29,83,DELMONICO PLACE,42
23,12370,31,285,WESTWOOD AVE,53
21,44195,46,183,POWERS STREET,91
25,12829,31,422,MARX STREET,72
10,14723,55,58,GARSON AVENUE,44
20,11362,64,509,LINCOLN ST,135
18,12829,23,353,MARX STREET,41
5,14723,20,72,GARSON AVENUE,29
21,31320,17,111,DELMONICO PLACE,59
32,15047,29,272,WESER AVE,44
5,15540,17,83,VAN DUZER STREET,31
22,11362,39,437,LINCOLN ST,70
12,31320,26,192,DELMONICO PLACE,56
24,11362,51,474,LINCOLN ST,84
63,107956,93,701,STEUBEN ST,227
20,12809,31,127,BRISTOL AVENUE,32
3,12809,11,129,BRISTOL AVENUE,21
14,15540,10,68,VAN DUZER STREET,20
30,11273,62,246,CROAK AVE,80
49,43218,82,397,MACON AVE,179
39,44195,60,196,POWERS STREET,112
46,122461,69,333,DOUGLAS ST,84
37,112567,58,409,MAXIE COURT,91
28,107956,89,432,STEUBEN ST,115
36,43934,41,208,SUMPTER ST,73
38,12370,63,273,WESTWOOD AVE,87
21,15047,35,279,WESER AVE,56
16,12370,32,274,WESTWOOD AVE,39
36,65882,31,220,NASSAU AVENUE,45
24,15047,34,307,WESER AVE,71
29,112567,50,408,MAXIE COURT,83
32,11362,81,421,LINCOLN ST,141
40,15542,52,443,WRIGHT STREET,96
34,107956,56,412,STEUBEN ST,70
19,11273,20,336,CROAK AVE,32
28,112567,53,390,MAXIE COURT,76
22,34858,66,281,GRAND STREET,114
34,114869,66,498,STEUBEN ST,120
11,31320,31,165,DELMONICO PLACE,57
39,44195,63,0,POWERS STREET,109
12,11273,33,311,CROAK AVE,55
29,43934,52,224,SUMPTER ST,82
7,11449,18,179,DENOBLE LANE,22
20,65882,41,222,NASSAU AVENUE,48
15,15047,38,275,WESER AVE,59
11,11273,25,329,CROAK AVE,28
62,44476,80,262,STAGG ST,92
34,11362,83,495,LINCOLN ST,149
9,15540,16,139,VAN DUZER STREET,32
59,114869,118,0,STEUBEN ST,179
11,11362,53,490,LINCOLN ST,111
9,14723,13,74,GARSON AVENUE,15
6,11449,16,179,DENOBLE LANE,29
6,11449,16,118,DENOBLE LANE,30
14,12829,40,405,MARX STREET,68
16,31320,27,5,DELMONICO PLACE,64
3,11449,10,108,DENOBLE LANE,25
13,31320,28,194,DELMONICO PLACE,59
2,12809,14,124,BRISTOL AVENUE,20
16,12829,37,324,MARX STREET,61
27,12829,27,387,MARX STREET,49
47,12198,57,724,VENICE ST,99
70,12198,156,723,VENICE ST,241
23,15047,19,296,WESER AVE,57
38,15542,58,453,WRIGHT STREET,94
37,43547,54,202,MAC DONOUGH ST,86
40,43547,73,74,MAC DONOUGH ST,78
33,114869,49,457,STEUBEN ST,66
3,12809,10,141,BRISTOL AVENUE,21
2,11449,6,109,DENOBLE LANE,27
51,43218,85,0,MACON AVE,150
22,31320,26,0,DELMONICO PLACE,80
49,12198,53,694,VENICE ST,113
68,44476,121,257,STAGG ST,141
42,43218,89,410,MACON AVE,129
71,15741,111,0,BALTIC ST,156
2,12809,11,106,BRISTOL AVENUE,29
24,65882,33,205,NASSAU AVENUE,24
33,112567,86,450,MAXIE COURT,108
16,15047,33,305,WESER AVE,56
6,15540,22,156,VAN DUZER STREET,39
44,12198,61,815,VENICE ST,118
54,34858,139,217,GRAND STREET,135
45,107956,82,396,STEUBEN ST,148
23,43547,45,112,MAC DONOUGH ST,66
23,15540,45,74,VAN DUZER STREET,45
123,44476,67,360,STAGG ST,107
37,12829,77,356,MARX STREET,113
118,44476,124,307,STAGG ST,120
31,11362,76,481,LINCOLN ST,118
15,11273,22,245,CROAK AVE,51
10,11273,34,238,CROAK AVE,34
40,15741,44,366,BALTIC ST,54
59,11362,144,491,LINCOLN ST,218
16,11273,31,239,CROAK AVE,47
43,12829,60,333,MARX STREET,99
3,12809,9,126,BRISTOL AVENUE,32
