the_geom,long,y,street_2,street_1
"{'type': 'Point', 'coordinates': [-73.76712954236196, 40.666695834087555]}",-73.7671295423619,182257.536781475,FARMERS BOULEVARD,SOUTH CONDUIT AVENUE
"{'type': 'Point', 'coordinates': [-73.92427980839541, 40.807186717393655]}",-73.9242798083954,233365.998868808,WILLIS AVENUE BRIDGE,EAST 135 STREET
"{'type': 'Point', 'coordinates': [-73.98636141742998, 40.740184799904874]}",-73.98636141743,208946.189768896,PARK AVENUE SOUTH,EAST 23 STREET
"{'type': 'Point', 'coordinates': [-74.11618948706621, 40.62894119688373]}",-74.1161894870662,168438.004381225,FOREST AVENUE,BROADWAY
"{'type': 'Point', 'coordinates': [-74.15735080819645, 40.608054665482626]}",-74.1573508081964,160846.343055397,MORANI STREET,VICTORY BOULEVARD
"{'type': 'Point', 'coordinates': [-73.99072636359239, 40.75595040547798]}",-73.9907263635924,214689.947966397,WEST 40 STREET,8 AVENUE
"{'type': 'Point', 'coordinates': [-73.89722570345026, 40.67720764928895]}",-73.8972257034502,186018.142777309,FULTON STREET,PENNSYLVANIA AVENUE
"{'type': 'Point', 'coordinates': [-73.96608191393541, 40.629542706964145]}",-73.9660819139354,168637.584034562,AVENUE H,CONEY ISLAND AVENUE
"{'type': 'Point', 'coordinates': [-73.94967567469236, 40.67845668101133]}",-73.9496756746924,186460.487365067,NOSTRAND AVENUE,ATLANTIC AVENUE
"{'type': 'Point', 'coordinates': [-73.78672157007964, 40.70789319423617]}",-73.7867215700796,197253.050753638,JAMAICA AVENUE,173 STREET
"{'type': 'Point', 'coordinates': [-73.99994759219895, 40.6739319717764]}",-73.999947592199,184807.996575564,COURT STREET,HAMILTON AVENUE
"{'type': 'Point', 'coordinates': [-73.95298672709704, 40.67872199536486]}",-73.952986727097,186556.638747558,BEDFORD AVENUE,ATLANTIC AVENUE
"{'type': 'Point', 'coordinates': [-73.97210897593583, 40.74320549087532]}",-73.9721089759358,210047.659678817,EAST 34 STREET,FRANKLIN D ROOSEVELT DRIVE
"{'type': 'Point', 'coordinates': [-73.90649600996335, 40.87687722741354]}",-73.9064960099633,258761.607198223,WEST 230 STREET,BROADWAY
"{'type': 'Point', 'coordinates': [-73.92378848615257, 40.76122608607659]}",-73.9237884861526,216621.098959729,33 STREET,BROADWAY
"{'type': 'Point', 'coordinates': [-73.92524218539234, 40.861362999475816]}",-73.9252421853923,253104.188394979,FT GEORGE HILL,NAGLE AVENUE
"{'type': 'Point', 'coordinates': [-74.00410651635896, 40.63406012097001]}",-74.004106516359,170281.603056222,58 STREET,FT HAMILTON PARKWAY
"{'type': 'Point', 'coordinates': [-73.9059722144709, 40.640238248524064]}",-73.9059722144709,172546.440718144,REMSEN AVENUE,FLATLANDS AVENUE
"{'type': 'Point', 'coordinates': [-73.80399971294933, 40.760270486293834]}",-73.8039997129493,216324.504736647,SANFORD AVENUE,162 STREET
"{'type': 'Point', 'coordinates': [-73.85216495797137, 40.69366135873524]}",-73.8521649579714,192030.577930897,JAMAICA AVENUE,WOODHAVEN BOULEVARD
"{'type': 'Point', 'coordinates': [-74.02042199813586, 40.64205723754842]}",-74.0204219981359,173195.802936479,60 STREET,3 AVENUE
"{'type': 'Point', 'coordinates': [-73.9251848653289, 40.818012668045974]}",-73.9251848653289,237310.06250298,EAST 149 STREET,PARK AVENUE
"{'type': 'Point', 'coordinates': [-73.93160743419706, 40.66355672297092]}",-73.9316074341971,181035.406679809,EMPIRE BOULEVARD,UTICA AVENUE
"{'type': 'Point', 'coordinates': [-74.16360268281991, 40.59337419884143]}",-74.1636026828199,155501.06207931,DRAPER PLACE,TRAVIS AVENUE
"{'type': 'Point', 'coordinates': [-73.92347379178536, 40.82541321980992]}",-73.9234737917854,240006.759865478,EAST 158 STREET,GRAND CONCOURSE
"{'type': 'Point', 'coordinates': [-73.94565042661112, 40.74581819689425]}",-73.9456504266111,211002.993398055,JACKSON AVENUE,23 STREET
"{'type': 'Point', 'coordinates': [-73.94944978144284, 40.63450748193094]}",-73.9494497814428,170448.610268146,GLENWOOD ROAD,FLATBUSH AVENUE
"{'type': 'Point', 'coordinates': [-73.94369913620099, 40.81530637744512]}",-73.943699136201,236320.22852464,WEST 135 STREET,ADAM CLAYTON POWELL JR BOULEVARD
"{'type': 'Point', 'coordinates': [-73.99683993951976, 40.737360888522936]}",-73.9968399395198,207917.071092233,WEST 14 STREET,AVENUE OF THE AMERICAS
"{'type': 'Point', 'coordinates': [-73.85529275957798, 40.70259550071783]}",-73.855292759578,195284.097998649,MYRTLE AVENUE,WOODHAVEN BOULEVARD
"{'type': 'Point', 'coordinates': [-73.91648590031349, 40.657859089738594]}",-73.9164859003135,178963.23792389,WILLMOHR STREET,ROCKAWAY PARKWAY
"{'type': 'Point', 'coordinates': [-73.98776905997904, 40.74978702856705]}",-73.987769059979,212444.530869305,WEST 34 STREET,AVENUE OF THE AMERICAS
"{'type': 'Point', 'coordinates': [-73.79165400543361, 40.704856671435564]}",-73.7916540054336,196143.466358647,93 AVENUE,168 STREET
"{'type': 'Point', 'coordinates': [-73.79677023218083, 40.70051303076214]}",-73.7967702321808,194557.620120898,LIBERTY AVENUE,160 STREET
"{'type': 'Point', 'coordinates': [-73.93541084888348, 40.79600549471535]}",-73.9354108488835,229289.820669472,EAST 116 STREET,1 AVENUE
"{'type': 'Point', 'coordinates': [-73.93439127745825, 40.66360273085162]}",-73.9343912774582,181051.577907309,EMPIRE BOULEVARD,SCHENECTADY AVENUE
"{'type': 'Point', 'coordinates': [-73.96548618202627, 40.597833093528585]}",-73.9654861820263,157085.00904265,AVENUE U,OCEAN PARKWAY
"{'type': 'Point', 'coordinates': [-73.95726076322079, 40.608365347800614]}",-73.9572607632208,160923.187061816,EAST 16 STREET,QUENTIN ROAD
"{'type': 'Point', 'coordinates': [-73.98700001480103, 40.6877731158012]}",-73.987000014801,189850.992395058,HOYT STREET,ATLANTIC AVENUE
"{'type': 'Point', 'coordinates': [-73.83176401073408, 40.70614167759342]}",-73.8317640107341,196587.727281138,METROPOLITAN AVENUE,LEFFERTS BOULEVARD
"{'type': 'Point', 'coordinates': [-73.87793030973965, 40.756339009919785]}",-73.8779303097397,214854.957150817,NORTHERN BOULEVARD,90 STREET
"{'type': 'Point', 'coordinates': [-74.12005266701026, 40.56039320671753]}",-74.1200526670103,143465.696386307,GUYON AVENUE,HYLAN BOULEVARD
"{'type': 'Point', 'coordinates': [-73.98630429192393, 40.669172665528826]}",-73.9863042919239,183074.34289065,5 AVENUE,9 STREET
