the_geom,x
"{'type': 'Point', 'coordinates': [-73.9059722144709, 40.640238248524064]}",1010345.46846631
"{'type': 'Point', 'coordinates': [-73.95503698224245, 40.61855780386674]}",996732.612489969
"{'type': 'Point', 'coordinates': [-73.87793030973965, 40.756339009919785]}",1018068.97007963
"{'type': 'Point', 'coordinates': [-73.94020105068974, 40.591684006194875]}",1000858.04026271
"{'type': 'Point', 'coordinates': [-73.97534263623236, 40.741274679778954]}",991082.781269968
"{'type': 'Point', 'coordinates': [-73.78672157007964, 40.70789319423617]}",1043380.95948181
"{'type': 'Point', 'coordinates': [-73.90906438785107, 40.8631547994838]}",1009402.98905206
"{'type': 'Point', 'coordinates': [-74.06375933387355, 40.59893485965744]}",966543.959940881
"{'type': 'Point', 'coordinates': [-73.92275882257094, 40.81738828468833]}",1005629.78268772
"{'type': 'Point', 'coordinates': [-73.94438746517662, 40.714531601250336]}",999666.927487478
"{'type': 'Point', 'coordinates': [-73.78301554725077, 40.68427745049188]}",1044429.75626872
"{'type': 'Point', 'coordinates': [-73.925043426772, 40.844422190435814]}",1004988.99328689
"{'type': 'Point', 'coordinates': [-73.81331347281719, 40.78749308774894]}",1035946.62067597
"{'type': 'Point', 'coordinates': [-73.87838855849547, 40.67973905352136]}",1017980.7583138
"{'type': 'Point', 'coordinates': [-73.86836897894268, 40.86540798326886]}",1020658.18734214
"{'type': 'Point', 'coordinates': [-73.97584815804743, 40.693360818160514]}",990947.509558886
"{'type': 'Point', 'coordinates': [-73.75848075015114, 40.761994736675454]}",1051156.29793373
"{'type': 'Point', 'coordinates': [-73.78808647304882, 40.67300962589478]}",1043033.28957348
"{'type': 'Point', 'coordinates': [-74.00882481889079, 40.63964463035867]}",981800.83165805
"{'type': 'Point', 'coordinates': [-73.99683993951976, 40.737360888522936]}",985125.733144715
"{'type': 'Point', 'coordinates': [-73.91770299154472, 40.83451500780073]}",1007023.33633105
"{'type': 'Point', 'coordinates': [-73.94191717555391, 40.82283749912975]}",1000325.57774498
"{'type': 'Point', 'coordinates': [-73.97916718418995, 40.69348832297794]}",990027.104575559
"{'type': 'Point', 'coordinates': [-73.89722570345026, 40.67720764928895]}",1012757.07814439
"{'type': 'Point', 'coordinates': [-74.1008025311631, 40.61011003571477]}",956261.710492298
"{'type': 'Point', 'coordinates': [-73.90106540829424, 40.86828390382525]}",1011613.41278081
"{'type': 'Point', 'coordinates': [-74.16050268639435, 40.62652962648199]}",939696.661929548
"{'type': 'Point', 'coordinates': [-73.98636141742998, 40.740184799904874]}",988029.437967226
"{'type': 'Point', 'coordinates': [-73.93038144323519, 40.65173405417281]}",1003567.86456747
"{'type': 'Point', 'coordinates': [-73.98314654910043, 40.738831812314494]}",988920.416828305
"{'type': 'Point', 'coordinates': [-73.92873773232064, 40.704716950288734]}",1004008.26034021
"{'type': 'Point', 'coordinates': [-73.99961512323925, 40.57498420736114]}",984356.91906555
"{'type': 'Point', 'coordinates': [-73.83176401073408, 40.70614167759342]}",1030894.28826097
"{'type': 'Point', 'coordinates': [-73.90852358974414, 40.661014489922096]}",1009629.48269355
"{'type': 'Point', 'coordinates': [-74.08587511875717, 40.59589012095557]}",960401.295388967
"{'type': 'Point', 'coordinates': [-73.96608191393541, 40.629542706964145]}",993664.774137467
"{'type': 'Point', 'coordinates': [-73.98628574001626, 40.72224191973177]}",988051.432673886
"{'type': 'Point', 'coordinates': [-73.94967567469236, 40.67845668101133]}",998208.478960797
"{'type': 'Point', 'coordinates': [-73.91594008773868, 40.8395519738548]}",1007509.40819356
"{'type': 'Point', 'coordinates': [-73.85216495797137, 40.69366135873524]}",1025245.70080489
"{'type': 'Point', 'coordinates': [-73.89554341858889, 40.67062578731827]}",1013226.56211355
"{'type': 'Point', 'coordinates': [-74.10231607286028, 40.577944245870455]}",955827.780913964
"{'type': 'Point', 'coordinates': [-73.96100797113614, 40.65008260257056]}",995069.836944133
"{'type': 'Point', 'coordinates': [-73.90066994158308, 40.64365991397081]}",1011815.59052606
"{'type': 'Point', 'coordinates': [-73.95639327414828, 40.62572997146799]}",996354.778599977
"{'type': 'Point', 'coordinates': [-73.95566601542264, 40.68113695998235]}",996546.441602468
"{'type': 'Point', 'coordinates': [-73.96060180691747, 40.76974918678575]}",995162.933870807
"{'type': 'Point', 'coordinates': [-73.99072636359239, 40.75595040547798]}",986819.243537217
"{'type': 'Point', 'coordinates': [-73.90649600996335, 40.87687722741354]}",1010108.07097521
"{'type': 'Point', 'coordinates': [-73.96480079543775, 40.75998213888337]}",994001.282978892
"{'type': 'Point', 'coordinates': [-73.97905849562405, 40.74444355177825]}",990052.806623891
"{'type': 'Point', 'coordinates': [-73.92524218539234, 40.861362999475816]}",1004928.7332368
"{'type': 'Point', 'coordinates': [-74.16360268281991, 40.59337419884143]}",938813.586267889
"{'type': 'Point', 'coordinates': [-73.84557711149188, 40.710413005308766]}",1027061.79625405
"{'type': 'Point', 'coordinates': [-73.79677023218083, 40.70051303076214]}",1040601.23407014
"{'type': 'Point', 'coordinates': [-73.75323817251022, 40.68011688578239]}",1052692.6396773
"{'type': 'Point', 'coordinates': [-73.97210897593583, 40.74320549087532]}",991978.634137049
"{'type': 'Point', 'coordinates': [-73.79284848997769, 40.704423861002745]}",1041685.27717763
"{'type': 'Point', 'coordinates': [-73.87766946511634, 40.73675259979183]}",1018151.20154247
"{'type': 'Point', 'coordinates': [-73.92378848615257, 40.76122608607659]}",1005362.58177856
"{'type': 'Point', 'coordinates': [-73.9438427568398, 40.82364780072588]}",999792.445609137
"{'type': 'Point', 'coordinates': [-73.92834967207139, 40.668647193886784]}",1004126.60327938
"{'type': 'Point', 'coordinates': [-74.00955708423369, 40.635492963273485]}",981597.439676389
"{'type': 'Point', 'coordinates': [-73.93439127745825, 40.66360273085162]}",1002451.97112997
"{'type': 'Point', 'coordinates': [-73.95726076322079, 40.608365347800614]}",996117.059259132
"{'type': 'Point', 'coordinates': [-73.91770217257069, 40.770393111022216]}",1007045.51148355
"{'type': 'Point', 'coordinates': [-73.91846133258991, 40.825576923732754]}",1006816.51850322
"{'type': 'Point', 'coordinates': [-73.89050129262995, 40.746941938904]}",1014590.50590797
"{'type': 'Point', 'coordinates': [-73.99280340951111, 40.7429100197962]}",986244.192193881
"{'type': 'Point', 'coordinates': [-73.96529307520983, 40.7593078371801]}",993865.003395811
"{'type': 'Point', 'coordinates': [-73.93791705652221, 40.75870660499185]}",1001449.24971022
"{'type': 'Point', 'coordinates': [-73.88309335650695, 40.82790425341862]}",1016603.76959798
