the_geom,street,postvz_sl,postvz_sg,shape_leng
"{'type': 'MultiLineString', 'coordinates': [[[-74.13898203739464, 40.633638222861585], [-74.13942853883408, 40.63303708927237]]]}",TREADWELL AVENUE,25,NO,251.641927848
"{'type': 'MultiLineString', 'coordinates': [[[-73.99465517072224, 40.680548481655286], [-73.99489097861152, 40.68020808895609]]]}",SMITH STREET,25,NO,140.204871889
"{'type': 'MultiLineString', 'coordinates': [[[-74.15876077234157, 40.63682920166241], [-74.15883859924278, 40.63585974614364]]]}",COONLEY COURT,25,NO,353.858701952
"{'type': 'MultiLineString', 'coordinates': [[[-74.13948035632636, 40.551077727535805], [-74.14150038305235, 40.54959725564726]]]}",DURANT AVENUE,25,NO,778.498637593
"{'type': 'MultiLineString', 'coordinates': [[[-74.08914072742982, 40.64276004634251], [-74.08907660061534, 40.642725052346734], [-74.08901543725314, 40.6426871050214], [-74.08895746806962, 40.64264635007678], [-74.0889029190737, 40.64260294313263], [-74.08885199619066, 40.642557051531206], [-74.08880489589465, 40.64250884892563], [-74.08876179694066, 40.642458520689516], [-74.08872286508834, 40.6424062603109], [-74.08868824836901, 40.642352265793924], [-74.08865808063779, 40.64229674415867], [-74.08863247565962, 40.64223990874377], [-74.08861153183442, 40.642181976501476], [-74.08859532983286, 40.642123167999216], [-74.08858393141816, 40.64206371012221]]]}",HIGHVIEW AVENUE,20,NO,306.488908783
"{'type': 'MultiLineString', 'coordinates': [[[-74.14607230448055, 40.55464976763157], [-74.14699549588681, 40.55441341701054]]]}",KATAN AVENUE,25,YES,270.607346142
"{'type': 'MultiLineString', 'coordinates': [[[-74.12568859549117, 40.57416066223265], [-74.1259354105369, 40.57307148557765]]]}",EBONY STREET,25,NO,402.694349163
"{'type': 'MultiLineString', 'coordinates': [[[-74.20951855979499, 40.55161179356727], [-74.20920589011216, 40.55086093532965]]]}",ALVERSON AVENUE,25,NO,287.023896342
"{'type': 'MultiLineString', 'coordinates': [[[-74.02117844210962, 40.62126609516201], [-74.0203044898338, 40.620713485514564]]]}",83 STREET,25,NO,315.27303312
"{'type': 'MultiLineString', 'coordinates': [[[-74.13771837569381, 40.60087025356797], [-74.13775329224993, 40.60015026942567]]]}",FIELDS AVENUE,25,NO,262.487826685
"{'type': 'MultiLineString', 'coordinates': [[[-74.1683685588423, 40.55413981258913], [-74.16820697467196, 40.55344012230502]]]}",RICHMOND AVENUE,30,YES,258.838540196
"{'type': 'MultiLineString', 'coordinates': [[[-74.17834865518573, 40.557421777797934], [-74.17807560382242, 40.55609354762633]]]}",FORRESTAL AVENUE,25,NO,489.81866352
"{'type': 'MultiLineString', 'coordinates': [[[-73.99717240227051, 40.6122231194633], [-73.99774038675778, 40.61165793791174]]]}",18 AVENUE,25,YES,259.360995444
"{'type': 'MultiLineString', 'coordinates': [[[-74.17311265792115, 40.544231638762156], [-74.17344392263901, 40.5436372853168]]]}",POMPEY AVENUE,25,YES,235.297475421
