bin,nta,site_status,:@computed_region_92fq_4b7q,street_number
4069253.0,Middle Village,A,34.0,79-15
2006680.0,Hunts Point,A,43.0,1290
1027059.0,Clinton,A,19.0,530
4435291.0,South Jamaica,A,6.0,112-04
1085568.0,Battery Park City-Lower Manhattan,A,32.0,201
3026581.0,Park Slope-Gowanus,A,27.0,361
3112994.0,East Flatbush-Farragut,A,26.0,1281
1020080.0,Murray Hill-Kips Bay,A,50.0,210
3029665.0,park-cemetery-etc-Brooklyn,A,,10
3089176.0,East New York,A,37.0,400
1082489.0,Chinatown,A,32.0,100
1085803.0,Hudson Yards-Chelsea-Flatiron-Union Square,A,10.0,650
4072457.0,Rego Park,A,28.0,93-06
4529511.0,Laurelton,A,47.0,233-15
1004325.0,Chinatown,A,32.0,166
4231038.0,Queens Village,A,,99-15
4200233.0,Richmond Hill,A,46.0,131-10
3050417.0,Bedford,A,49.0,550
1009373.0,West Village,A,50.0,55
4435561.0,Ridgewood,A,30.0,17-15
5133958.0,Grasmere-Arrochar-Ft. Wadsworth,A,14.0,85
1009872.0,West Village,A,10.0,490
4117775.0,East Flushing,A,3.0,46-02
4541381.0,Woodhaven,A,,90-07
2053518.0,Allerton-Pelham Gardens,A,12.0,2545
3337372.0,Flatlands,A,26.0,1501
2084125.0,Spuyten Duyvil-Kingsbridge,A,40.0,3260
1052433.0,East Harlem South,A,35.0,240
3099537.0,Brownsville,A,17.0,1100
2048831.0,Pelham Parkway,A,,800
3071806.0,Bushwick South,A,30.0,18
5037524.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,A,9.0,33
4168629.0,Douglas Manor-Douglaston-Little Neck,A,20.0,40-20
3195175.0,Gravesend,A,45.0,350
1078931.0,East Harlem South,A,35.0,120
3063188.0,North Side-South Side,A,30.0,325
4203685.0,South Ozone Park,A,46.0,103-34
4116436.0,Flushing,A,3.0,46-21
2007387.0,Mount Hope,A,22.0,1691
1050057.0,Yorkville,A,,316
3034356.0,Crown Heights South,A,48.0,46
1008241.0,West Village,A,32.0,505
3177680.0,Bensonhurst East,A,45.0,1855
2013849.0,Fordham South,A,29.0,125
2005348.0,Longwood,A,43.0,888
5015603.0,Grymes Hill-Clifton-Fox Hills,A,13.0,60
5001150.0,West New Brighton-New Brighton-St. George,A,13.0,55
4437311.0,Corona,A,21.0,107-01
3123973.0,Windsor Terrace,A,27.0,3002
3397079.0,East New York,A,37.0,265
2063714.0,Williamsbridge-Olinville,A,2.0,732
2003051.0,Highbridge,A,35.0,1020
4247454.0,Lindenwood-Howard Beach,A,41.0,153-23
3399146.0,Crown Heights North,A,48.0,1055
3076116.0,Bushwick South,A,37.0,195
2062368.0,Eastchester-Edenwald-Baychester,A,2.0,2950
2010916.0,Crotona Park East,A,43.0,1001
3398498.0,Bay Ridge,A,,9941
3082391.0,Brownsville,A,25.0,273
3195077.0,Gravesend,A,,300
3031082.0,Crown Heights North,A,49.0,196
5158758.0,Charleston-Richmond Valley-Tottenville,A,,644
,,A,,2177
4590254.0,Kew Gardens,A,,127-15
1064704.0,Marble Hill-Inwood,A,,421
3050974.0,Bedford,A,,495
2087387.0,Woodlawn-Wakefield,A,2.0,4300
4114657.0,Flushing,A,3.0,142-30
3218626.0,Flatlands,A,8.0,5101
1082849.0,Stuyvesant Town-Cooper Village,A,51.0,283
3398683.0,Bushwick South,A,37.0,22
2010892.0,East Tremont,A,43.0,1000
4005184.0,Hunters Point-Sunnyside-West Maspeth,A,33.0,21-16
3128909.0,Borough Park,A,18.0,4715
3143190.0,Dyker Heights,A,44.0,1225
2087014.0,Soundview-Bruckner,A,31.0,1025
4245993.0,Ozone Park,A,41.0,138-30
3022144.0,Park Slope-Gowanus,A,27.0,431
4180083.0,Glen Oaks-Floral Park-New Hyde Park,A,16.0,85-15
5113169.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,A,14.0,715
2021482.0,Soundview-Castle Hill-Clason Point-Harding Park,A,31.0,560
4181565.0,Woodhaven,A,41.0,85-52
1030512.0,Lincoln Square,A,19.0,241
1084117.0,Morningside Heights,A,23.0,3150
3326733.0,Canarsie,A,8.0,1070
5043519.0,Grymes Hill-Clifton-Fox Hills,A,13.0,140
1089385.0,Turtle Bay-East Midtown,A,,425
2087033.0,Westchester-Unionport,A,31.0,2158
4543408.0,Woodside,A,,39-07
4117390.0,East Flushing,A,3.0,45-25
3090219.0,East New York,A,25.0,605
4240503.0,Queens Village,A,6.0,104-12
4206905.0,Briarwood-Jamaica Hills,A,24.0,88-02
1051434.0,Central Harlem South,A,36.0,41
2010604.0,Crotona Park East,A,,1716
1064066.0,Washington Heights North,A,39.0,11
1076751.0,Washington Heights North,A,,549
3035751.0,Crown Heights North,A,17.0,447
2096968.0,Van Nest-Morris Park-Westchester Square,A,12.0,1500
3076595.0,Bushwick South,A,30.0,422
2003834.0,Mott Haven-Port Morris,A,35.0,677
3104513.0,Rugby-Remsen Village,A,26.0,5404
3028281.0,Crown Heights North,A,48.0,443
2051313.0,Bronxdale,A,12.0,2441
3148662.0,Bay Ridge,A,44.0,7502
3041566.0,Ocean Hill,A,37.0,305
3246958.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,A,15.0,1401
2002869.0,West Concourse,A,35.0,851
3101840.0,Rugby-Remsen Village,A,17.0,1064
3257105.0,West Brighton,A,45.0,2770
5070651.0,Great Kills,A,9.0,232
1078830.0,Murray Hill-Kips Bay,A,50.0,319
1076741.0,Washington Heights South,A,,21
3336215.0,Erasmus,A,11.0,911
4250416.0,South Ozone Park,A,46.0,111-11
4437166.0,Elmhurst,A,5.0,45-10
3000256.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,A,38.0,209
1084093.0,Morningside Heights,A,23.0,1295
3220323.0,Flatlands,A,8.0,5601
1014236.0,Midtown-Midtown South,A,10.0,298
3085491.0,East New York (Pennsylvania Ave),A,25.0,590
1077559.0,East Village,A,50.0,175
4052713.0,Forest Hills,A,28.0,71-25
5155401.0,Charleston-Richmond Valley-Tottenville,A,9.0,15
2058396.0,Williamsbridge-Olinville,A,2.0,3710
1013858.0,Hudson Yards-Chelsea-Flatiron-Union Square,A,10.0,250
4263341.0,South Jamaica,A,46.0,109-20
1083357.0,Chinatown,A,,80
,,A,42.0,1425.
2051571.0,Bronxdale,A,12.0,980
5001762.0,West New Brighton-New Brighton-St. George,A,13.0,125
5053571.0,New Dorp-Midland Beach,A,14.0,333
1044929.0,Lenox Hill-Roosevelt Island,A,1.0,337
1006580.0,East Village,A,50.0,200
4448968.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,A,41.0,9
2096696.0,Parkchester,A,31.0,18
3141046.0,Borough Park,A,,5910
4448875.0,St. Albans,A,6.0,172-17
1058248.0,Central Harlem North-Polo Grounds,A,36.0,175
