spc2,spc6,class,wt1
,,2,1940
,,2,2520
,,2,2340
,,2,2480
,,2,2180
,,2,7440
,,2,1660
,,2,1100
,,3,2740
4.3,,9,12300
,,2,1080
,,3,2720
,,2,2560
,,2,2620
,,2,2760
,,2,2300
,,2,1580
,,2,3080
,,2,1840
,,3,3180
,,2,1260
,,3,3480
,,2,2100
,,2,2640
,,3,3240
,,5,3700
4.3,,9,11640
,,5,3440
,,2,2360
,,2,2360
,,2,1820
,,2,2840
4.3,,9,9360
,,2,1920
,,2,2320
,,2,2220
,,5,5300
,,2,2120
,,2,2260
,,2,2580
,,2,2020
,,2,1400
,,3,3720
,,3,3460
37.0,,8,9000
,,2,2100
,,2,2400
,,2,940
,,2,2740
,,2,2620
,,2,2540
,,5,5600
,,2,2840
,,2,2400
,,3,3620
,,3,2640
4.0,,4,7640
,,2,2280
,,2,2040
,,5,2180
,,2,2240
,,2,2500
,,5,8820
,,2,1880
,,2,2020
,,2,820
,,2,2320
,,2,2260
,,2,1420
,,3,2380
,,3,3160
4.5,4.4,10,11200
,,2,2780
,,2,1160
,,5,8060
4.6,,6,13900
,,3,3840
,,3,2580
4.4,,9,11320
,,2,2640
,,2,1840
,,2,2180
,,2,2620
,,2,2780
,,2,1180
,,5,8780
,,2,1780
,,2,2700
,,2,2380
4.3,,9,10840
,,2,2700
,,2,2300
,,2,2580
,,3,3840
,,5,6320
,,2,2320
,,2,2520
,,2,1280
,,2,2540
,,2,2500
,,2,2440
,,2,2620
,,2,2880
,,2,2860
,,2,2280
,,2,780
,,2,2660
,,2,2760
,,2,1820
,,2,2180
,,2,2580
,,5,6080
,,2,2180
,,2,2500
,,2,2380
,,2,2700
,,2,2180
,,2,2260
,,2,2740
,,2,1800
,,2,2780
,,2,2380
,,2,2340
,,5,3980
,,2,2140
,,2,2840
,,2,2200
,,2,2140
,,2,1360
,,3,3420
,,3,2380
,,2,2840
,,2,2580
,,2,2800
,,2,2780
,,2,1960
,,2,2300
,,2,2700
,,2,2860
,,2,2360
,,3,3600
,,2,3100
,,2,2680
,,2,1520
,,2,2500
,,5,7600
,,3,3360
,,3,3380
,,2,3240
,,3,3420
,,2,2100
,,2,2040
,,2,2280
,,2,2120
,,5,7560
,,2,2660
,,2,1960
,,2,2680
,,2,3140
,,2,1900
,,2,2600
,,2,2240
,,3,2900
,,2,2260
4.5,,6,14000
,,3,2940
,,3,3280
,,2,2120
,,2,2060
,,2,2040
,,2,2180
,,2,2420
,,2,1980
,,2,3300
,,2,3000
,,2,1980
,,2,3080
,,2,2040
,,2,2260
,,5,4620
,,3,3500
,,5,8740
,,2,2280
,,5,8700
,,2,2600
,,5,4400
,,2,1740
,,2,2780
,,2,1460
,,2,3100
,,2,1880
,,2,2060
,,2,2460
,,2,2400
,,3,3960
,,3,3460
,,2,1980
,,3,1320
,,3,1380
,,2,2240
