second,wt2,wt3
22,1400,
43,2620,
3,1700,
59,1780,
36,1640,
32,7360,
4,1120,
28,980,
10,2940,
26,11400,11240.0
30,1060,
49,2560,
25,2000,
30,2760,
23,2620,
27,1980,
44,1460,
3,2260,
18,1220,
3,2360,
7,800,
9,2520,
18,1620,
16,2060,
47,2820,
40,6900,
59,14480,14320.0
30,5000,
49,1560,
43,1980,
45,1120,
3,2300,
50,15840,15880.0
14,1300,
13,1840,
47,1560,
26,8480,
43,1400,
29,1780,
56,2680,
38,1540,
29,1260,
30,4000,
0,2360,
23,13000,7600.0
58,1300,
4,2060,
15,640,
25,2100,
4,2140,
39,2280,
7,10160,
6,2320,
55,1700,
1,3500,
58,2680,
33,7240,6180.0
23,1620,
10,1420,
56,1460,
30,1460,
14,2040,
46,11260,
47,1160,
34,2020,
41,400,
13,1880,
52,1920,
49,1340,
6,1500,
41,2940,
20,22740,21800.0
5,2940,
59,1120,
59,7400,
28,7820,9320.0
42,3740,
1,1820,
46,11320,10980.0
2,2120,
22,1460,
54,1360,
43,2300,
37,2140,
12,880,
1,11380,
41,1220,
16,2180,
52,2040,
50,9380,9280.0
39,1960,
44,1760,
13,1920,
9,2940,
51,11120,
45,2360,
54,2140,
45,900,
14,1900,
36,1880,
15,1860,
8,2020,
43,3040,
41,2620,
43,1320,
17,560,
13,1960,
28,2380,
18,1460,
1,2000,
44,2720,
39,5440,
45,1600,
7,2260,
47,2280,
18,2240,
57,1720,
43,2200,
32,2840,
9,1980,
57,2280,
54,2500,
36,2180,
5,6860,
21,2200,
0,2680,
3,1580,
32,1620,
23,1180,
39,4340,
34,1580,
49,2920,
11,1760,
2,2140,
41,2400,
22,1780,
46,1860,
21,2180,
41,2360,
51,2060,
42,3460,
21,2980,
9,2040,
55,1140,
2,1920,
35,17880,
17,3260,
45,3440,
38,2800,
23,2840,
39,1420,
39,1540,
44,1700,
40,2000,
52,12400,
25,2180,
32,1620,
19,2460,
24,2700,
7,1280,
36,2200,
23,1520,
59,2320,
9,1660,
15,17220,16640.0
45,2700,
19,2540,
56,1480,
12,1580,
50,1360,
18,1640,
12,1900,
15,1500,
8,3260,
43,2520,
6,2060,
18,2680,
45,1580,
37,1440,
4,6480,
17,2580,
16,10460,
31,1540,
54,11400,
35,2020,
37,5760,
41,1160,
48,2420,
42,920,
15,2740,
49,1560,
9,1540,
22,2120,
41,1840,
5,3780,
47,2360,
56,1700,
48,2240,
46,1220,
44,2280,
