bin,created,market,application_type,boro
2088215.0,2025-12-24T15:30:10.000,Hunts Point New Fulton Fish Market,Public Wholesale Market,BRONX
1012577.0,2025-12-24T15:30:10.000,Hunts Point New Fulton Fish Market,Public Wholesale Market,MANHATTAN
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Market Business,
2004170.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
2109483.0,2025-12-24T15:30:10.000,Hunts Point Meat Market,Public Wholesale Market,BRONX
2088214.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Wholesale Seafood,BRONX
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Market Business,
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Market Business,
2109483.0,2025-12-24T15:30:10.000,Hunts Point Meat Market,Public Wholesale Market,BRONX
2097249.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
,2025-12-24T15:30:10.000,Hunts Point Meat Market,Public Wholesale Market,
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
2109490.0,2025-12-24T15:30:10.000,Hunts Point Produce Market,Market Business,BRONX
2109483.0,2025-12-24T15:30:10.000,Hunts Point Meat Market,Public Wholesale Market,BRONX
,2025-12-24T15:30:10.000,Hunts Point New Fulton Fish Market,Wholesale Seafood,
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
1083736.0,2025-12-24T15:30:10.000,Hunts Point New Fulton Fish Market,Wholesale Seafood Delivery,MANHATTAN
2109483.0,2025-12-24T15:30:10.000,Hunts Point Meat Market,Public Wholesale Market,BRONX
2006785.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
2117590.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
2007012.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
2006485.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
