hotspot_dataset_object_id,number_of_access_points_per
1638,2
1373,5
141,7
175,7
1627,6
1388,3
1357,6
1189,16
1751,8
890,7
1184,16
1368,5
1411,16
1414,16
142,7
1420,16
137,7
1610,3
732,6
1625,6
1758,2
144,7
828,5
1402,6
1621,2
1612,3
1191,16
1776,5
1190,16
145,16
904,16
1768,1
1775,5
460,7
1386,3
1740,4
1408,16
1626,6
1365,5
1355,6
143,7
1403,6
1237,9
813,3
53,4
1747,8
1193,3
1421,16
1233,3
1646,1
905,16
1605,2
907,16
1764,6
1757,6
1187,16
1229,3
1752,8
1779,1
1619,2
825,5
459,7
826,5
1377,5
934,6
1238,9
936,6
177,3
1329,2
1356,6
1417,16
129,6
1401,6
1186,16
938,6
1623,6
2119,6
1330,2
805,4
1774,5
1185,16
1354,6
831,4
931,2
131,6
1376,5
745,6
1198,3
721,3
897,1
806,4
969,3
1649,3
1192,3
1422,16
810,3
1591,16
827,5
461,4
1387,3
1194,3
1367,5
140,7
1243,9
1232,3
1641,3
174,7
727,6
1416,16
2106,16
971,6
982,1
743,6
943,4
1765,6
2103,8
1345,8
1346,8
1413,16
1409,16
1754,6
178,3
1405,6
1642,3
2109,6
1359,6
1645,2
1767,6
1748,1
807,4
963,1
933,6
1766,6
21,1
970,1
930,1
976,3
1400,6
1604,2
136,1
1366,5
736,6
135,1
1760,6
54,4
735,6
728,6
1739,4
138,6
891,7
1763,6
830,4
148,1
139,6
1236,9
747,6
1755,6
1410,16
746,6
944,4
1750,8
1374,5
1777,5
1634,6
909,16
1756,6
1183,16
829,5
811,3
1759,2
1624,6
908,16
133,6
130,6
1199,3
731,6
1404,6
1620,2
937,6
1609,3
1360,1
1412,16
1364,5
1188,16
1358,6
179,3
1778,5
1613,1
1361,1
458,7
722,6
935,6
815,1
1781,7
1415,16
2123,16
1375,5
977,3
906,16
1753,8
