bble,bbl,building_name,street_address,coax_cable_connections,riser_space_for_additional_providers
1012880007,1-1288-7,10 East 53rd Street,5 EAST 52 STREET,Yes,Yes
1012800060,1-1280-60,420 Lexington Avenue,420 LEXINGTON AVENUE,Yes,No
1012950040,1-1295-40,630 3rd Avenue,630 3 AVENUE,Yes,Yes
1000627501,1-62-7501,One Liberty Plaza,1 LIBERTY PLAZA,Yes,Yes
1012700071,1-1270-71,1350 Avenue of the Americas,1350 AVENUE OF THE AMERIC,Yes,Yes
1010140033,1-1014-33,3 Times Square,3 TIMES SQUARE,Yes,Yes
1008820085,1-882-85,381 Park Avenue South,381 PARK AVENUE SOUTH,Yes,Yes
1013290001,1-1329-1,919 3rd Avenue,919 3 AVENUE,Yes,Yes
1000250001,1/25/2001,55 Broad Street,55 BROAD STREET,Yes,Yes
1013070014,1-1307-14,600 Lexington Avenue,600 LEXINGTON AVENUE,Yes,Yes
1008820003,1-882-3,373 Park Avenue South,369 PARK AVENUE SOUTH,Yes,Yes
1009990029,1-999-29,1185 Avenue of the Americas,1185 AVENUE OF THE AMERIC,Yes,Yes
1010160036,1-1016-36,1515 Broadway,1515 BROADWAY,Yes,Yes
1010860001,1-1086-1,555 West 57th Street,555 WEST 57 STREET,Yes,Yes
1012950058,1-1295-58,370 Lexington Avenue,370 LEXINGTON AVENUE,Yes,Yes
1000160125,1-16-125,225 Liberty Street,225 LIBERTY STREET,Yes,Yes
1000160150,1-16-150,250 Vesey Street,250 VESEY PLACE,Yes,Yes
1008177502,1-817-7502,100-104 Fifth Avenue,100 5 AVENUE,Yes,Yes
1012760058_1,1-1276-58,300 Madison Avenue,300 MADISON AVENUE,Yes,Yes
1010240038,1-1024-38,810 7th Avenue,1680 BROADWAY,Yes,Yes
1010150029,1-1015-29,Paramount Building,1501 BROADWAY,Yes,Yes
1012810069,1-1281-69,555 5th Avenue,553 5 AVENUE,Yes,Yes
1013010001_2,1-1301-1,245 Park Avenue,245 PARK AVENUE,Yes,Yes
1012960001,1-1296-1,125 Park Avenue,100 EAST 42 STREET,Yes,Yes
1008620029,1-862-29,2 Park Avenue ,2 PARK AVENUE,Yes,Yes
1012961001,1-1296-1001,110 East 42nd Street,110 EAST 42 STREET,Yes,Yes
1010240015,1-1024-15,1675 Broadway,1675 BROADWAY,Yes,Yes
1008730067,1-873-67,215 Park Avenue South,215 PARK AVENUE SOUTH,Yes,No
1000460001,1-46-1,2 Wall Street,2 WALL STREET,Yes,Yes
1013150024,1-1315-24,220 East 42nd Street,220 EAST 42 STREET,Yes,No
1001920001,1-192-1,32 Avenue of the Americas,16 WALKER STREET,Yes,Yes
1012681102,1-1268-1102,666 Fifth Avenue,666 5 AVENUE,Yes,Yes
1005107502,1-510-7502,Puck Building,295 Lafayette Street,Yes,Yes
1012580009_1,1-1258-9,Grace Building,1114 AVENUE OF THE AMERIC,Yes,Yes
1008510041,1-851-41,304 Park Avenue South,304 PARK AVENUE SOUTH,Yes,Yes
1008490070,1-849-70,915 Broadway,915 BROADWAY,Yes,Yes
1007620025_1,1-762-25,307 West 38th Street,307 WEST 38 STREET,Yes,Yes
1000370023,1-37-23,180 Maiden Lane,180 MAIDEN LANE,Yes,Yes
1000160120,1-16-120,200 Liberty Street,200 LIBERTY STREET,Yes,Yes
1010400029,1-1040-29,Worldwide Plaza,825 8 AVENUE,Yes,Yes
1012940046,1-1294-46,625 Madison Avenue,613 MADISON AVENUE,Yes,Yes
1008550037,1-855-37,41 Madison Avenue,35 MADISON AVENUE,Yes,Yes
1008570024_1,1-857-24,63 Madison Avenue,63 MADISON AVENUE,Yes,Yes
1009970041,1-997-41,120 West 45th Street,120 WEST 45 STREET,Yes,Yes
1010350017,1-1035-17,The Plant,321 WEST 44 STREET,Yes,Yes
1000041010,1-4-1010,One New York Plaza,1 WATER STREET,Yes,Yes
1013010023,1-1301-23,485 Lexington Avenue,485 LEXINGTON AVENUE,Yes,Yes
1001250020,1-125-20,100 Church Street,100 CHURCH STREET,Yes,Yes
1000430001,1-43-1,44 Wall Street,44 WALL STREET,Yes,Yes
1008090053,1-809-53,112 West 34th Street,112 West 34th Street,Yes,Yes
1013010033,1-1301-33,750 3rd Avenue,750 3 AVENUE,Yes,Yes
