were_accepted_and_enrolled,enrolled_in_financial,applied_for_the_program
87,0,87
<5,0,<5
0,0,0
110,0,110
422,0,422
350,0,350
433,0,433
324,0,324
113,0,113
<5,0,<5
0,0,0
152,0,152
789,0,789
"13,771",0,"13,771"
384,0,384
0,0,0
144,0,144
0,0,0
< 5,0,< 5
0,0,0
13,0,13
69,0,69
120,0,120
10,0,10
773,0,773
56,0,56
73,0,73
9,0,9
195,0,195
0,0,0
122,0,122
< 5,0,< 5
799,0,799
<5,0,<5
143,0,143
0,0,0
161,0,161
11,0,11
11,0,11
0,0,0
877,0,877
130,0,130
<5,0,<5
190,0,190
34,0,34
401,0,401
0,0,0
0,0,0
0,0,0
253,0,253
154,0,154
< 5,0,< 5
118,0,118
118,0,118
586,0,586
422,0,422
300,0,300
396,0,396
177,0,177
355,0,355
0,0,0
1163,0,1163
145,0,145
70,0,70
0,0,0
0,0,0
110,0,110
460,0,460
597,0,597
161,0,161
< 5,0,< 5
0,0,0
589,0,589
38,0,38
465,0,465
0,0,0
1274,0,1274
158,0,158
< 5,0,< 5
116,0,116
210,0,210
120,0,120
249,0,249
370,0,370
195,0,195
18,0,18
238,0,238
< 5,0,< 5
<5,0,<5
424,0,424
11145,0,11145
233,0,233
1002,0,1002
315,0,315
488,0,488
187,0,187
"1,022",0,"1,022"
117,0,117
0,0,0
175,0,175
0,0,0
< 5,0,< 5
244,0,244
402,0,402
760,0,760
768,0,768
317,0,317
48,0,48
370,0,370
91,0,91
< 5,0,< 5
400,0,400
15,0,15
465,0,465
461,0,461
145,0,145
140,0,140
803,0,803
<5,0,<5
107,0,107
< 5,0,< 5
208,0,208
0,0,0
0,0,0
< 5,0,< 5
767,0,767
< 5,0,< 5
87,0,87
363,0,363
172,0,172
133,0,133
119,0,119
129,0,129
147,0,147
456,0,456
287,0,287
73,0,73
259,0,259
116,0,116
0,0,0
65,0,65
595,0,595
71,0,71
21,0,21
0,0,0
166,0,166
159,0,159
371,0,371
641,0,641
661,0,661
0,0,0
194,0,194
352,0,352
174,0,174
< 5,0,< 5
5,0,5
33,0,33
103,0,103
10,0,10
666,0,666
< 5,0,< 5
588,0,588
116,0,116
6,0,6
692,0,692
473,0,473
0,0,0
442,0,442
117,0,117
"1,700",0,"1,700"
394,0,394
158,0,158
110,0,110
449,0,449
"1,492",0,"1,492"
88,0,88
548,0,548
0,0,0
634,0,634
496,0,496
87,0,87
< 5,0,< 5
144,0,144
< 5,0,< 5
0,0,0
849,0,849
897,0,897
343,0,343
87,0,87
86,0,86
<5,0,<5
225,0,225
188,0,188
504,0,504
536,0,536
384,0,384
12,0,12
0,0,0
0,0,0
293,0,293
