enrolled_in_vocational,were_placed_into_full_time
<5,17
0,0
0,0
< 5,5
6,47
0,51
5,44
0,35
< 5,17
0,<5
0,0
< 5,18
10,111
94,"1,763"
< 5,39
0,0
0,20
0,0
0,0
0,0
0,0
0,8
< 5,17
0,<5
<5,110
0,5
0,< 5
0,0
< 5,26
0,0
< 5,14
0,0
< 5,76
0,<5
< 5,16
0,0
< 5,15
< 5,0
0,< 5
0,0
< 5,123
0,18
0,<5
< 5,21
0,<5
< 5,51
0,0
0,0
0,0
< 5,32
<5,22
0,< 5
< 5,15
<5,20
<5,71
7,57
<5,46
<5,43
<5,33
0,55
0,0
14,117
<5,15
0,6
0,0
0,0
< 5,6
< 5,35
5,76
0,19
0,0
0,0
< 5,57
0,8
< 5,57
0,0
7,125
0,12
0,0
< 5,6
< 5,31
0,16
< 5,22
< 5,38
0,24
0,< 5
< 5,19
0,0
0,0
<5,48
79,1319
< 5,21
9,100
< 5,49
5,39
< 5,22
< 5,149
< 5,15
0,0
< 5,32
0,0
0,< 5
< 5,31
<5,47
<5,107
5,79
< 5,39
0,5
< 5,56
< 5,11
0,0
< 5,58
0,0
< 5,61
< 5,39
<5,26
0,14
< 5,94
0,0
<5,17
0,0
0,18
0,0
0,0
0,0
<5,114
0,0
0,13
< 5,42
< 5,15
< 5,23
0,13
< 5,26
< 5,21
< 5,29
<5,42
0,8
< 5,37
< 5,11
0,0
0,7
< 5,70
0,7
0,<5
0,0
< 5,20
< 5,10
0,30
7,58
< 5,90
0,0
< 5,31
6,52
0,22
0,0
0,< 5
0,< 5
< 5,14
0,< 5
< 5,82
0,0
0,78
< 5,9
0,< 5
< 5,75
< 5,47
0,0
< 5,51
< 5,16
13,233
6,36
< 5,13
< 5,15
< 5,51
8,219
< 5,11
0,75
0,0
< 5,94
< 5,52
<5,10
0,0
0,20
0,0
0,0
<5,107
8,105
< 5,39
<5,15
< 5,10
0,<5
<5,41
< 5,24
< 5,39
<5,64
< 5,51
0,< 5
0,0
0,0
< 5,18
