report_date,age_group,engagement_category,citywide_count
2025-11-03T00:00:00.000,18-20 Years,UNENGAGED,9
2025-10-09T00:00:00.000,18-20 Years,CONCILIATION/CONFERENCE,5
2025-11-03T00:00:00.000,18-20 Years,AWAITING CONCILIATION SCHED.,3
2025-11-03T00:00:00.000,18-20 Years,UNDERCARE AWAITING SCHEDULING,253
2025-11-03T00:00:00.000,21-24 Years,RECEIVING SSI,47
2025-11-03T00:00:00.000,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,210
2025-11-03T00:00:00.000,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1541
2025-11-03T00:00:00.000,21-24 Years,FAIR HEARING (CONTESTING),15
2025-10-09T00:00:00.000,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,23
2025-12-08T00:00:00.000,18-20 Years,EDUCATION/TRAINING,55
2025-11-03T00:00:00.000,21-24 Years,ASSIGNED JOB SEARCH,2341
2025-12-08T00:00:00.000,21-24 Years,UNENGAGED,11
2025-10-09T00:00:00.000,21-24 Years,PENDING WECARE SCHEDULING/OUT,1
2025-12-08T00:00:00.000,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,34
2025-12-08T00:00:00.000,21-24 Years,TEMPORARILY EXEMPT,178
2025-11-03T00:00:00.000,16-17 Years,IN ENGAGEMENT REVIEW PROCESS,1
2025-12-08T00:00:00.000,21-24 Years,UNDERCARE AWAITING SCHEDULING,1302
2025-10-09T00:00:00.000,21-24 Years,NULL PIW STATUS,1
2025-12-08T00:00:00.000,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,26
2025-10-09T00:00:00.000,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,907
2025-11-03T00:00:00.000,18-20 Years,ASSIGNED JOB SEARCH,517
2025-12-08T00:00:00.000,21-24 Years,SSI PENDING/APPEALING,12
2025-12-08T00:00:00.000,16-17 Years,CALL-IN APPOINTMENT SCHEDULED,2
2025-12-08T00:00:00.000,18-20 Years,SUBSTANCE ABUSE TREATMENT,1
2025-12-08T00:00:00.000,21-24 Years,CHILD UNDER 3 MONTHS,2
2025-11-03T00:00:00.000,16-17 Years,STUDENT OVER AGE 15,5
2025-10-09T00:00:00.000,18-20 Years,DASIS CASES,34
2025-11-03T00:00:00.000,16-17 Years,CALL-IN APPOINTMENT SCHEDULED,1
2025-10-09T00:00:00.000,16-17 Years,EMPLOYMENT-BUDGETED,4
2025-12-08T00:00:00.000,18-20 Years,NOI ISSUED,2
2025-11-03T00:00:00.000,21-24 Years,EDUCATION/TRAINING,229
2025-10-09T00:00:00.000,21-24 Years,SSI PENDING/APPEALING,16
2025-12-08T00:00:00.000,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,222
2025-10-09T00:00:00.000,21-24 Years,EMPLOYMENT- GRANT DIVERSION,5
2025-10-09T00:00:00.000,18-20 Years,FAIR HEARING (CONTESTING),1
2025-12-08T00:00:00.000,21-24 Years,AGE 60 OR OVER,1
2025-10-09T00:00:00.000,21-24 Years,FAIR HEARING (CONTESTING),15
2025-10-09T00:00:00.000,18-20 Years,NEEDED AT HOME,1
2025-11-03T00:00:00.000,16-17 Years,EMPLOYMENT-BUDGETED,4
2025-11-03T00:00:00.000,21-24 Years,FAIR HEARING (NOT CONTESTING),4
2025-12-08T00:00:00.000,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,37
2025-12-08T00:00:00.000,18-20 Years,AWAITING CONCILIATION SCHED.,1
2025-12-08T00:00:00.000,18-20 Years,SSI PENDING/APPEALING,2
2025-10-09T00:00:00.000,21-24 Years,WECARE & SUBSTANCE ABUSE,1
2025-10-09T00:00:00.000,21-24 Years,DASIS CASES,338
2025-12-08T00:00:00.000,21-24 Years,EMPLOYMENT- GRANT DIVERSION,6
2025-12-08T00:00:00.000,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,306
2025-11-03T00:00:00.000,18-20 Years,ACTIVE SINGLE ISSUE CASES,160
2025-10-09T00:00:00.000,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,1
2025-12-08T00:00:00.000,21-24 Years,CONCILIATION/CONFERENCE,15
2025-11-03T00:00:00.000,18-20 Years,NEEDED AT HOME,1
2025-10-09T00:00:00.000,21-24 Years,SANCTION IN EFFECT,1
2025-12-08T00:00:00.000,18-20 Years,UNENGAGED,1
2025-11-03T00:00:00.000,18-20 Years,TEMP. INCAPACITATED - HEALTH,62
2025-11-03T00:00:00.000,18-20 Years,EMPLOYMENT-BUDGETED,253
2025-11-03T00:00:00.000,16-17 Years,EDUCATION/TRAINING,1
2025-10-09T00:00:00.000,21-24 Years,RECEIVING SSI,40
2025-12-08T00:00:00.000,21-24 Years,TEMP. INCAPACITATED - HEALTH,16
