opname,facsubgrp,overlevel,captype,bin,boro,borocode,zipcode,nan with ycoord,Non-public with ycoord,Public with ycoord
Center for Jewish History,OTHER CULTURAL INSTITUTIONS,City,,1080631.0,MANHATTAN,1.0,10011.0,,208172.96673631665,
SINERGIA INCORPORATED,PROGRAMS FOR PEOPLE WITH DISABILITIES,City,,1054488.0,MANHATTAN,1.0,10035.0,232567.1726905583,,
The Children's Aid Society,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,5002227.0,STATEN ISLAND,5.0,10301.0,170487.32098389708,,
Saint Edmund Elementary School,NON-PUBLIC K-12 SCHOOLS,City,,3336576.0,BROOKLYN,3.0,11229.0,,158328.48460059863,
WAKE-EDEN CHRISTIAN ACADEMY - XAKJ,DOE UNIVERSAL PRE-KINDERGARTEN,City,,2066715.0,BRONX,2.0,10466.0,,263788.933975269,
NEW YORK CENTER FOR INTERPERSONAL DEVELOPMENT INC,LEGAL AND INTERVENTION SERVICES,City,,5000085.0,STATEN ISLAND,5.0,10301.0,173502.4022919099,,
NYC Department of Parks and Recreation,GARDENS,City,,,BRONX,2.0,10459.0,,,238982.2793286857
NYC Fire Department,OTHER EMERGENCY SERVICES,City,,3391565.0,BROOKLYN,3.0,11211.0,,,199464.9855287693
Edison Ny Parking Llc.,PARKING LOTS AND GARAGES,City,,1001991.0,MANHATTAN,1.0,10013.0,,200803.74933159104,
Mp West 52 Llc,PARKING LOTS AND GARAGES,City,,1024825.0,MANHATTAN,1.0,10019.0,,217517.34286947848,
NYC Department of Education,PUBLIC K-12 SCHOOLS,City,seats,2012887.0,BRONX,2.0,10458.0,,,250889.14292520497
Evangelical Lutheran Church Of The Epiphany Of Brooklyn N.Y.,DAY CARE,City,,3032263.0,BROOKLYN,3.0,11216.0,,183807.16071923528,
Surf Parking Llc,PARKING LOTS AND GARAGES,City,,3421651.0,BROOKLYN,3.0,11224.0,,147650.44700366608,
"Girls Write Now, Inc.",OTHER CULTURAL INSTITUTIONS,City,,1014454.0,MANHATTAN,1.0,10018.0,,213974.04683592584,
,HISTORICAL SITES,State,,3021932.0,BROOKLYN,3.0,11215.0,182885.3825075621,,
MUSLIM COMMUNITY NETWORK,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,2000391.0,BRONX,2.0,10454.0,234468.058963716,,
POLICE ATHLETIC LEAGUE INC,AFTER-SCHOOL PROGRAMS,City,,1088672.0,MANHATTAN,1.0,10039.0,242375.4015737885,,
"Grandpa`S Bus Co., Inc.",BUS DEPOTS AND TERMINALS,City,routes,2090364.0,BRONX,2.0,10473.0,,236775.00230534148,
"Dialysis Clinic, Inc",HOSPITALS AND CLINICS,State,,3328855.0,BROOKLYN,3.0,11219.0,,168950.62172611657,
EAST SIDE HOUSE INC,AFTER-SCHOOL PROGRAMS,City,,1076776.0,MANHATTAN,1.0,10034.0,254659.28789439064,,
Services for the Underserved Inc.,MENTAL HEALTH,State,,3057398.0,BROOKLYN,3.0,11238.0,,187594.33116630488,
SOUTHEAST BRONX NEIGHBORHOOD CENTERS INC,AFTER-SCHOOL PROGRAMS,City,,2091958.0,BRONX,2.0,10456.0,238677.58725107115,,
Leesel Transportation Corp (B2192),BUS DEPOTS AND TERMINALS,City,routes,3098289.0,BROOKLYN,3.0,11208.0,,179416.28000660057,
Jte Service Station Inc.,PARKING LOTS AND GARAGES,City,,1065051.0,MANHATTAN,1.0,10034.0,,254837.91288052488,
NYC Department of Education,PUBLIC K-12 SCHOOLS,City,seats,2070894.0,BRONX,2.0,10470.0,,,268046.015899623
Solid Rock Baptist Church,SOUP KITCHENS AND FOOD PANTRIES,,,3048647.0,BROOKLYN,3.0,11206.0,,192528.71405343563,
,HISTORICAL SITES,State,,1023162.0,MANHATTAN,1.0,10019.0,216967.8472644348,,
NYC Department of Parks and Recreation,"STREETSCAPES, PLAZAS, AND MALLS",City,,,MANHATTAN,1.0,10023.0,,,222495.14903849675
CHDFS Inc.,MENTAL HEALTH,State,,1013643.0,MANHATTAN,1.0,10018.0,,214373.33992179137,
NYC Department of Transportation,OTHER TRANSPORTATION,City,,,QUEENS,4.0,,,,224394.9601849992
Ff Parking Corp,PARKING LOTS AND GARAGES,City,,4595176.0,QUEENS,4.0,11354.0,,217155.93667264844,
ITALIAN AMERICAN CIVIL RIGHTS LEAGUE CANARSIE INC,AFTER-SCHOOL PROGRAMS,City,,3098294.0,BROOKLYN,3.0,11239.0,174928.14178619153,,
Washington Irving Yabc,CHILD NUTRITION,City,,1017828.0,MANHATTAN,1.0,10003.0,,207173.47392890803,
Coalition for Hispanic Family Services,AFTER-SCHOOL PROGRAMS,City,,3076460.0,BROOKLYN,3.0,11221.0,192735.6494752836,,
TINY BUMBLEBEES INC.,DOE UNIVERSAL PRE-KINDERGARTEN,City,,3392249.0,BROOKLYN,3.0,11235.0,,151312.1514014381,
"Elmcor Youth & Adult Activities, Inc.",OTHER CULTURAL INSTITUTIONS,City,,4042761.0,QUEENS,4.0,11368.0,,215199.35742380115,
Semillitas Corp.,DAY CARE,City,,4026954.0,QUEENS,4.0,11372.0,,214624.38944705384,
Leesel Transportation Corp (B2192),BUS DEPOTS AND TERMINALS,City,routes,2118629.0,BRONX,2.0,10470.0,,263026.4507871349,
THE CHILD CENTER OF NY INC,OTHER HEALTH CARE,City,,4264187.0,QUEENS,4.0,11434.0,188738.75583869725,,
Chabad Lubavith Of West Brighton Manhattan Beach,CHILD NUTRITION,City,,3244597.0,BROOKLYN,3.0,11235.0,,149813.2433190744,
WOMENS HOUSING & ECONOMIC DEVELOPMENT CORP,AFTER-SCHOOL PROGRAMS,City,,2097130.0,BRONX,2.0,10452.0,243726.9421467452,,
NYC Department of Education,DOE UNIVERSAL PRE-KINDERGARTEN,City,,1003375.0,MANHATTAN,1.0,10038.0,,,198888.1959666738
All American School Bus Corp.,BUS DEPOTS AND TERMINALS,City,routes,,QUEENS,4.0,11102.0,,222019.00000001423,
Institute Of The Sisters Of St. Dorothy  ',DAY CARE,City,,5107505.0,STATEN ISLAND,5.0,10305.0,,156938.20573164677,
Services And Advocacy For Gaylesbianbisexual And Transgend,SENIOR SERVICES,City,,1086084.0,MANHATTAN,1.0,10030.0,,238224.66136394613,
Downtown Automotive Inc.,PARKING LOTS AND GARAGES,City,,3054595.0,BROOKLYN,3.0,11205.0,,192482.11966352863,
Metropolitan Transportation Authority,RAIL YARDS AND MAINTENANCE,State,,3339229.0,BROOKLYN,3.0,11215.0,,,185516.2744751356
CPC LITTLE STAR OF BROOME STREET EARLY CHILDHOOD CENTER,DOE UNIVERSAL PRE-KINDERGARTEN,City,,1089451.0,MANHATTAN,1.0,10002.0,,200518.6933273708,
1804 Ralph Ave,DSNY DROP-OFF FACILITY,City,,,BROOKLYN,3.0,11234.0,170018.9764971644,,
ST VINCENT'S SERVICES INC,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,City,,3002801.0,BROOKLYN,3.0,11201.0,190546.73149996303,,
249 Parking Corp.,PARKING LOTS AND GARAGES,City,,1012371.0,MANHATTAN,1.0,10001.0,,212127.85023660416,
Samuel Field YM & YWHA Inc.,MENTAL HEALTH,State,,4173012.0,QUEENS,4.0,11362.0,,216409.2856023694,
Staten Island Children's Museum,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,5000090.0,STATEN ISLAND,5.0,10301.0,174292.35481159706,,
International Academy Of New York,DAY CARE,City,,1046979.0,MANHATTAN,1.0,10128.0,,224796.80246629007,
The Montessori Association Of New York,CAMPS,City,,1081273.0,MANHATTAN,1.0,10075.0,,220698.62554431937,
Pride Transportation (Sch Age),BUS DEPOTS AND TERMINALS,City,routes,2079871.0,BRONX,2.0,10465.0,,240339.05845004847,
METROPOLITAN NEW YORK COORDINATING COUNCIL ON JEWISH POVERTY,HEALTH PROMOTION AND DISEASE PREVENTION,City,,1000863.0,MANHATTAN,1.0,10005.0,195835.78097624224,,
,HISTORICAL SITES,State,,3134417.0,BROOKLYN,3.0,11204.0,163628.53560143252,,
NYC Department of Education,CITY GOVERNMENT OFFICES,City,,,STATEN ISLAND,5.0,10301.0,,,172088.02555537128
Allied Transit Corp.,BUS DEPOTS AND TERMINALS,City,routes,,BROOKLYN,3.0,11207.0,,184061.4446409064,
JEWISH INSTITUTE OF QUEENS,AFTER-SCHOOL PROGRAMS,City,,4072178.0,QUEENS,4.0,11373.0,205703.729068451,,
NYC Department of Education,DOE UNIVERSAL PRE-KINDERGARTEN,City,,4253028.0,QUEENS,4.0,11420.0,,,185376.15495370867
SCO FAMILY OF SERVICES,OTHER HEALTH CARE,City,,4208869.0,QUEENS,4.0,11432.0,196408.23208192,,
UNITED STATES WALLBALL ASSOCIATION INC,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,5014148.0,STATEN ISLAND,5.0,10304.0,167249.1107042006,,
Mhs 507 Llc,DAY CARE,City,,1090201.0,MANHATTAN,1.0,10001.0,,213008.0884573529,
NYC Department of Parks and Recreation,"STREETSCAPES, PLAZAS, AND MALLS",City,,,QUEENS,4.0,11429.0,,,198239.90141257897
"FLUSHING DAY CARE CENTER, INC.",DOE UNIVERSAL PRE-KINDERGARTEN,City,,4112217.0,QUEENS,4.0,11354.0,,216966.6705834513,
Ymca Of Greater New York,CAMPS,City,,1003142.0,MANHATTAN,1.0,10002.0,,198252.8936050088,
Snt Bus Inc,BUS DEPOTS AND TERMINALS,City,routes,3222195.0,BROOKLYN,3.0,11236.0,,173526.1255358764,
"Black Moon Theatre Company, Inc.",OTHER CULTURAL INSTITUTIONS,City,,,BROOKLYN,3.0,11222.0,,,
YESHIVAT BETH HILLEL OF KRASNA INC.,DOE UNIVERSAL PRE-KINDERGARTEN,City,,3421702.0,BROOKLYN,3.0,11204.0,,170201.37557476494,
NYU Langone Hospitals,HOSPITALS AND CLINICS,State,,3140612.0,BROOKLYN,3.0,11219.0,,169982.04185049052,
"Sandra'S Sunflower Child Care, Inc.",DAY CARE,City,,4206751.0,QUEENS,4.0,11435.0,,195267.8864338379,
Hoyt Transportation Corp.,BUS DEPOTS AND TERMINALS,City,routes,2006692.0,BRONX,2.0,10474.0,,235297.09814161973,
NYC Department of Education,PUBLIC K-12 SCHOOLS,City,seats,3246519.0,BROOKLYN,3.0,11235.0,,,150667.30388780983
8775 Bay Pkwy,DSNY DROP-OFF FACILITY,City,,,BROOKLYN,3.0,11214.0,157198.9537507445,,
92nd Realty Llc,PARKING LOTS AND GARAGES,City,,1050763.0,MANHATTAN,1.0,10128.0,,223565.67655132097,
KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC,AFTER-SCHOOL PROGRAMS,City,,2015241.0,BRONX,2.0,10468.0,256340.8593645272,,
Salvation Army Astoria Corps,SOUP KITCHENS AND FOOD PANTRIES,,,4012439.0,QUEENS,4.0,11103.0,,214946.85786682973,
Mental Health Providers of Western Queens In,MENTAL HEALTH,State,,4031472.0,QUEENS,4.0,11377.0,,210259.93000611183,
POLICE ATHLETIC LEAGUE INC,AFTER-SCHOOL PROGRAMS,City,,1084132.0,MANHATTAN,1.0,10031.0,238390.45113554888,,
Manhattan Psychiatric Center,MENTAL HEALTH,State,,1081602.0,MANHATTAN,1.0,10027.0,,234100.4494334624,
Department of Sanitation,DSNY DROP-OFF FACILITY,City,,,MANHATTAN,1.0,10023.0,221384.3553961872,,
NYC Department of Education,CHARTER K-12 SCHOOLS,City,,,BROOKLYN,3.0,11204.0,,,160684.57081373205
NYU Langone Hospitals,HOSPITALS AND CLINICS,State,,3054671.0,BROOKLYN,3.0,11205.0,,192630.8471619647,
"Boro Transit, Inc.",BUS DEPOTS AND TERMINALS,City,routes,3393335.0,BROOKLYN,3.0,11207.0,,184718.4440944596,
Logan Bus Company Inc.,BUS DEPOTS AND TERMINALS,City,routes,,QUEENS,4.0,11434.0,,181633.0000000161,
