facname,nta2010,ct2020,address,council
P.S. 370,BK23,35602.0,3000 WEST 1 STREET,48.0
WOMENS HOUSING & ECONOMIC DEVELOPMENT CORP,BX63,19700.0,1220 GERARD AVENUE,16.0
SP PLUS CORPORATION,BK76,56302.0,1 BLUE SLIP,33.0
ACADEMY OF ST. DOROTHY SCHOOL,SI36,9601.0,1305 HYLAN BOULEVARD,50.0
LITTLE RICHIE BUS SERVICE,QN03,30600.0,,31.0
"ELMCOR YOUTH & ADULT ACTIVITIES, INC.",QN26,38100.0,33-16 108 STREET,21.0
NORTH BROOKLYN COMPOST FOOD DROP-OFF SITE,BK76,59100.0,,33.0
JEWISH INSTITUTE OF QUEENS,QN18,68700.0,60-05 WOODHAVEN BOULEVARD,29.0
LEESEL TRANSPORTATION CORP (B2192),BK82,107800.0,1032 ESSEX STREET,42.0
QUALITY TRANSPORTATION CORP.,BK82,107800.0,612 WORTMAN AVENUE,42.0
EDUCATIONAL DATA SYSTEMS INC,MN11,22200.0,215 WEST 125 STREET,9.0
"SANDRA'S SUNFLOWER CHILD CARE, INC.",QN61,24000.0,90-16 SUTPHIN BOULEVARD,24.0
EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,BK78,39300.0,1155 DEKALB AVENUE,34.0
"JAEWOONG LEE, INC",QN23,90700.0,31-25 COLLEGE POINT BOULEVARD,19.0
CHABAD LUBAVITH OF WEST BRIGHTON MAN,BK19,36200.0,2997 OCEAN PARKWAY,48.0
SEVENTH AVENUE CENTER FOR FAMILY SERVICES,BX36,21501.0,1646 MONTGOMERY AVENUE,14.0
JTE SERVICE STATION INC.,MN35,28700.0,242 DYCKMAN STREET,10.0
ALTERNATE LEARNING CENTER AT MONROE,BX08,5600.0,1300 BOYNTON AVENUE,18.0
JHS 291 ROLAND HAYES - 32K291,BK77,43300.0,231 PALMETTO STREET,37.0
LOGAN BUS COMPANY INC.,QN03,30600.0,,31.0
BRONXDALE HIGH SCHOOL (11X508),BX07,32400.0,925 ASTOR AVENUE,13.0
INFOPOWER INTERNATIONAL INC.,QN15,101003.0,18-17 GATEWAY BOULEVARD,31.0
SUCCESS ACADEMY CS - BENSONHURST,BK29,43000.0,99 AVE P-4TH FL,44.0
Y & M TRANSIT CORP (B2192),BK33,5302.0,22 BAY STREET,38.0
METROPOLITAN NEW YORK COORDINATING COUNCIL ON JEWISH POVERTY,MN25,700.0,77 WATER STREET,1.0
GODDARD RIVERSIDE COMMUNITY CENTER,MN12,17700.0,114 WEST 91 STREET,6.0
BETH ISRAEL MED CENTER #2,MN34,19600.0,103 EAST 125 STREET,9.0
LITTLE RICHIE BUS SERVICE,BX49,29600.0,1616 STILLWELL AVENUE,13.0
CHAMPION PARKING 52 LLC,MN15,13300.0,356 WEST 52 STREET,3.0
ITALIAN AMERICAN CIVIL RIGHTS LEAGUE CANARSIE INC,BK93,105804.0,1400 PENNSYLVANIA AVENUE,42.0
GED - P2G- JOHN DEWEY HS/EVEN/AHSEP,BK26,30800.0,50 AVENUE X,47.0
FRICK COLLECTION,MN40,13000.0,1 EAST 70 STREET,4.0
PUBLIC SCHOOL 39,BK37,15300.0,,39.0
ST EDMUND ELEMENTARY SCHOOL,BK44,57800.0,1902 AVENUE T,48.0
SP PLUS CORPORATION,MN33,16800.0,2 EAST 103 STREET,8.0
PHILLIP BUS CORP (B2192),BK33,5301.0,146 WOLCOTT STREET,38.0
HEBREW ACADEMY FOR SPEC CHLDRN,BK88,19200.0,6220 14 AVENUE,38.0
KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC,BX28,40900.0,2780 RESERVOIR AVENUE,11.0
DOWNTOWN AUTOMOTIVE INC.,BK69,19100.0,81 STEUBEN STREET,35.0
CFTSS: OTHER LICENSED PRACTITIONER,MN15,11500.0,307 WEST 38 STEET 6TH FLOOR,3.0
FREDERICK JOHNSON PLAYGROUND,MN03,23600.0,2619 ADAM C POWELL BOULEVARD,9.0
HEALTH HOME NON MEDICAID CARE MANAGEMENT C&Y,QN63,24900.0,40-23 62 STREET,26.0
POLICE ATHLETIC LEAGUE INC,MN06,22301.0,500 WEST 138 STREET,7.0
THE YOUNG WOMENS CHRISTIAN ASSOCIATION OF QUEENS,QN52,86100.0,42-07 PARSONS BOULEVARD,20.0
92ND REALTY LLC,MN32,15200.0,441 EAST 92 STREET,5.0
MASBIA OF BORO PARK,,,5402 NEW UTRECT AVE,
SINERGIA INCORPORATED,MN34,19600.0,2082 LEXINGTON AVENUE,9.0
"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",MN34,24200.0,1951 PARK AVENUE,9.0
"NEW DAWN TRANSIT, LLC (B2321)",BK45,70601.0,2352 EAST 69 STREET,46.0
NEW YORK CENTER FOR INTERPERSONAL DEVELOPMENT INC,SI22,300.0,130 STUYVESANT PLACE,49.0
BLOCK INSTITUTE SCHOOL,BK26,31401.0,376 BAY 44 STREET,43.0
CITIZEN SCHOOLS INC,BK75,123700.0,850 KENT AVENUE,33.0
PARK,BK69,22700.0,22 PUTNAM AVENUE,35.0
"GIRLS WRITE NOW, INC.",MN17,10900.0,247 WEST 37 STREET,3.0
"EVANGELICAL LUTHERAN CHURCH OF THE EPIPHANY OF BROOKLYN, N.Y",BK61,31702.0,721 LINCOLN PLACE,35.0
SEMILLITAS CORP.,QN28,32700.0,81-07 NORTHERN BOULEVARD,25.0
HOE GARDEN,BX27,11900.0,954 HOE AVENUE,17.0
LOGAN TRANSPORTATION SYSTEMS,QN03,30600.0,,31.0
DCI-NARROWS KIDNEY CENTER,BK34,12000.0,6518 FORT HAMILTON PARKWAY,38.0
ALLIED TRANSIT CORP.,BK85,114400.0,148 SNEDIKER AVENUE,37.0
THE CAEDMON SCHOOL DISCOVERY CAMP,MN32,13603.0,416 EAST 80 STREET,5.0
WELL STATION #19,QN06,45800.0,HIGHLAND AVENUE,24.0
OUR LADY QUEEN OF PEACE SCHOOL,SI45,12200.0,22 STEELE AVENUE,50.0
UNITED STATES WALLBALL ASSOCIATION INC,SI37,2100.0,62 TARGEE STREET,49.0
EDISON NY PARKING LLC.,MN24,3300.0,15 WORTH STREET,1.0
MACHANEH YISROEL,QN15,100801.0,25-30 WESTBOURNE AVE,31.0
CARLTON PARK,SI48,17015.0,,51.0
CHINATOWN YMCA BEACON SATELLITE @ TWO BRIDGES,MN28,201.0,286 SOUTH STREET,1.0
CAMPUS EDUCATION,MN17,10100.0,410 8 AVENUE,3.0
CSD 31 DISTRICT OFF (OLD PS16),SI22,1100.0,211 DANIEL LOW TERRACE,49.0
I.S. 61 WILLIAM A MORRIS,SI35,6700.0,445 CASTLETON AVENUE,49.0
MTA 4TH AVENUE SUBSTATION,BK37,11901.0,276 4 AVENUE,39.0
SALVATION ARMY ASTORIA CORPS,QN70,16100.0,45-18 BROADWAY,26.0
MP WEST 52 LLC,MN17,13100.0,888 8 AVENUE,3.0
YESHIVAT BETH HILLEL OF KRASNA INC.,BK88,47800.0,4315 16 AVENUE,44.0
CONEY ISLAND,BK26,30800.0,,47.0
BRONXCARE CHEMICAL DEPENDENCE OP,BX35,14900.0,1276 FULTON AVENUE,16.0
STATEN ISLAND YOUTH SOCCER LEAGUE INC,SI05,22801.0,1757 ARTHUR KILL ROAD,51.0
THE NEW JEWISH HOME UNIVERSITY AVENUE ASSISTED LIVING,BX30,26300.0,2553 UNIVERSITY AVENUE,14.0
EAST SIDE HOUSE INC,MN01,29100.0,650 ACADEMY STREET,10.0
511 EAST 80TH STREET PARKING CORP.,MN32,13602.0,511 EAST 80 STREET,5.0
UNDERGROUND GASLINE,,,38 STREET,
INTERNATIONAL ACADEMY OF NEW YORK,MN40,15002.0,4 EAST 90 STREET,4.0
WAKE-EDEN CHRISTIAN ACADEMY - XAKJ,BX62,42600.0,2074 STRANG AVENUE,12.0
LOWER EASTSIDE SERVICE CENTER INC,MN27,800.0,46 EAST BROADWAY,1.0
OLD CROTON AQUEDUCT GATEHOUSE,MN09,20701.0,1195 AMSTERDAM AVENUE,7.0
GRAND ARMY PLAZA GREENMARKET FOOD DROP-OFF SITE,BK99,17700.0,,39.0
"FASHION CENTER DISTRICT MANAGEMENT ASSOCIATION, INC.",MN17,11300.0,209 WEST 38 STREET,3.0
SOUTH RICHMOND HIGH SCHOOL IS / PS 25 (75R025),SI01,19800.0,6581 HYLAN BOULEVARD,51.0
CONG. MACHNE CHAIM INC.,BK28,24800.0,6101 16 AVENUE,44.0
P.S. 016 WAKEFIELD,BX62,41400.0,4550 CARPENTER AVENUE,11.0
BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),BX06,39300.0,2474 CROTONA AVENUE,15.0
SOLID ROCK BAPTIST CHURCH,BK75,25901.0,120 TOMPKINS AVENUE,36.0
TINY BUMBLEBEES INC.,BK19,36600.0,2848 BRIGHTON SEVENTH STREET,48.0
100 ML GARAGE CORP.,MN25,700.0,100 MAIDEN LANE,1.0
25 PRECINCT PERSONNEL PARKING,MN34,18200.0,110 EAST 119 STREET,9.0
LIBERTY AVE PLAZA,QN56,4401.0,,32.0
111-06 VAN WYCK EXPY TEXTILE DROP-OFF SITE,QN55,17200.0,"111-06 VAN WYCK EXPY, SOUTH OZONE PARK, NY, USA",28.0
